"","from","to"
"1","O Urminsky","D Bartels"
"2","T Gureckis","D Bartels"
"3","T Gureckis","O Urminsky"
"4","J Trueblood","D Bartels"
"5","J Trueblood","O Urminsky"
"6","J Trueblood","T Gureckis"
"7","A Gopnik","E Bonawitz"
"8","C Kidd","E Bonawitz"
"9","C Kidd","A Gopnik"
"10","E Schulz","N Bramley"
"11","F Xu","N Bramley"
"12","F Xu","E Schulz"
"13","J Tenenbaum","N Bramley"
"14","J Tenenbaum","E Schulz"
"15","J Tenenbaum","F Xu"
"16","S Perone","A Buss"
"17","A Bhat","A Buss"
"18","A Bhat","S Perone"
"19","J Leeuw","J Hartshorne"
"20","L Germine","J Hartshorne"
"21","L Germine","J Leeuw"
"22","K Reinecke","J Hartshorne"
"23","K Reinecke","J Leeuw"
"24","K Reinecke","L Germine"
"25","M Jennings","J Hartshorne"
"26","M Jennings","J Leeuw"
"27","M Jennings","L Germine"
"28","M Jennings","K Reinecke"
"29","A Olteteanu","A Olteteanu"
"30","P Bruza","J Busemeyer"
"31","P Kvam","J Busemeyer"
"32","P Kvam","P Bruza"
"33","Z Wang","J Busemeyer"
"34","Z Wang","P Bruza"
"35","Z Wang","P Kvam"
"36","T Gorman","S Nordli"
"37","H Singmann","H Singmann"
"38","N Goodman","M Tessler"
"39","A Knott","M Butz"
"40","E Coderre","N Cohn"
"41","E O'Donnell","N Cohn"
"42","E O'Donnell","E Coderre"
"43","A Osterby","N Cohn"
"44","A Osterby","E Coderre"
"45","A Osterby","E O'Donnell"
"46","L Loschky","N Cohn"
"47","L Loschky","E Coderre"
"48","L Loschky","E O'Donnell"
"49","L Loschky","A Osterby"
"50","L Holt","F Dick"
"51","H Nusbaum","F Dick"
"52","H Nusbaum","L Holt"
"53","N Sharma","F Dick"
"54","N Sharma","L Holt"
"55","N Sharma","H Nusbaum"
"56","B Shinn-Cunningham","F Dick"
"57","B Shinn-Cunningham","L Holt"
"58","B Shinn-Cunningham","H Nusbaum"
"59","B Shinn-Cunningham","N Sharma"
"60","N Simms","D Gentner"
"61","K Kurtz","D Gentner"
"62","K Kurtz","N Simms"
"63","g honke","D Gentner"
"64","g honke","N Simms"
"65","g honke","K Kurtz"
"66","S Snoddy","D Gentner"
"67","S Snoddy","N Simms"
"68","S Snoddy","K Kurtz"
"69","S Snoddy","g honke"
"70","K Forbus","D Gentner"
"71","K Forbus","N Simms"
"72","K Forbus","K Kurtz"
