"","id","label","measure","CM"
"1",1,"S Schworm",1,"degree"
"2",2,"A Renkl",3,"degree"
"3",3,"K Scheiter",5,"degree"
"4",4,"P Gerjets",5,"degree"
"5",5,"F Lee",1,"degree"
"6",6,"N Taatgen",1,"degree"
"7",7,"L Engle",2,"degree"
"8",8,"K Holyoak",3,"degree"
"9",9,"J Stigler",2,"degree"
"10",10,"R Noel",1,"degree"
"11",11,"S Acchione-Noel",1,"degree"
"12",12,"C Luhmann",2,"degree"
"13",13,"W Ahn",2,"degree"
"14",14,"T Palmeri",2,"degree"
"15",15,"S Trickett",1,"degree"
"16",16,"J Trafton",6,"degree"
"17",17,"A Raftopoulos",2,"degree"
"18",18,"A Demetriou",3,"degree"
"19",19,"A Wills",3,"degree"
"20",20,"F Missier",1,"degree"
"21",21,"D Fum",1,"degree"
"22",22,"A Henninger",2,"degree"
"23",23,"A Gonzalez",2,"degree"
"24",24,"D Reece",2,"degree"
"25",25,"H Yoshida",3,"degree"
"26",26,"L Smith",6,"degree"
"27",27,"R West",2,"degree"
"28",28,"R Boring",2,"degree"
"29",29,"S Moore",2,"degree"
"30",30,"S Sloman",1,"degree"
"31",31,"D Lagnado",1,"degree"
"32",32,"D Navarro",2,"degree"
"33",33,"M Lee",2,"degree"
"34",34,"J Magnuson",2,"degree"
"35",35,"M Tanenhaus",6,"degree"
"36",36,"R Aslin",2,"degree"
"37",37,"S Gennari",1,"degree"
"38",38,"D Poeppel",1,"degree"
"39",39,"J Franke",2,"degree"
"40",40,"J Daniels",2,"degree"
"41",41,"D McFarlane",2,"degree"
"42",42,"I Ash",1,"degree"
"43",43,"J Wiley",2,"degree"
"44",44,"P Wolff",1,"degree"
"45",45,"M Zettergren",1,"degree"
"46",46,"R Sun",2,"degree"
"47",47,"C Terry",1,"degree"
"48",48,"D Salvucci",2,"degree"
"49",49,"E Colunga",1,"degree"
"50",50,"M Atherton",2,"degree"
"51",51,"B Rehder",1,"degree"
"52",52,"R Burnett",1,"degree"
"53",53,"A Hansson",1,"degree"
"54",54,"L Niklasson",1,"degree"
"55",55,"M Avraamides",5,"degree"
"56",56,"H Mammar",1,"degree"
"57",57,"F Bernard",1,"degree"
"58",58,"L Boroditsky",5,"degree"
"59",59,"K Cho",2,"degree"
"60",60,"C Schunn",8,"degree"
"61",61,"A Lesgold",2,"degree"
"62",62,"K Koedinger",3,"degree"
"63",63,"A Terao",1,"degree"
"64",64,"D Freudenthal",2,"degree"
"65",65,"J Pine",2,"degree"
"66",66,"F Gobet",2,"degree"
"67",67,"C Bearman",2,"degree"
"68",68,"L Ball",3,"degree"
"69",69,"T Ormerod",2,"degree"
"70",70,"Y Choe",2,"degree"
"71",71,"H Olsson",1,"degree"
"72",72,"P Juslin",1,"degree"
"73",73,"G Cottrell",2,"degree"
"74",74,"K Branson",2,"degree"
"75",75,"A Calder",2,"degree"
"76",76,"S Chin-Parker",1,"degree"
"77",77,"B Ross",1,"degree"
"78",78,"B Morris",4,"degree"
"79",79,"D Klahr",2,"degree"
"80",80,"T O’Reilly",1,"degree"
"81",81,"D McNamara",2,"degree"
"82",82,"M Swift",3,"degree"
"83",83,"E Campana",4,"degree"
"84",84,"J Allen",3,"degree"
"85",85,"Y Sun",4,"degree"
"86",86,"R Tweney",4,"degree"
"87",87,"D Yarlett",1,"degree"
"88",88,"M Ramscar",5,"degree"
"89",89,"J Henst",3,"degree"
"90",90,"S Rossi",2,"degree"
"91",91,"W Schroyens",2,"degree"
"92",92,"D Holliway",2,"degree"
"93",93,"J Jarmasz",2,"degree"
"94",94,"T Gureckis",1,"degree"
"95",95,"B Love",1,"degree"
"96",96,"W Sakas",1,"degree"
"97",97,"E Nishimoto",1,"degree"
"98",98,"F Guo",1,"degree"
"99",99,"S Beller",2,"degree"
"100",100,"A Masnick",2,"degree"
"101",101,"S Chow",1,"degree"
"102",102,"J Nesselroade",1,"degree"
"103",103,"R Byrne",1,"degree"
"104",104,"C Walsh",1,"degree"
"105",105,"J Hicks",1,"degree"
"106",106,"J Oberlander",6,"degree"
"107",107,"C Wendelken",2,"degree"
"108",108,"L Shastri",4,"degree"
"109",109,"R Ping",3,"degree"
"110",110,"E Davis",3,"degree"
"111",111,"J Stefanucci",1,"degree"
"112",112,"D Proffitt",1,"degree"
"113",113,"R Goldstone",1,"degree"
"114",114,"B Rogosky",1,"degree"
"115",115,"H Neth",1,"degree"
"116",116,"S Payne",4,"degree"
"117",117,"A Howes",3,"degree"
"118",118,"J Richardson",2,"degree"
"119",119,"N McNeil",1,"degree"
"120",120,"M Alibali",2,"degree"
"121",121,"W Schaeken",6,"degree"
"122",122,"W Schoppek",2,"degree"
"123",123,"C Conway",1,"degree"
"124",124,"M Christiansen",2,"degree"
"125",125,"J Marshall",2,"degree"
"126",126,"P Maglio",5,"degree"
"127",127,"T Matlock",4,"degree"
"128",128,"S Gould",4,"degree"
"129",129,"D Koons",4,"degree"
"130",130,"C Campbell",4,"degree"
"131",131,"T Griffiths",1,"degree"
"132",132,"M Steyvers",4,"degree"
"133",133,"A Corrigan-Halpern",1,"degree"
"134",134,"S Ohlsson",1,"degree"
"135",135,"I Katz",3,"degree"
"136",136,"X Xi",3,"degree"
"137",137,"H Kim",3,"degree"
"138",138,"P Cheng",8,"degree"
"139",139,"K Miwa",3,"degree"
"140",140,"N Ishii",3,"degree"
"141",141,"H Saito",3,"degree"
"142",142,"R Nakaike",3,"degree"
"143",143,"R French",8,"degree"
"144",144,"C Labiouse",1,"degree"
"145",145,"R Bod",2,"degree"
"146",146,"S Scott",2,"degree"
"147",147,"N Verschueren",3,"degree"
"148",148,"W Neys",3,"degree"
"149",149,"G d’Ydewalle",3,"degree"
"150",150,"J Quesada",2,"degree"
"151",151,"W Kintsch",2,"degree"
"152",152,"E Gomez",2,"degree"
"153",153,"M Dastani",1,"degree"
"154",154,"L Torre",1,"degree"
"155",155,"Y Gil",1,"degree"
"156",156,"J Kim",1,"degree"
"157",157,"T Ioerger",3,"degree"
"158",158,"L He",3,"degree"
"159",159,"D Lord",3,"degree"
"160",160,"P Tsang",3,"degree"
"161",161,"H Harris",2,"degree"
"162",162,"S Deutsch",1,"degree"
"163",163,"R Pew",2,"degree"
"164",164,"J Heiser",3,"degree"
"165",165,"B Tversky",3,"degree"
"166",166,"U Hahn",2,"degree"
"167",167,"M Prat-Sala",2,"degree"
"168",168,"E Pothos",2,"degree"
"169",169,"R Desai",1,"degree"
"170",170,"K Ashley",1,"degree"
"171",171,"E Chown",2,"degree"
"172",172,"M Steedman",2,"degree"
"173",173,"A Keselman",1,"degree"
"174",174,"V Patel",6,"degree"
"175",175,"I Umata",2,"degree"
"176",176,"Y Katagiri",2,"degree"
"177",177,"A Shimojima",2,"degree"
"178",178,"J Hemmerich",1,"degree"
"179",179,"T Komatsu",4,"degree"
"180",180,"K Suzuki",4,"degree"
"181",181,"K Ueda",4,"degree"
"182",182,"K Hiraki",4,"degree"
"183",183,"N Oka",4,"degree"
"184",184,"K Livingston",2,"degree"
"185",185,"J Andrews",2,"degree"
"186",186,"E Kuschner",2,"degree"
"187",187,"B Olde",8,"degree"
"188",188,"D Franceschetti",8,"degree"
"189",189,"A Graesser",8,"degree"
"190",190,"A Karnavat",3,"degree"
"191",191,"K Lagus",2,"degree"
"192",192,"M Creutz",2,"degree"
"193",193,"A Airola",2,"degree"
"194",194,"E Torlakovic",1,"degree"
"195",195,"A Brook",2,"degree"
"196",196,"R Mears",4,"degree"
"197",197,"R Gibby",4,"degree"
"198",198,"C Spitzmüller",4,"degree"
"199",199,"A Papafragou",1,"degree"
"200",200,"J Musolino",1,"degree"
"201",201,"W Ham",2,"degree"
"202",202,"L Chandrasena",2,"degree"
"203",203,"S Charman",1,"degree"
"204",204,"T Clausner",2,"degree"
"205",205,"B Jain",1,"degree"
"206",206,"F Wysotzki",1,"degree"
"207",207,"S Niyogi",2,"degree"
"208",208,"F Costello",2,"degree"
"209",209,"M Gale",1,"degree"
"210",210,"R Ardito",2,"degree"
"211",211,"B Bara",2,"degree"
"212",212,"E Blanzieri",2,"degree"
"213",213,"H Wang",3,"degree"
"214",214,"T Johnson",5,"degree"
"215",215,"J Zhang",5,"degree"
"216",216,"Y Wang",3,"degree"
"217",217,"J Hayes",4,"degree"
"218",218,"V Murphy",4,"degree"
"219",219,"N Davey",4,"degree"
"220",220,"P Smith",4,"degree"
"221",221,"L Peters",4,"degree"
"222",222,"P Oudeyer",2,"degree"
"223",223,"K Dieussaert",2,"degree"
"224",224,"G d’ydewalle",2,"degree"
"225",225,"S Zharikov",1,"degree"
"226",226,"D Gentner",1,"degree"
"227",227,"V Jaswal",1,"degree"
"228",228,"E Markman",1,"degree"
"229",229,"M Osman",2,"degree"
"230",230,"A Gill",1,"degree"
"231",231,"H Foundalis",2,"degree"
"232",232,"K Burns",2,"degree"
"233",233,"D Craig",2,"degree"
"234",234,"N Nersessian",2,"degree"
"235",235,"R Catrambone",4,"degree"
"236",236,"U Hasson",2,"degree"
"237",237,"V Sloutsky",2,"degree"
"238",238,"E Steingold",1,"degree"
"239",239,"P Johnson-Laird",3,"degree"
"240",240,"M Wenger",1,"degree"
"241",241,"A Gordon",2,"degree"
"242",242,"E Shortliffe",3,"degree"
"243",243,"V Müller",1,"degree"
"244",244,"P Healey",4,"degree"
"245",245,"S Garrod",4,"degree"
"246",246,"N Fay",4,"degree"
"247",247,"J Lee",4,"degree"
"248",248,"G Gunzelmann",1,"degree"
"249",249,"J Anderson",2,"degree"
"250",250,"E Martens",3,"degree"
"251",251,"W Daelemans",3,"degree"
"252",252,"S Gillis",3,"degree"
"253",253,"H Taelman",3,"degree"
"254",254,"Juslin",3,"degree"
"255",255,"O Peter",3,"degree"
"256",256,"O Henrik",3,"degree"
"257",257,"J Anna-Carin",3,"degree"
"258",258,"X Zhang",1,"degree"
"259",259,"T Schorr",3,"degree"
"260",260,"Y Laouris",3,"degree"
"261",261,"L Onnis",2,"degree"
"262",262,"M Roberts",2,"degree"
"263",263,"N Chater",2,"degree"
"264",264,"D Trumpower",2,"degree"
"265",265,"T Goldsmith",2,"degree"
"266",266,"M Below",2,"degree"
"267",267,"M Mermillod",4,"degree"
"268",268,"A Chauvin",4,"degree"
"269",269,"P Quinn",4,"degree"
