"","x"
"312","A Healy"
"313","R Carlson"
"314","L Stevenson"
"315","L Cohen"
"316","T Shipley"
"317","E Marshark"
"318","K That"
"319","D Aster"
"320","D Collister"
"321","B Tversky"
"322","A Cooke"
"323","C DeVita"
"324","D Alsop"
"325","J Gee"
"326","M Grossman"
"327","L Davidson"
"328","S Bode"
"329","S Curtiss"
"330","G Mathern"
"331","Z Estes"
"332","R Falk"
"333","A Hollingworth"
"334","J Henderson"
"335","S Mahadevan"
"336","F Dyer"
"337","R Gabriel"
"338","K Plunkett"
"339","G Gunzelmann"
"340","S Blessing"
"341","G Hollich"
"342","P Jusczyk"
"343","P Luce"
"344","S Howell"
"345","S Becker"
"346","A Hund"
"347","G Iyer"
"348","C Saccuman"
"349","E Bates"
"350","B Wulfeck"
"351","E Johnson"
"352","A Cutler"
"353","D Norris"
"354","N Kacinik"
"355","C Shears"
"356","C Chiarello"
"357","P Kanerva"
"358","J Kristoferson"
"359","A Holst"
"360","L Knightly"
"361","Y Kobayashi"
"362","J Kruschke"
"363","M Johnansen"
"364","N Blair"
"365","R Lea"
"366","P Kayser"
"367","E Mulligan"
"368","J Myers"
"369","J Lim"
"370","M Matessa"
"371","K Mauth"
"372","T Mintz"
"373","R Morrison"
"374","K Holyoak"
"375","B Spellman"
"376","A Nadig"
"377","J Sedivy"
"378","M Nigam"
"379","D Klahr"
"380","M Okubo"
"381","D Paxman"
"382","D Salvucci"
"383","A Sashima"
"384","K Hiraki"
"385","M Schoelles"
"386","L Schooler"
"387","J Silva"
"388","R Rhine"
"389","K Schuh"
"390","A Schutte"
"391","M Soderstrom"
"392","K Wexler"
"393","J Spencer-Smith"
"394","H Taelman"
"395","S Gillis"
"396","A Tanaka"
"397","Y Takano"
"398","L Tomitch"
"399","M Just"
"400","P Carpenter"
"401","D Trumpower"
"402","T Tsuchiya"
"403","D Vickers"
"404","A Preiss"
"405","L Wagner"
"406","W Wattenmaker"
"407","K Filak"
"408","J Mendoza"
"409","V Nieves"
"410","M Weiland"
"411","J Eilbert"
"412","C Williams"
"413","M C.W."
"414","H Yoshida"
"415","S Vosniadon"
"416","A diSessa"
"417","P Thagard"
"418","M Mozer"
"419","N Newton"
"420","J Schmahmann"
"421","V Patel"
"422","E Shortliffe"
"423","M Freed"
"424","R Remington"
"425","E Littleton"
"426","R Goldberg"
"427","J Kounios"
"428","J Hampton"
"429","A Green"
"430","S Bringsjord"
"431","N Davidenko"
"432","S Flinn"
"433","A Soares"
"434","C Correa"
"435","S Segura"
"436","R McCloy"
"437","M Firment"
"438","H Wiese"
"439","M Piñango"
"440","T Yagyu"
"441","R Spiegel"
"442","H Ogasawara"
"443","T Ohno"
"444","V Kempe"
"445","R Levy"
"446","C Graci"
"447","K Kurtz"
"448","J Cochener"
"449","D Medin"
"450","W Levy"
"451","X Wu"
"452","Y Lee"
"453","D Dubois"
"454","C Cance"
"455","G Miles"
"456","A Howes"
"457","M Yip"
"458","K Whitley"
"459","L Novick"
"460","D Fisher"
"461","H Barrett"
"462","D Bree"
"463","E Laurent"
"464","T Ripoll"
"465","H Ripoll"
"466","R Gibbs"
"467","T Matsui"
"468","G Aist"
"469","D Tanaka"
"470","D Liu"
"471","C Blunt"
"472","J Lindsay"
"473","U Hasson"
"474","H White"
"475","P Shah"
"476","H Shirouzu"
"477","G Cree"
"478","K McRae"
"479","S Glucksber"
"480","M Baumann"
"481","J Krems"
