"","id","label"
"1",1,"E Bonawitz"
"2",2,"F Xu"
"3",3,"E Wittenberg"
"4",4,"M Kline"
"5",5,"J Hartshorne"
"6",6,"T Gao"
"7",7,"C Jiang"
"8",8,"Y Zhu"
"9",9,"Y Zhao"
"10",10,"L Yu"
"11",11,"J McClelland"
"12",12,"S Hansen"
"13",13,"A Saxe"
"14",14,"E Bergelson"
"15",15,"S Khemlani"
"16",16,"G Trafton"
"17",17,"J Trueblood"
"18",18,"J Yearsley"
"19",19,"P Kvam"
"20",20,"Z Wang"
"21",21,"J Busemeyer"
"22",22,"J Suchow"
"23",23,"T Morgan"
"24",24,"J Hamrick"
"25",25,"M Pacer"
"26",26,"S Meylan"
"27",27,"T Griffiths"
"28",28,"T Tenbrink"
"29",29,"N Taatgen"
"30",30,"S Tsuji"
"31",31,"M Lewis"
"32",32,"C Bergmann"
"33",33,"M Frank"
"34",34,"A Cristia"
"35",35,"J Kao"
"36",36,"N Goodman"
"37",37,"N Cohn"
"38",38,"E Coderre"
"39",39,"L Kendall"
"40",40,"J Magliano"
"41",41,"M Goldwater"
"42",42,"Z Horne"
"43",43,"J Loewenstein"
"44",44,"R Goldstone"
"45",45,"R Hawkins"
"46",46,"O Feher"
"47",47,"K Smith"
"48",48,"S Beller"
"49",49,"A Bender"
"50",50,"C Caldwell"
"51",51,"M Christiansen"
"52",52,"K Overmann"
"53",53,"R Perez"
"54",54,"D McNamara"
"55",55,"G Solomon"
"56",56,"W Gray"
"57",57,"L Novick"
"58",58,"M Hegarty"
"59",59,"R Catrambone"
"60",60,"J Pani"
"61",61,"T Shipley"
"62",62,"K Tillman"
"63",63,"K Wagner"
"64",64,"J Chu"
"65",65,"M Imai"
"66",66,"B Malt"
"67",67,"S Widen"
"68",68,"M Shatz"
"69",69,"P Rebuschat"
"70",70,"P Monaghan"
"71",71,"R Gomez"
"72",72,"G Dell"
"73",73,"N Anderson"
"74",74,"C Conway"
"75",75,"M Eisenberg"
"76",76,"J Zacks"
"77",77,"S Flores"
"78",78,"L Howard"
"79",79,"A Woodward"
"80",80,"J Loucks"
"81",81,"A Meltzoff"
"82",82,"R Cooper"
"83",83,"A Wellwood"
"84",84,"J Kuhn"
"85",85,"P Schlenker"
"86",86,"C Geraci"
"87",87,"B Strickland"
"88",88,"S Hespos"
"89",89,"L Rips"
"90",90,"E Husband"
"91",91,"A Williams"
"92",92,"M Tiv"
"93",93,"E Milburn"
"94",94,"T Warren"
"95",95,"S Johnson"
"96",96,"C Edmunds"
"97",97,"A Wills"
"98",98,"M Collins"
"99",99,"K Gluck"
"100",100,"M Walsh"
"101",101,"M Krusmark"
"102",102,"G Gunzelmann"
"103",103,"R Frost"
"104",104,"M Vinos"
"105",105,"A Andrikopoulou"
"106",106,"C Papaeliou"
"107",107,"A Protopapas"
"108",108,"S Fairchild"
"109",109,"A Papafragou"
"110",110,"J Loo"
"111",111,"E Frissen"
"112",112,"E Krahmer"
"113",113,"M Sydow"
"114",114,"N Braus"
"115",115,"N George"
"116",116,"J Kanero"
"117",117,"D Chwilla"
"118",118,"N Nijmegen"
"119",119,"D Weiss"
"120",120,"A Pirrone"
"121",121,"Q Zhang"
"122",122,"S Li"
"123",123,"Y Chang"
"124",124,"S Welbourne"
"125",125,"A Klichowicz"
"126",126,"A Scholz"
"127",127,"S Strehlau"
"128",128,"J Krems"
"129",129,"D Ong"
"130",130,"M Asaba"
"131",131,"H Gweon"
"132",132,"I Croijmans"
"133",133,"A Majid"
"134",134,"J Schoenherr"
"135",135,"R Thomson"
"136",136,"K Soo"
"137",137,"B Rottman"
"138",138,"R Koolen"
"139",139,"A Gatt"
"140",140,"R Gompel"
"141",141,"K Deemter"
"142",142,"J Madsen"
"143",143,"M Lorenzino"
"144",144,"G Gronchi"
"145",145,"C Caudek"
"146",146,"M Matsumuro"
"147",147,"K Miwa"
"148",148,"T Chuk"
"149",149,"A Chan"
"150",150,"S Shimojo"
"151",151,"J Hsiao"
"152",152,"L Unger"
"153",153,"A Fisher"
"154",154,"G Kachergis"
"155",155,"F Berends"
"156",156,"R Kleijn"
"157",157,"B Hommel"
"158",158,"J Kim"
"159",159,"T Huppert"
"160",160,"J Badger"
"161",161,"C Behme"
"162",162,"P Mistry"
"163",163,"M Lee"
"164",164,"B Newell"
"165",165,"S Rao"
"166",166,"Y Wang"
"167",167,"G Cottrell"
"168",168,"H Honda"
"169",169,"T Matsuka"
"170",170,"K Ueda"
"171",171,"Y Peng"
"172",172,"S Thurman"
"173",173,"H Lu"
"174",174,"M Kunda"
"175",175,"M Banani"
"176",176,"J Rehg"
"177",177,"B Sarnecka"
"178",178,"Y Hayashi"
"179",179,"H Terai"
"180",180,"S Huette"
"181",181,"A Mathis"
"182",182,"A Graesser"
"183",183,"H Yazdi"
"184",184,"D Barner"
"185",185,"G Heyman"
"186",186,"M Hong"
"187",187,"D Yeo"
"188",188,"B Rittle-Johnson"
"189",189,"L Fazio"
"190",190,"L Schaeffer"
"191",191,"L Margulieux"
"192",192,"F Fotiadis"
"193",193,"M Fuyama"
"194",194,"S Hidaka"
"195",195,"G Colflesh"
"196",196,"V Karuzis"
"197",197,"P O'Rourke"
"198",198,"N Salay"
"199",199,"D Siven"
"200",200,"T Strandberg"
"201",201,"L Hall"
"202",202,"P Johansson"
"203",203,"P Parnamets"
"204",204,"D Powell"
"205",205,"P Cheng"
"206",206,"M Waldmann"
"207",207,"Y Kenett"
"208",208,"J Austerweil"
"209",209,"B Peloquin"
"210",210,"G Petkov"
"211",211,"M Pavlova"
"212",212,"S Righi"
"213",213,"G Parrini"
"214",214,"L Pierguidi"
"215",215,"M Viggiano"
"216",216,"A Capelier-Mourguy"
"217",217,"K Twomey"
"218",218,"G Westermann"
"219",219,"C Gorman"
"220",220,"A Knott"
"221",221,"S Schroeder"
"222",222,"V Marian"
"223",223,"E Hembacher"
"224",224,"J Zaki"
"225",225,"F Asr"
"226",226,"V Demberg"
"227",227,"K Johannes"
"228",228,"J Powers"
"229",229,"L Couper"
"230",230,"M Silberglitt"
"231",231,"J Davenport"
"232",232,"T Poppels"
"233",233,"R Levy"
"234",234,"T Stafford"
"235",235,"S Jenkins"
"236",236,"A Harris"
"237",237,"M Lark"
"238",238,"S Singh"
"239",239,"A Walk"
"240",240,"H Wang"
"241",241,"Y Sun"
"242",242,"J Smith"
"243",243,"F Costello"
"244",244,"P Watts"
"245",245,"A Maehigashi"
"246",246,"M Oda"
"247",247,"Y Nakamura"
"248",248,"K Mori"
"249",249,"T Igami"
"250",250,"E Jost"
"251",251,"N Brennan"
"252",252,"K Peck"
"253",253,"A Holodny"
"254",254,"C Riano"
"255",255,"F Reali"
"256",256,"M Colombo"
"257",257,"M Nilsenova"
"258",258,"J Sprenger"
"259",259,"R Cao"
"260",260,"R Nosofsky"
"261",261,"R Shiffrin"
"262",262,"D Markant"
"263",263,"A Fox"
"264",264,"M Berg"
"265",265,"E Vries"
"266",266,"P Thorn"
"267",267,"G Schurz"
"268",268,"B Azari"
"269",269,"S Bertel"
"270",270,"C Wuethrich"
"271",271,"N Shipp"
"272",272,"F Vallee-Tourangeau"
"273",273,"S Anthony"
"274",274,"S Petrusz"
"275",275,"T Rhodes"
"276",276,"J Shields"
"277",277,"A Munroe"
"278",278,"J Ye"
"279",279,"J Walker"
"280",280,"M Haque"
"281",281,"P Vogt"
"282",282,"A Alishahi"
"283",283,"C Dimov"
"284",284,"K Lippa"
"285",285,"V Shalin"
"286",286,"M Kaesler"
"287",287,"M Welsh"
"288",288,"C Semmler"
"289",289,"G Jenkins"
"290",290,"P Tupper"
"291",291,"J Vitale"
"292",292,"M Williams"
"293",293,"B Johnston"
"294",294,"Z Harmon"
"295",295,"V Kapatsinski"
"296",296,"E Fischer"
"297",297,"P Engelhardt"
"298",298,"M Takac"
"299",299,"J Chin"
"300",300,"E Stine-Morrow"
"301",301,"S Steacy"
"302",302,"S Begg"
"303",303,"D Navarro"
"304",304,"K Loo"
"305",305,"J Rij"
"306",306,"J Jarvikivi"
"307",307,"H Baayen"
"308",308,"J Blass"
"309",309,"K Forbus"
"310",310,"K Hawthorne"
"311",311,"A Arnhold"
"312",312,"E Sullivan"
"313",313,"M Rooij"
"314",314,"H Atmanspacher"
"315",315,"J Kornmeier"
"316",316,"F Medicine"
"317",317,"T Shu"
"318",318,"D Chen"
"319",319,"S Zhu"
"320",320,"A Rodriguez"
"321",321,"M Burigo"
"322",322,"P Knoeferle"
"323",323,"M Hurst"
"324",324,"C Relander"
"325",325,"S Cordes"
"326",326,"N Corbett"
"327",327,"J Booth"
"328",328,"C Barbieri"
"329",329,"L Young"
"330",330,"S Thomas"
"331",331,"H Karnick"
"332",332,"D Freudenthal"
"333",333,"J Pine"
"334",334,"G Jones"
"335",335,"F Gobet"
"336",336,"Z Qian"
"337",337,"S Cheyette"
"338",338,"E Konstantinidis"
"339",339,"J Harman"
"340",340,"C Gonzalez"
"341",341,"D Menager"
"342",342,"D Choi"
"343",343,"S Desai"
"344",344,"S Reimers"
"345",345,"D Lagnado"
"346",346,"T Miser"
"347",347,"V Sloutsky"
"348",348,"E Kim"
"349",349,"S Gimbel"
"350",350,"A Litvinova"
"351",351,"J Kaplan"
"352",352,"M Dehghani"
"353",353,"A Cohen"
"354",354,"B Lake"
"355",355,"I Doesburg"
"356",356,"S Tan"
"357",357,"K Muldner"
"358",358,"J Lefevre"
"359",359,"A Fourtassi"
"360",360,"E Dupoux"
"361",361,"M Destefano"
"362",362,"N Toyama"
"363",363,"K Cooperrider"
"364",364,"D Gentner"
"365",365,"S Goldin-Meadow"
"366",366,"L Marti"
"367",367,"S Piantadosi"
"368",368,"F Mollica"
"369",369,"C Kidd"
"370",370,"M Grinberg"
"371",371,"E Hristova"
"372",372,"V Kadreva"
"373",373,"S Bridgers"
"374",374,"J Jara-Ettinger"
"375",375,"N Akhavan"
"376",376,"T Goksun"
"377",377,"N Nozari"
"378",378,"E Konovalova"
"379",379,"G Mens"
"380",380,"S Yoon"
"381",381,"N Fong"
"382",382,"N Dahlback"
"383",383,"M Kristiansson"
"384",384,"K Ross"
"385",385,"T Lew"
