"","id","label"
"1",1,"M Botvinick"
"2",2,"P Battaglia"
"3",3,"F Martin"
"4",4,"J Spencer"
"5",5,"V Simmering"
"6",6,"S Schneegans"
"7",7,"S Albert"
"8",8,"C Heath"
"9",9,"P Healey"
"10",10,"U Furbach"
"11",11,"S Holldobler"
"12",12,"M Ragni"
"13",13,"C Schon"
"14",14,"J Jarecki"
"15",15,"J Sherson"
"16",16,"J Hamari"
"17",17,"J Bopp"
"18",18,"L Heaney"
"19",19,"S Steinemann"
"20",20,"P Haikka"
"21",21,"C Bergenholtz"
"22",22,"M Kleiman-Weiner"
"23",23,"Y Zhao"
"24",24,"J Tenenbaum"
"25",25,"K Livins"
"26",26,"J Martin"
"27",27,"A Taves"
"28",28,"D Xygalatas"
"29",29,"J Shaver"
"30",30,"I Yildirim"
"31",31,"A Bender"
"32",32,"S Beller"
"33",33,"R Astuti"
"34",34,"O Guen"
"35",35,"K Overmann"
"36",36,"P Racz"
"37",37,"F Jordan"
"38",38,"M Solberg"
"39",39,"N Cohn"
"40",40,"T Foulsham"
"41",41,"T Smith"
"42",42,"J Zacks"
"43",43,"W Gray"
"44",44,"R Perez"
"45",45,"M Butz"
"46",46,"S Reeves"
"47",47,"M Sangster"
"48",48,"T Stafford"
"49",49,"F Gobet"
"50",50,"M Hegarty"
"51",51,"D Uttal"
"52",52,"M Stieff"
"53",53,"T Lowrie"
"54",54,"S Vosniadou"
"55",55,"P Langley"
"56",56,"R Cooper"
"57",57,"T Rogers"
"58",58,"C Kalish"
"59",59,"L Swiney"
"60",60,"D Kelemen"
"61",61,"A Shtulman"
"62",62,"J Coley"
"63",63,"N Betz"
"64",64,"S Blancke"
"65",65,"K Tillman"
"66",66,"F Monier"
"67",67,"M Zhang"
"68",68,"J Redshaw"
"69",69,"T McCormack"
"70",70,"J Trueswell"
"71",71,"L Smith"
"72",72,"C Yang"
"73",73,"D Abney"
"74",74,"R Dale"
"75",75,"C Kello"
"76",76,"M Louwerse"
"77",77,"E Abramova"
"78",78,"M Slors"
"79",79,"I Rooij"
"80",80,"A Acharya"
"81",81,"X Chen"
"82",82,"C Myers"
"83",83,"R Lewis"
"84",84,"A Howes"
"85",85,"K Adams"
"86",86,"G Kachergis"
"87",87,"H Alireza"
"88",88,"A Fedor"
"89",89,"M Thomas"
"90",90,"M Andrews"
"91",91,"L Aulet"
"92",92,"S Yousif"
"93",93,"S Lourenco"
"94",94,"B Bago"
"95",95,"W Neys"
"96",96,"A Barque-Duran"
"97",97,"E Pothos"
"98",98,"I Bass"
"99",99,"E Bonawitz"
"100",100,"P Shafto"
"101",101,"D Ramarajan"
"102",102,"A Gopnik"
"103",103,"H Wellman"
"104",104,"H Gweon"
"105",105,"R Battleday"
"106",106,"J Peterson"
"107",107,"T Griffiths"
"108",108,"B Beekhuizen"
"109",109,"J Watson"
"110",110,"S Stevenson"
"111",111,"A Black"
"112",112,"C Bergmann"
"113",113,"S Blakeman"
"114",114,"D Mareschal"
"115",115,"N Blauch"
"116",116,"E Aminoff"
"117",117,"M Tarr"
"118",118,"P Blouw"
"119",119,"C Eliasmith"
"120",120,"J Bonnefon"
"121",121,"A Hopfensitz"
"122",122,"D Bosch"
"123",123,"D Kalkstein"
"124",124,"T Kleiman"
"125",125,"R Mayrhofer"
"126",126,"T Gerstenberg"
"127",127,"D Lagnado"
"128",128,"G Braquet"
"129",129,"J Culbertson"
"130",130,"S Bridgers"
"131",131,"S Altman"
"132",132,"B Brucker"
"133",133,"B Koning"
"134",134,"A Ehlis"
"135",135,"D Rosenbaum"
"136",136,"P Gerjets"
"137",137,"L Scatturin"
"138",138,"S Buechel"
"139",139,"U Hahn"
"140",140,"W Bushong"
"141",141,"T Jaeger"
"142",142,"Z Cai"
"143",143,"R Wang"
"144",144,"H Liu"
"145",145,"M Speekenbrink"
"146",146,"P Carvalho"
"147",147,"R Goldstone"
"148",148,"E McLaughlin"
"149",149,"K Koedinger"
"150",150,"A Caso"
"151",151,"G Cassani"
"152",152,"R Grimm"
"153",153,"S Gillis"
"154",154,"W Daelemans"
"155",155,"S Cheyette"
"156",156,"S Piantadosi"
"157",157,"K Clothier"
"158",158,"S Nambu"
"159",159,"H Ono"
"160",160,"A Omaki"
"161",161,"S Cohen"
