"","id","label"
"1",1,"L Ball"
"2",2,"A Stevens"
"3",3,"S Buecher"
"4",4,"C Holscher"
"5",5,"J Wiener"
"6",6,"R Goldstone"
"7",7,"D Landy"
"8",8,"S Araujo"
"9",9,"C Forkstam"
"10",10,"P Hagoor"
"11",11,"M Ingvar"
"12",12,"K Petersson"
"13",13,"J Udden"
"14",14,"T Griffiths"
"15",15,"D Klein"
"16",16,"A Rafferty"
"17",17,"M Elk"
"18",18,"N Khetarpal"
"19",19,"A Majid"
"20",20,"T Regier"
"21",21,"B Bertenthal"
"22",22,"T Boyer"
"23",23,"M Sceutz"
"24",24,"K Holmes"
"25",25,"S Lourenco"
"26",26,"K Deitz"
"27",27,"J Huttenlocher"
"28",28,"M Kwon"
"29",29,"S Levine"
"30",30,"K Ratliff"
"31",31,"S Buchner"
"32",32,"L Konieczny"
"33",33,"R Burns"
"34",34,"S Carberry"
"35",35,"S Elzer"
"36",36,"K Forbus"
"37",37,"D Gentner"
"38",38,"B Jee"
"39",39,"B Sageman"
"40",40,"D Uttal"
"41",41,"D Baldwin"
"42",42,"D Buchsbaum"
"43",43,"A Gopnik"
"44",44,"S Friedman"
"45",45,"R Bromme"
"46",46,"S Pieschl"
"47",47,"T Porsch"
"48",48,"E Stahl"
"49",49,"S Gershman"
"50",50,"R Hausmann"
"51",51,"T Nokes"
"52",52,"K VanLehn"
"53",53,"M Kapur"
"54",54,"J Lee"
"55",55,"J Lewis"
"56",56,"K Kan"
"57",57,"H Maas"
"58",58,"W Hachmann"
"59",59,"D Muller"
"60",60,"J Tree"
"61",61,"T Fox"
"62",62,"T John"
"63",63,"A Eshghi"
"64",64,"P Healey"
"65",65,"J Chen"
"66",66,"P O'Seaghdha"
"67",67,"M Carroll"
"68",68,"M Flecken"
"69",69,"C Stutterheim"
"70",70,"S Cook"
"71",71,"T Jaeger"
"72",72,"M Tanenhaus"
"73",73,"S Kim"
"74",74,"B Rehder"
"75",75,"B Hayes"
"76",76,"B Newell"
"77",77,"C Papadopoulos"
"78",78,"G Egidi"
"79",79,"U Hasson"
"80",80,"K Gerasymova"
"81",81,"L Steels"
"82",82,"R Trijp"
"83",83,"J Lukavsky"
"84",84,"F Smolik"
"85",85,"N Ruh"
"86",86,"G Westermann"
"87",87,"T Davis"
"88",88,"M Riley"
"89",89,"K Shockley"
"90",90,"C Hemelrijk"
"91",91,"R Verbrugge"
"92",92,"E Vaart"
"93",93,"C Agrillo"
"94",94,"A Bisazza"
"95",95,"M Dadda"
"96",96,"L Piffer"
"97",97,"G Serena"
"98",98,"S Aldrovandi"
"99",99,"J Hampton"
"100",100,"D Huessen"
"101",101,"P Kusev"
"102",102,"F Vallee-Tourangeau"
"103",103,"S Webb"
"104",104,"D Cosejo"
"105",105,"B Eugenio"
"106",106,"D Fossati"
"107",107,"S Ohlsson"
"108",108,"K Catley"
"109",109,"L Novick"
"110",110,"M Coco"
"111",111,"F Keller"
"112",112,"F Durgin"
"113",113,"D Grodner"
"114",114,"C Pietsch"
"115",115,"E Krahmer"
"116",116,"D Stapel"
"117",117,"K Bicknell"
"118",118,"H Rohde"
"119",119,"M Frank"
"120",120,"N Goodman"
"121",121,"P Lai"
"122",122,"J Tenenbaum"
"123",123,"A Fazly"
"124",124,"A Nematzadeh"
"125",125,"S Stevenson"
"126",126,"J Johnson"
"127",127,"C Patterson"
"128",128,"V Simmering"
"129",129,"J Spencer"
"130",130,"R Franse"
"131",131,"M Raijmakers"
"132",132,"S Es"
"133",133,"T Schijndel"
"134",134,"L Greshmam"
"135",135,"H Kloos"
"136",136,"A Jern"
"137",137,"C Kemp"
"138",138,"C Was"
"139",139,"B Love"
"140",140,"Y Sakamoto"
"141",141,"T Yamauchi"
"142",142,"R Colner"
"143",143,"A Perfors"
"144",144,"S Barbieri"
"145",145,"M Fumagalli"
"146",146,"C Lucchiari"
"147",147,"S Makic-Sposta"
"148",148,"S Marceglia"
"149",149,"G Pravettoni"
"150",150,"A Priori"
"151",151,"D Servello"
"152",152,"M Bassok"
"153",153,"K Fisher"
"154",154,"L Osterhout"
"155",155,"H Bowman"
"156",156,"S Chennu"
"157",157,"P Craston"
"158",158,"B Wyble"
"159",159,"D Kravitz"
"160",160,"G Lupyan"
"161",161,"A Barto"
"162",162,"R Lewis"
"163",163,"S Singh"
"164",164,"M Sugiura"
"165",165,"T Hills"
"166",166,"J Maouene"
"167",167,"B Riordan"
"168",168,"L Smith"
"169",169,"B Roy"
"170",170,"D Roy"
"171",171,"I Arnon"
"172",172,"M Ramscar"
"173",173,"M Mueller"
"174",174,"T Wareham"
"175",175,"I Rooij"
"176",176,"A D'Angiulli"
"177",177,"G Koostra"
"178",178,"L Schomaker"
"179",179,"M Kirby"
"180",180,"N Berg"
"181",181,"G Gigerenzer"
"182",182,"L Martignon"
"183",183,"M Monti"
"184",184,"M Coen"
