"","id","label"
"1",1,"E Littleton"
"2",2,"C Schunn"
"3",3,"S Kirschenbaum"
"4",4,"R Goldberg"
"5",5,"D Casasanto"
"6",6,"J Kounios"
"7",7,"J Detre"
"8",8,"J Hampton"
"9",9,"A Green"
"10",10,"Z Estes"
"11",11,"S Bringsjord"
"12",12,"Y Yang"
"13",13,"N Davidenko"
"14",14,"J Tenenbaum"
"15",15,"S Flinn"
"16",16,"A Soares"
"17",17,"C Correa"
"18",18,"S Segura"
"19",19,"R McCloy"
"20",20,"D Billman"
"21",21,"M Firment"
"22",22,"H Wiese"
"23",23,"M Piñango"
"24",24,"T Yagyu"
"25",25,"R Spiegel"
"26",26,"I McLaren"
"27",27,"H Ogasawara"
"28",28,"T Ohno"
"29",29,"V Kempe"
"30",30,"R Levy"
"31",31,"C Graci"
"32",32,"K Kurtz"
"33",33,"J Cochener"
"34",34,"D Medin"
"35",35,"B Morris"
"36",36,"W Levy"
"37",37,"X Wu"
"38",38,"Y Lee"
"39",39,"D Dubois"
"40",40,"C Cance"
"41",41,"G Miles"
"42",42,"A Howes"
"43",43,"M Yip"
"44",44,"K Whitley"
"45",45,"L Novick"
"46",46,"D Fisher"
"47",47,"H Barrett"
"48",48,"D Bree"
"49",49,"E Laurent"
"50",50,"T Ripoll"
"51",51,"H Ripoll"
"52",52,"R Gibbs"
"53",53,"T Matsui"
"54",54,"J Snedeker"
"55",55,"J Trueswell"
"56",56,"G Aist"
"57",57,"D Tanaka"
"58",58,"D Liu"
"59",59,"C Blunt"
"60",60,"J Lindsay"
"61",61,"U Hasson"
"62",62,"H White"
"63",63,"P Shah"
"64",64,"H Shirouzu"
"65",65,"G Cree"
"66",66,"K McRae"
"67",67,"S Glucksber"
"68",68,"M Baumann"
"69",69,"J Krems"
"70",70,"L Perez-Miranda"
"71",71,"K Kwok"
"72",72,"J McClelland"
"73",73,"E Colunga"
"74",74,"L Smith"
"75",75,"R Catramabone"
"76",76,"R Atkinson"
"77",77,"L Magnani"
"78",78,"I Wachsmuth"
"79",79,"M Frank"
"80",80,"L Boroditsky"
"81",81,"M Ellefson"
"82",82,"K Gluck"
"83",83,"M Young"
"84",84,"M Pelley"
"85",85,"S Forwood"
"86",86,"R Alterman"
"87",87,"A Feinman"
"88",88,"J Introne"
"89",89,"S Landsman"
"90",90,"F Keller"
"91",91,"A Asudeh"
"92",92,"C Walsh"
"93",93,"P Johnson-Laird"
"94",94,"P Pexman"
"95",95,"S Lupker"
"96",96,"Y Hino"
"97",97,"M Hare"
"98",98,"T Ferretti"
"99",99,"J Elman"
"100",100,"B Burns"
"101",101,"P Wiemer-Hastings"
"102",102,"I Zipitria"
"103",103,"A Reid"
"104",104,"W Marslen-Wilson"
"105",105,"J Hale"
"106",106,"P Smolensky"
"107",107,"R Shillcock"
"108",108,"P Monaghan"
"109",109,"J Wiley"
"110",110,"J Rodd"
"111",111,"G Gaskell"
"112",112,"R Meeks"
"113",113,"J Staszewski"
"114",114,"H Richman"
"115",115,"H Simon"
"116",116,"P Delahanty"
"117",117,"M Vilcu"
"118",118,"R Hadley"
"119",119,"K Sacco"
"120",120,"M Bucciarelli"
"121",121,"M Adenzato"
"122",122,"P Slusarz"
"123",123,"R Sun"
"124",124,"D Gentner"
"125",125,"J Bullinaria"
"126",126,"L Bonnar"
"127",127,"P Schyns"
"128",128,"F Gosselin"
"129",129,"M Rabinowitz"
"130",130,"T Hogan"
"131",131,"L Connell"
"132",132,"M Ramscar"
"133",133,"R Reuter"
"134",134,"J Wiles"
"135",135,"R Schulz"
"136",136,"S Bolland"
"137",137,"B Tonkes"
"138",138,"J Hallinan"
"139",139,"T Griffiths"
"140",140,"J Weisberg"
"141",141,"T Shultz"
"142",142,"J Katz"
"143",143,"M Lepper"
"144",144,"K Miwa"
"145",145,"L Mujica-Parodi"
"146",146,"T Greenberg"
"147",147,"R Bilder"
"148",148,"D Malaspina"
"149",149,"M Tyler"
"150",150,"M Spivey"
"151",151,"W Lowe"
"152",152,"C Stilwell"
"153",153,"A Markman"
"154",154,"H Yoshida"
"155",155,"C Drake"
"156",156,"J Swanson"
"157",157,"L Gudel"
"158",158,"F Costello"
"159",159,"S Blok"
"160",160,"G Newman"
"161",161,"J Behr"
"162",162,"L Rips"
"163",163,"D Hilton"
"164",164,"J Bonnefon"
"165",165,"M Kemmelmeier"
"166",166,"K Thorpe"
"167",167,"A Raftopoulos"
"168",168,"P Munro"
"169",169,"G Cottrell"
"170",170,"T Palmeri"
"171",171,"M Flanery"
"172",172,"D Richardson"
"173",173,"J Cheung"
"174",174,"S Scott"
"175",175,"S Bode"
"176",176,"S Curtiss"
"177",177,"N Kim"
