"","from","to"
"1","R Salakhutdinov","B Lake"
"2","J Tenenbaum","B Lake"
"3","J Tenenbaum","R Salakhutdinov"
"4","C Lebiere","I Juvina"
"5","C Gonzalez","I Juvina"
"6","C Gonzalez","C Lebiere"
"7","M Saleem","I Juvina"
"8","M Saleem","C Lebiere"
"9","M Saleem","C Gonzalez"
"10","C Kemp","C Carroll"
"11","F Vallee-Tourangeau","F Vallee-Tourangeau"
"12","G Trafton","S Khemlani"
"13","P Healey","C Howes"
"14","M Purver","C Howes"
"15","M Purver","P Healey"
"16","A Eshghi","C Howes"
"17","A Eshghi","P Healey"
"18","A Eshghi","M Purver"
"19","P Bilkstein","P Bilkstein"
"20","T Gureckis","D Markant"
"21","J Williams","C Walker"
"22","T Lombrozo","C Walker"
"23","T Lombrozo","J Williams"
"24","A Gopnik","C Walker"
"25","A Gopnik","J Williams"
"26","A Gopnik","T Lombrozo"
"27","J Hsiao","T Liu"
"28","O Alacam","C Acarturk"
"29","J Dungan","J Koster-Hale"
"30","R Saxe","J Koster-Hale"
"31","R Saxe","J Dungan"
"32","L Young","J Koster-Hale"
"33","L Young","J Dungan"
"34","L Young","R Saxe"
"35","T Hills","D Wulff"
"36","R Hertwig","D Wulff"
"37","R Hertwig","T Hills"
"38","R Goldstone","P Carvalho"
"39","J Anderson","J Moon"
"40","H Sakai","M Sato"
"41","J Wu","M Sato"
"42","J Wu","H Sakai"
"43","B Bergen","M Sato"
"44","B Bergen","H Sakai"
"45","B Bergen","J Wu"
"46","L Maaten","J Lewis"
"47","V Sa","J Lewis"
"48","V Sa","L Maaten"
"49","S Kelly","J Holler"
"50","P Hagoort","J Holler"
"51","P Hagoort","S Kelly"
"52","A Ozyurek","J Holler"
"53","A Ozyurek","S Kelly"
"54","A Ozyurek","P Hagoort"
"55","E Coppess","Y Kronrod"
"56","N Feldman","Y Kronrod"
"57","N Feldman","E Coppess"
"58","A Bender","S Beller"
"59","T Ullman","P Battaglia"
"60","J Tenenbaum","P Battaglia"
"61","J Tenenbaum","T Ullman"
"62","A Sanborn","P Battaglia"
"63","A Sanborn","T Ullman"
"64","A Sanborn","J Tenenbaum"
"65","K Forbus","P Battaglia"
"66","K Forbus","T Ullman"
"67","K Forbus","J Tenenbaum"
"68","K Forbus","A Sanborn"
"69","T Gerstenberg","P Battaglia"
"70","T Gerstenberg","T Ullman"
"71","T Gerstenberg","J Tenenbaum"
"72","T Gerstenberg","A Sanborn"
"73","T Gerstenberg","K Forbus"
"74","D Lagnado","P Battaglia"
"75","D Lagnado","T Ullman"
"76","D Lagnado","J Tenenbaum"
"77","D Lagnado","A Sanborn"
"78","D Lagnado","K Forbus"
"79","D Lagnado","T Gerstenberg"
"80","J Ha","B Zhang"
"81","M Kang","B Zhang"
"82","M Kang","J Ha"
"83","G Mauner","H Yun"
"84","D Roland","H Yun"
"85","D Roland","G Mauner"
"86","J Koenig","H Yun"
"87","J Koenig","G Mauner"
"88","J Koenig","D Roland"
"89","N Goodman","T Gerstenberg"
"91","D Lagnado","N Goodman"
"93","J Tenenbaum","N Goodman"
"95","F Choo","T Stewart"
"96","C Eliasmith","T Stewart"
"97","C Eliasmith","F Choo"
"98","M Garraffa","M Coco"
"99","H Branigan","M Coco"
"100","H Branigan","M Garraffa"
"101","S Duman","K Phelps"
"102","J Leung","R Chan"
"103","A Abrahamsen","W Bechtel"
"104","F Jones","F Yeates"
"105","A Wills","F Yeates"
"106","A Wills","F Jones"
"107","M Aitken","F Yeates"
"108","M Aitken","F Jones"
"109","M Aitken","A Wills"
"110","I McLaren","F Yeates"
"111","I McLaren","F Jones"
"112","I McLaren","A Wills"
"113","I McLaren","M Aitken"
"114","L Kornbluth","L Zhang"
"115","P Knoeferle","L Zhang"
"116","P Knoeferle","L Kornbluth"
"117","H Wang","Y Sun"
"118","S Hutchinson","M Louwerse"
"119","Z Cai","M Louwerse"
"120","Z Cai","S Hutchinson"
"121","P Holcomb","N Cohn"
"122","R Jackendoff","N Cohn"
"123","R Jackendoff","P Holcomb"
"124","G Kuperberg","N Cohn"
"125","G Kuperberg","P Holcomb"
"126","G Kuperberg","R Jackendoff"
"127","M Waldman","J Nagel"
"128","E Bennett","A Gagliardi"
"129","J Lidz","A Gagliardi"
"130","J Lidz","E Bennett"
"131","N Feldman","A Gagliardi"
"132","N Feldman","E Bennett"
"133","N Feldman","J Lidz"
"134","E Redcay","N Dufour"
"135","L Young","N Dufour"
"136","L Young","E Redcay"
"137","P Mavros","N Dufour"
"138","P Mavros","E Redcay"
"139","P Mavros","L Young"
"140","J Moran","N Dufour"
"141","J Moran","E Redcay"
"142","J Moran","L Young"
"143","J Moran","P Mavros"
"144","C Triantafyllou","N Dufour"
"145","C Triantafyllou","E Redcay"
"146","C Triantafyllou","L Young"
"147","C Triantafyllou","P Mavros"
"148","C Triantafyllou","J Moran"
"149","J Gabrieli","N Dufour"
"150","J Gabrieli","E Redcay"
"151","J Gabrieli","L Young"
"152","J Gabrieli","P Mavros"
"153","J Gabrieli","J Moran"
"154","J Gabrieli","C Triantafyllou"
"155","R Saxe","N Dufour"
"156","R Saxe","E Redcay"
"158","R Saxe","P Mavros"
"159","R Saxe","J Moran"
"160","R Saxe","C Triantafyllou"
"161","R Saxe","J Gabrieli"
"162","D Lynott","L Connell"
"163","S Pado","A Zarcone"
"164","A Lenci","A Zarcone"
"165","A Lenci","S Pado"
"166","T Konno","J Morita"
"167","T Hashimoto","J Morita"
"168","T Hashimoto","T Konno"
"169","R Levy","K Bicknell"
"170","A Stuhlmuller","N Goodman"
"171","O Lappi","A Rusanen"
"172","A Prefors","D Navarro"
"173","E Hristova","M Grinberg"
"174","M Borisova","M Grinberg"
"175","M Borisova","E Hristova"
"176","A Scholz","F Rebitschek"
