"","from","to"
"1","C Gaviria","W Jimenez-Leal"
"2","M Uribe","W Jimenez-Leal"
"3","M Uribe","C Gaviria"
"4","K Deemter","R Kutlak"
"5","C Mellish","R Kutlak"
"6","C Mellish","K Deemter"
"7","X Oyarzabal","K Kurtz"
"8","A Bruin","D Casasanto"
"9","M Welsh","B Bruza"
"10","D Navarro","B Bruza"
"11","D Navarro","M Welsh"
"12","S Begg","B Bruza"
"13","S Begg","M Welsh"
"14","S Begg","D Navarro"
"15","T Barrett","A Stull"
"16","M Hegarty","A Stull"
"17","M Hegarty","T Barrett"
"18","M Pedro","J Gobert"
"19","O Montalvo","J Gobert"
"20","O Montalvo","M Pedro"
"21","E Toto","J Gobert"
"22","E Toto","M Pedro"
"23","E Toto","O Montalvo"
"24","M Bachmann","J Gobert"
"25","M Bachmann","M Pedro"
"26","M Bachmann","O Montalvo"
"27","M Bachmann","E Toto"
"28","R Baker","J Gobert"
"29","R Baker","M Pedro"
"30","R Baker","O Montalvo"
"31","R Baker","E Toto"
"32","R Baker","M Bachmann"
"33","J Matthews","Y Huang"
"34","M Kallmann","Y Huang"
"35","M Kallmann","J Matthews"
"36","T Matlock","Y Huang"
"37","T Matlock","J Matthews"
"38","T Matlock","M Kallmann"
"39","R Goldstone","D Braithwaite"
"40","R Raafat","A Coen"
"41","N Chater","A Coen"
"42","N Chater","R Raafat"
"43","A Lai","M Ament"
"44","A Cox","M Ament"
"45","A Cox","A Lai"
"46","H Weldle","S Schwarzkopf"
"47","D Muller","S Schwarzkopf"
"48","D Muller","H Weldle"
"49","L Koniezcny","S Schwarzkopf"
"50","L Koniezcny","H Weldle"
"51","L Koniezcny","D Muller"
"52","C Walkington","J Cooper"
"53","C Williams","J Cooper"
"54","C Williams","C Walkington"
"55","O Akinsiku","J Cooper"
"56","O Akinsiku","C Walkington"
"57","O Akinsiku","C Williams"
"58","C Kalish","J Cooper"
"59","C Kalish","C Walkington"
"60","C Kalish","C Williams"
"61","C Kalish","O Akinsiku"
"62","A Ellis","J Cooper"
"63","A Ellis","C Walkington"
"64","A Ellis","C Williams"
"65","A Ellis","O Akinsiku"
"66","A Ellis","C Kalish"
"67","E Knuth","J Cooper"
"68","E Knuth","C Walkington"
"69","E Knuth","C Williams"
"70","E Knuth","O Akinsiku"
"71","E Knuth","C Kalish"
"72","E Knuth","A Ellis"
"73","T Mintz","T Mintz"
"74","J Matthews","M Greenwood"
"75","T Matlock","M Greenwood"
"77","M Spivey","M Greenwood"
"78","M Spivey","J Matthews"
"79","M Spivey","T Matlock"
"80","N Goodman","A Stiller"
"81","M Frank","A Stiller"
"82","M Frank","N Goodman"
"83","C Yu","H Choi"
"84","L Smith","H Choi"
"85","L Smith","C Yu"
"86","O Sporns","H Choi"
"87","O Sporns","C Yu"
"88","O Sporns","L Smith"
"89","K Inukai","T Wisdom"
"90","K Kurosaka","T Wisdom"
"91","K Kurosaka","K Inukai"
"92","W Toyokawa","T Wisdom"
"93","W Toyokawa","K Inukai"
"94","W Toyokawa","K Kurosaka"
"95","Y Hizen","T Wisdom"
"96","Y Hizen","K Inukai"
"97","Y Hizen","K Kurosaka"
"98","Y Hizen","W Toyokawa"
"99","T Kameda","T Wisdom"
"100","T Kameda","K Inukai"
"101","T Kameda","K Kurosaka"
"102","T Kameda","W Toyokawa"
"103","T Kameda","Y Hizen"
"104","P Pyykkonen","A Alishahi"
"105","J Coley","N Vasilyeva"
"106","S Dennis","A Osth"
"108","M Upal","M Upal"
"109","S Finley","S Finley"
"110","S Lee","S Lee"
"111","R Port","R Port"
"112","A Demos","A Shaw"
"113","D Arthur","A Shaw"
"114","D Arthur","A Demos"
"115","J Magnuson","A Shaw"
"116","J Magnuson","A Demos"
"117","J Magnuson","D Arthur"
"118","L Itti","N Noori"
"119","K Miwa","N Kanzaki"
"120","Y Kim","Y So"
"121","A Fazly","A Nematzadeh"
"122","S Stevenson","A Nematzadeh"
"123","S Stevenson","A Fazly"
"124","L Konieczny","N Shuval"
"125","B Hemforth","N Shuval"
"126","B Hemforth","L Konieczny"
"127","S Stevenson","C Pariesen"
"128","S Somers","R West"
"129","D Dillon","I Song"
"130","R Youmas","J Ramsburg"
"131","B Colder","B Colder"
"132","M Misirlisoy","N Atalay"
"133","S Anderson","S Huette"
"134","T Matlock","S Huette"
"135","T Matlock","S Anderson"
"136","M Spivey","S Huette"
"137","M Spivey","S Anderson"
"139","A Knittel","A Knittel"
"140","K Deemter","M Mitchell"
"141","E Reiter","M Mitchell"
"142","E Reiter","K Deemter"
"143","E Bardone","L Magnani"
"144","T Bertolotti","L Magnani"
"145","T Bertolotti","E Bardone"
"146","S Newman","F Soylu"
"147","B Burns","B Burns"
"148","S Davies","K Butcher"
"149","A Crockett","K Butcher"
"150","A Crockett","S Davies"
"151","R Zheng","K Butcher"
"152","R Zheng","S Davies"
"153","R Zheng","A Crockett"
"154","A Dewald","K Butcher"
"155","A Dewald","S Davies"
"156","A Dewald","A Crockett"
"157","A Dewald","R Zheng"
"158","A Cook","K Butcher"
"159","A Cook","S Davies"
"160","A Cook","A Crockett"
"161","A Cook","R Zheng"
"162","A Cook","A Dewald"
"163","R Goldstone","S Frey"
"164","N Kirkham","K Swan"
"165","S Makioka","S Makioka"
"166","M Mota","K Tagarelli"
"167","P Rebuschat","K Tagarelli"
"168","P Rebuschat","M Mota"
"169","H Fitz","H Fitz"
"170","K Diessaert","A Sevenants"
"171","W Schaeken","A Sevenants"
"172","W Schaeken","K Diessaert"
"173","D Plaut","B Armstrong"
"174","S Vosniadou","M DeWolf"
"175","B Liang","J Chen"
"176","P O'Seaghdha","J Chen"
"177","P O'Seaghdha","B Liang"
"178","X Huang","J Chen"
"179","X Huang","B Liang"
"180","X Huang","P O'Seaghdha"
"181","E Colunga","C Sims"
"182","S Jordan","B Lisa"
"183","T Robert","B Lisa"
"184","T Robert","S Jordan"
"185","L Guy","B Lisa"
"186","L Guy","S Jordan"
"187","L Guy","T Robert"
"188","S Moffat","S Moffat"
"189","B Abbs","B Abbs"
"190","R Raghunathan","J Loewenstein"
"191","C Heath","J Loewenstein"
"192","C Heath","R Raghunathan"
"193","S Wallot","C Coey"
"194","M Richardson","C Coey"
"195","M Richardson","S Wallot"
"196","G Orden","C Coey"
"197","G Orden","S Wallot"
"198","G Orden","M Richardson"
"199","D Casasanto","R Bottini"
"200","M Speekenbrink","M Osman"
"201","S D'Mello","B Morgan"
"202","J Fielding","B Morgan"
"203","J Fielding","S D'Mello"
"204","K Fike","B Morgan"
"205","K Fike","S D'Mello"
"206","K Fike","J Fielding"
"207","A Tamplin","B Morgan"
"208","A Tamplin","S D'Mello"
"209","A Tamplin","J Fielding"
"210","A Tamplin","K Fike"
"211","G Radvansky","B Morgan"
"212","G Radvansky","S D'Mello"
"213","G Radvansky","J Fielding"
"214","G Radvansky","K Fike"
"215","G Radvansky","A Tamplin"
"216","J Arnett","B Morgan"
"217","J Arnett","S D'Mello"
"218","J Arnett","J Fielding"
"219","J Arnett","K Fike"
"220","J Arnett","A Tamplin"
"221","J Arnett","G Radvansky"
"222","R Abbott","B Morgan"
"223","R Abbott","S D'Mello"
"224","R Abbott","J Fielding"
"225","R Abbott","K Fike"
"226","R Abbott","A Tamplin"
"227","R Abbott","G Radvansky"
"228","R Abbott","J Arnett"
"229","A Graesser","B Morgan"
"230","A Graesser","S D'Mello"
"231","A Graesser","J Fielding"
"232","A Graesser","K Fike"
"233","A Graesser","A Tamplin"
"234","A Graesser","G Radvansky"
"235","A Graesser","J Arnett"
"236","A Graesser","R Abbott"
"237","E Sullivan","A Hostetter"
"238","D Field","R Shahbazi"
"239","S Edelmann","R Shahbazi"
"240","S Edelmann","D Field"
"241","T Lombrozo","K Uttich"
"242","R Dale","M Riordan"
"243","R Kreuz","M Riordan"
"244","R Kreuz","R Dale"
"245","A Olney","M Riordan"
"246","A Olney","R Dale"
"247","A Olney","R Kreuz"
"248","V Zabotkina","V Zabotkina"
