"","from","to"
"1","H Avila-Munoz","A Cleary"
"2","E Heit","A Cleary"
"3","E Heit","H Avila-Munoz"
"4","C Hoadley","A Cleary"
"5","C Hoadley","H Avila-Munoz"
"6","C Hoadley","E Heit"
"7","L Namy","A Cleary"
"8","L Namy","H Avila-Munoz"
"9","L Namy","E Heit"
"10","L Namy","C Hoadley"
"11","A Ishai","A Cleary"
"12","A Ishai","H Avila-Munoz"
"13","A Ishai","E Heit"
"14","A Ishai","C Hoadley"
"15","A Ishai","L Namy"
"16","B Tuller","A Cleary"
"17","B Tuller","H Avila-Munoz"
"18","B Tuller","E Heit"
"19","B Tuller","C Hoadley"
"20","B Tuller","L Namy"
"21","B Tuller","A Ishai"
"22","Y Zhao","T Gao"
"23","L Yu","T Gao"
"24","L Yu","Y Zhao"
"25","J Tenenbaum","J Hartshorne"
"26","B Turner","A Heathcote"
"27","S Brown","A Heathcote"
"28","S Brown","B Turner"
"29","M Pitt","J Myung"
"30","M Speekenbrink","J Myung"
"31","M Speekenbrink","M Pitt"
"32","R Dale","M Coco"
"33","J Leeuw","J Leeuw"
"34","J Kruschke","J Kruschke"
"35","J Yearsley","J Trueblood"
"36","Z Wang","J Trueblood"
"37","Z Wang","J Yearsley"
"38","J Busemeyer","J Trueblood"
"39","J Busemeyer","J Yearsley"
"40","J Busemeyer","Z Wang"
"41","C Kalish","M Alibali"
"42","T Rogers","M Alibali"
"43","T Rogers","C Kalish"
"44","C Massey","M Alibali"
"45","C Massey","C Kalish"
"46","C Massey","T Rogers"
"47","P Kellman","M Alibali"
"48","P Kellman","C Kalish"
"49","P Kellman","T Rogers"
"50","P Kellman","C Massey"
"51","V Sloutsky","M Alibali"
"52","V Sloutsky","C Kalish"
"53","V Sloutsky","T Rogers"
"54","V Sloutsky","C Massey"
"55","V Sloutsky","P Kellman"
"56","J McClelland","M Alibali"
"57","J McClelland","C Kalish"
"58","J McClelland","T Rogers"
"59","J McClelland","C Massey"
"60","J McClelland","P Kellman"
"61","J McClelland","V Sloutsky"
"62","K Mickey","M Alibali"
"63","K Mickey","C Kalish"
"64","K Mickey","T Rogers"
"65","K Mickey","C Massey"
"66","K Mickey","P Kellman"
"67","K Mickey","V Sloutsky"
"68","K Mickey","J McClelland"
"69","A Bender","S Beller"
"70","J Bohnemeyer","S Beller"
"71","J Bohnemeyer","A Bender"
"72","A Rothe-Wulf","S Beller"
"73","A Rothe-Wulf","A Bender"
"74","A Rothe-Wulf","J Bohnemeyer"
"75","Y Hagmayer","S Beller"
"76","Y Hagmayer","A Bender"
"77","Y Hagmayer","J Bohnemeyer"
"78","Y Hagmayer","A Rothe-Wulf"
"79","R Astuti","S Beller"
"80","R Astuti","A Bender"
"81","R Astuti","J Bohnemeyer"
"82","R Astuti","A Rothe-Wulf"
"83","R Astuti","Y Hagmayer"
"84","W Gray","K Gluck"
"85","M Lovett","K Gluck"
"86","M Lovett","W Gray"
"87","A Markman","K Gluck"
"88","A Markman","W Gray"
"89","A Markman","M Lovett"
"90","J Spohrer","K Gluck"
"91","J Spohrer","W Gray"
"92","J Spohrer","M Lovett"
"93","J Spohrer","A Markman"
"94","M Ramscar","B Love"
"95","T Griffiths","B Love"
"96","T Griffiths","M Ramscar"
"97","M Jones","B Love"
"98","M Jones","M Ramscar"
"99","M Jones","T Griffiths"
"100","M Goldwater","B Pajak"
"101","D Gentner","B Pajak"
"102","D Gentner","M Goldwater"
"103","A Goldberg","B Pajak"
"104","A Goldberg","M Goldwater"
"105","A Goldberg","D Gentner"
"106","R Shao","B Pajak"
"107","R Shao","M Goldwater"
"108","R Shao","D Gentner"
"109","R Shao","A Goldberg"
"110","J Knobe","J Phillips"
"111","A Shtulman","J Phillips"
"112","A Shtulman","J Knobe"
"113","C Kalish","J Phillips"
"114","C Kalish","J Knobe"
"115","C Kalish","A Shtulman"
"116","A Riggs","J Phillips"
"117","A Riggs","J Knobe"
"118","A Riggs","A Shtulman"
"119","A Riggs","C Kalish"
"120","C Hitchcock","J Phillips"
"121","C Hitchcock","J Knobe"
"122","C Hitchcock","A Shtulman"
"123","C Hitchcock","C Kalish"
"124","C Hitchcock","A Riggs"
"125","P Knoeferle","D Abashidze"
"126","M Carminati","D Abashidze"
"127","M Carminati","P Knoeferle"
"128","K Abe","K Abe"
"129","C Cancino","K Agres"
"130","M Grachten","K Agres"
"131","M Grachten","C Cancino"
"132","S Lattner","K Agres"
"133","S Lattner","C Cancino"
"134","S Lattner","M Grachten"
"135","J Santiago","R Aguirre"
"136","A Yu","S Ahmad"
"137","N Nozari","N Akhavan"
"138","T Goksun","N Akhavan"
"139","T Goksun","N Nozari"
"140","R Foushee","S Al-Mughairy"
"141","D Barner","S Al-Mughairy"
"142","D Barner","R Foushee"
"143","M Srinivasan","S Al-Mughairy"
"144","M Srinivasan","R Foushee"
"145","M Srinivasan","D Barner"
"146","H Schultheis","R Albrecht"
"147","W Fu","R Albrecht"
"148","W Fu","H Schultheis"
"149","D McNamara","L Allen"
"150","M McCrudden","L Allen"
"151","M McCrudden","D McNamara"
"152","J Jara-Ettinger","K Allen"
"153","T Gerstenberg","K Allen"
"154","T Gerstenberg","J Jara-Ettinger"
"155","M Kleiman-Weiner","K Allen"
"156","M Kleiman-Weiner","J Jara-Ettinger"
"157","M Kleiman-Weiner","T Gerstenberg"
"158","J Tenenbaum","K Allen"
"159","J Tenenbaum","J Jara-Ettinger"
"160","J Tenenbaum","T Gerstenberg"
"161","J Tenenbaum","M Kleiman-Weiner"
"162","J Cantlon","S Alonso-Diaz"
"163","S Piantadosi","S Alonso-Diaz"
"164","S Piantadosi","J Cantlon"
"165","H Kloos","J Amaral"
"166","V Romero","J Amaral"
"167","V Romero","H Kloos"
"168","M Richardson","J Amaral"
"169","M Richardson","H Kloos"
"170","M Richardson","V Romero"
"171","Z Savcheva","E Andonova"
"172","G Todorova","E Andonova"
"173","G Todorova","Z Savcheva"
"174","R Verbrugge","B Arslan"
"175","N Taatgen","B Arslan"
"176","N Taatgen","R Verbrugge"
"177","B Hollebrandse","B Arslan"
"178","B Hollebrandse","R Verbrugge"
"179","B Hollebrandse","N Taatgen"
"180","J Queiroz","P Ata"
"181","P Vogt","S Aussems"
"182","M Chu","S Aussems"
"183","S Kita","S Aussems"
"184","S Kita","M Chu"
"185","M Zaanen","S Aussems"
"186","M Zaanen","M Chu"
"187","M Zaanen","S Kita"
"188","N Vasilyeva","S Ayala"
"189","A Johnson","R Azevedo"
"190","C Burkett","R Azevedo"
"191","C Burkett","A Johnson"
"192","E Krahmer","A Baltaretu"
"193","A Maes","A Baltaretu"
"194","A Maes","E Krahmer"
"195","M Blair","J Barnes"
"196","P Tupper","J Barnes"
"197","P Tupper","M Blair"
"198","R Walshe","J Barnes"
"199","R Walshe","M Blair"
"200","R Walshe","P Tupper"
"201","E Pothos","A Barque-Duran"
"202","J Yearsley","A Barque-Duran"
"203","J Yearsley","E Pothos"
"204","J Hampton","A Barque-Duran"
"205","J Hampton","E Pothos"
"206","J Hampton","J Yearsley"
"207","C Schunn","B Barstow"
"208","L Fazio","B Barstow"
"209","L Fazio","C Schunn"
"210","M Falakmasir","B Barstow"
"211","M Falakmasir","C Schunn"
"212","M Falakmasir","L Fazio"
"213","K Ashley","B Barstow"
"214","K Ashley","C Schunn"
"215","K Ashley","L Fazio"
"216","K Ashley","M Falakmasir"
"217","D Hawthorne","I Bass"
"218","N Goodman","I Bass"
"219","N Goodman","D Hawthorne"
"220","H Gweon","I Bass"
"221","H Gweon","D Hawthorne"
"222","H Gweon","N Goodman"
"223","P Battaglia","C Bates"
"224","I Yildirim","C Bates"
"225","I Yildirim","P Battaglia"
"226","J Tenenbaum","C Bates"
"227","J Tenenbaum","P Battaglia"
"228","J Tenenbaum","I Yildirim"
"229","P Baumann","P Baumann"
"230","J Knobe","A Bear"
"231","A Aguilar","N Beckage"
"232","E Colunga","N Beckage"
"233","E Colunga","A Aguilar"
"234","M Mozer","N Beckage"
"236","E Colunga","M Mozer"
"237","S Stevenson","B Beekhuizen"
"238","L Richland","K Begolli"
"239","S Jaeggi","K Begolli"
"240","S Jaeggi","L Richland"
"241","S Khemlani","P Bello"
"242","L Assif","G Ben-Yosef"
"243","D Harari","G Ben-Yosef"
"244","D Harari","L Assif"
"245","S Ullman","G Ben-Yosef"
"246","S Ullman","L Assif"
"247","S Ullman","D Harari"
"248","N Goodman","E Bennett"
"249","S Bhatia","S Bhatia"
"250","C Eliasmith","P Blouw"
"251","J Garten","R Boghrati"
"252","A Litvinova","R Boghrati"
"253","A Litvinova","J Garten"
"254","M Dehghani","R Boghrati"
"255","M Dehghani","J Garten"
"256","M Dehghani","A Litvinova"
"257","J Landrigan","M Botezatu"
"258","Q Chen","M Botezatu"
"259","Q Chen","J Landrigan"
"260","D Mirman","M Botezatu"
"261","D Mirman","J Landrigan"
"262","D Mirman","Q Chen"
"263","D Yurovsky","M Braginsky"
"264","V Marchman","M Braginsky"
"265","V Marchman","D Yurovsky"
"266","M Frank","M Braginsky"
"267","M Frank","D Yurovsky"
"268","M Frank","V Marchman"
"269","P Dayan","N Bramley"
"270","D Lagnado","N Bramley"
"271","D Lagnado","P Dayan"
"272","M Oaksford","C Brand"
"273","T Brauner","T Brauner"
"274","P Bello","W Bridewell"
"275","T Brochhagen","T Brochhagen"
"276","V Reyna","D Broniatowski"
"277","T Cakar","M Cakir"
"278","Y Girisken","M Cakir"
"279","Y Girisken","T Cakar"
"280","J Xu","A Carstensen"
"281","C Smith","A Carstensen"
"282","C Smith","J Xu"
"283","T Regier","A Carstensen"
"284","T Regier","J Xu"
"285","T Regier","C Smith"
"286","D Braithwaite","P Carvalho"
"287","J Leeuw","P Carvalho"
"288","J Leeuw","D Braithwaite"
"289","B Motz","P Carvalho"
"290","B Motz","D Braithwaite"
"291","B Motz","J Leeuw"
"292","R Goldstone","P Carvalho"
"293","R Goldstone","D Braithwaite"
"294","R Goldstone","J Leeuw"
"295","R Goldstone","B Motz"
"296","C Vos","M Casillas"
"297","O Crasborn","M Casillas"
"298","O Crasborn","C Vos"
"299","S Levinson","M Casillas"
"300","S Levinson","C Vos"
"301","S Levinson","O Crasborn"
"302","A Chan","C Chan"
"303","T Lee","C Chan"
"304","T Lee","A Chan"
"305","J Hsiao","C Chan"
"306","J Hsiao","A Chan"
"307","J Hsiao","T Lee"
"308","G Date","S Chandrasekharan"
"309","P Pande","S Chandrasekharan"
"310","P Pande","G Date"
"311","J Rahaman","S Chandrasekharan"
"312","J Rahaman","G Date"
"313","J Rahaman","P Pande"
"314","R Shaikh","S Chandrasekharan"
"315","R Shaikh","G Date"
"316","R Shaikh","P Pande"
"317","R Shaikh","J Rahaman"
"318","A Srivastava","S Chandrasekharan"
"319","A Srivastava","G Date"
"320","A Srivastava","P Pande"
"321","A Srivastava","J Rahaman"
"322","A Srivastava","R Shaikh"
"323","N Srivastava","S Chandrasekharan"
"324","N Srivastava","G Date"
"325","N Srivastava","P Pande"
"326","N Srivastava","J Rahaman"
"327","N Srivastava","R Shaikh"
"328","N Srivastava","A Srivastava"
"329","H Agrawal","S Chandrasekharan"
"330","H Agrawal","G Date"
"331","H Agrawal","P Pande"
"332","H Agrawal","J Rahaman"
"333","H Agrawal","R Shaikh"
"334","H Agrawal","A Srivastava"
"335","H Agrawal","N Srivastava"
"336","N Gauvrit","M Chekaf"
"337","A Guida","M Chekaf"
"338","A Guida","N Gauvrit"
"339","F Mathy","M Chekaf"
"340","F Mathy","N Gauvrit"
"341","F Mathy","A Guida"
"342","H Lu","D Chen"
"343","K Holyoak","D Chen"
"344","K Holyoak","H Lu"
"345","P Cheng","P Cheng"
"346","C Remulla","E Chestnut"
"347","E Markman","E Chestnut"
"348","E Markman","C Remulla"
"349","V Ayzenberg","C Cheung"
"350","R Diamond","C Cheung"
"351","R Diamond","V Ayzenberg"
"352","S Yousif","C Cheung"
"353","S Yousif","V Ayzenberg"
"354","S Yousif","R Diamond"
"355","S Lourenco","C Cheung"
"356","S Lourenco","V Ayzenberg"
"357","S Lourenco","R Diamond"
"358","S Lourenco","S Yousif"
"359","J Hsiao","T Cheung"
"360","M Corre","P Cheung"
"361","J Johnson","J Chin"
"362","D Moeller","J Chin"
"363","D Moeller","J Johnson"
"364","E Duwe","J Chin"
"365","E Duwe","J Johnson"
