"","id","label","measure","CM"
"1",1,"E Bonawitz",4,"degree"
"2",2,"F Xu",9,"degree"
"3",3,"E Wittenberg",2,"degree"
"4",4,"M Kline",2,"degree"
"5",5,"J Hartshorne",7,"degree"
"6",6,"T Gao",4,"degree"
"7",7,"C Jiang",8,"degree"
"8",8,"Y Zhu",8,"degree"
"9",9,"Y Zhao",4,"degree"
"10",10,"L Yu",4,"degree"
"11",11,"J McClelland",5,"degree"
"12",12,"S Hansen",3,"degree"
"13",13,"A Saxe",4,"degree"
"14",14,"E Bergelson",2,"degree"
"15",15,"S Khemlani",3,"degree"
"16",16,"G Trafton",2,"degree"
"17",17,"J Trueblood",5,"degree"
"18",18,"J Yearsley",5,"degree"
"19",19,"P Kvam",6,"degree"
"20",20,"Z Wang",4,"degree"
"21",21,"J Busemeyer",4,"degree"
"22",22,"J Suchow",5,"degree"
"23",23,"T Morgan",5,"degree"
"24",24,"J Hamrick",5,"degree"
"25",25,"M Pacer",7,"degree"
"26",26,"S Meylan",5,"degree"
"27",27,"T Griffiths",21,"degree"
"28",28,"T Tenbrink",2,"degree"
"29",29,"N Taatgen",8,"degree"
"30",30,"S Tsuji",4,"degree"
"31",31,"M Lewis",5,"degree"
"32",32,"C Bergmann",5,"degree"
"33",33,"M Frank",17,"degree"
"34",34,"A Cristia",5,"degree"
"35",35,"J Kao",7,"degree"
"36",36,"N Goodman",21,"degree"
"37",37,"N Cohn",5,"degree"
"38",38,"E Coderre",3,"degree"
"39",39,"L Kendall",3,"degree"
"40",40,"J Magliano",3,"degree"
"41",41,"M Goldwater",5,"degree"
"42",42,"Z Horne",3,"degree"
"43",43,"J Loewenstein",3,"degree"
"44",44,"R Goldstone",10,"degree"
"45",45,"R Hawkins",7,"degree"
"46",46,"O Feher",5,"degree"
"47",47,"K Smith",13,"degree"
"48",48,"S Beller",5,"degree"
"49",49,"A Bender",5,"degree"
"50",50,"C Caldwell",5,"degree"
"51",51,"M Christiansen",15,"degree"
"52",52,"K Overmann",5,"degree"
"53",53,"R Perez",3,"degree"
"54",54,"D McNamara",9,"degree"
"55",55,"G Solomon",3,"degree"
"56",56,"W Gray",4,"degree"
"57",57,"L Novick",4,"degree"
"58",58,"M Hegarty",4,"degree"
"59",59,"R Catrambone",7,"degree"
"60",60,"J Pani",4,"degree"
"61",61,"T Shipley",4,"degree"
"62",62,"K Tillman",9,"degree"
"63",63,"K Wagner",7,"degree"
"64",64,"J Chu",7,"degree"
"65",65,"M Imai",6,"degree"
"66",66,"B Malt",11,"degree"
"67",67,"S Widen",6,"degree"
"68",68,"M Shatz",6,"degree"
"69",69,"P Rebuschat",7,"degree"
"70",70,"P Monaghan",14,"degree"
"71",71,"R Gomez",5,"degree"
"72",72,"G Dell",5,"degree"
"73",73,"N Anderson",5,"degree"
"74",74,"C Conway",13,"degree"
"75",75,"M Eisenberg",7,"degree"
"76",76,"J Zacks",7,"degree"
"77",77,"S Flores",7,"degree"
"78",78,"L Howard",7,"degree"
"79",79,"A Woodward",7,"degree"
"80",80,"J Loucks",7,"degree"
"81",81,"A Meltzoff",7,"degree"
"82",82,"R Cooper",7,"degree"
"83",83,"A Wellwood",9,"degree"
"84",84,"J Kuhn",8,"degree"
"85",85,"P Schlenker",8,"degree"
"86",86,"C Geraci",8,"degree"
"87",87,"B Strickland",15,"degree"
"88",88,"S Hespos",8,"degree"
"89",89,"L Rips",9,"degree"
"90",90,"E Husband",9,"degree"
"91",91,"A Williams",8,"degree"
"92",92,"M Tiv",2,"degree"
"93",93,"E Milburn",2,"degree"
"94",94,"T Warren",6,"degree"
"95",95,"S Johnson",6,"degree"
"96",96,"C Edmunds",2,"degree"
"97",97,"A Wills",2,"degree"
"98",98,"M Collins",4,"degree"
"99",99,"K Gluck",7,"degree"
"100",100,"M Walsh",4,"degree"
"101",101,"M Krusmark",4,"degree"
"102",102,"G Gunzelmann",4,"degree"
"103",103,"R Frost",2,"degree"
"104",104,"M Vinos",3,"degree"
"105",105,"A Andrikopoulou",3,"degree"
"106",106,"C Papaeliou",3,"degree"
"107",107,"A Protopapas",5,"degree"
"108",108,"S Fairchild",1,"degree"
"109",109,"A Papafragou",4,"degree"
"110",110,"J Loo",2,"degree"
"111",111,"E Frissen",2,"degree"
"112",112,"E Krahmer",16,"degree"
"113",113,"M Sydow",3,"degree"
"114",114,"N Braus",1,"degree"
"115",115,"N George",4,"degree"
"116",116,"J Kanero",7,"degree"
"117",117,"D Chwilla",4,"degree"
"118",118,"N Nijmegen",4,"degree"
"119",119,"D Weiss",4,"degree"
"120",120,"A Pirrone",5,"degree"
"121",121,"Q Zhang",2,"degree"
"122",122,"S Li",2,"degree"
"123",123,"Y Chang",2,"degree"
"124",124,"S Welbourne",2,"degree"
"125",125,"A Klichowicz",3,"degree"
"126",126,"A Scholz",3,"degree"
"127",127,"S Strehlau",3,"degree"
"128",128,"J Krems",3,"degree"
"129",129,"D Ong",4,"degree"
"130",130,"M Asaba",2,"degree"
"131",131,"H Gweon",10,"degree"
"132",132,"I Croijmans",1,"degree"
"133",133,"A Majid",4,"degree"
"134",134,"J Schoenherr",1,"degree"
"135",135,"R Thomson",1,"degree"
"136",136,"K Soo",1,"degree"
"137",137,"B Rottman",2,"degree"
"138",138,"R Koolen",4,"degree"
"139",139,"A Gatt",4,"degree"
"140",140,"R Gompel",4,"degree"
"141",141,"K Deemter",4,"degree"
"142",142,"J Madsen",8,"degree"
"143",143,"M Lorenzino",2,"degree"
"144",144,"G Gronchi",9,"degree"
"145",145,"C Caudek",2,"degree"
"146",146,"M Matsumuro",1,"degree"
"147",147,"K Miwa",9,"degree"
"148",148,"T Chuk",3,"degree"
"149",149,"A Chan",7,"degree"
"150",150,"S Shimojo",3,"degree"
"151",151,"J Hsiao",9,"degree"
"152",152,"L Unger",4,"degree"
"153",153,"A Fisher",9,"degree"
"154",154,"G Kachergis",6,"degree"
"155",155,"F Berends",3,"degree"
"156",156,"R Kleijn",3,"degree"
"157",157,"B Hommel",3,"degree"
"158",158,"J Kim",10,"degree"
"159",159,"T Huppert",4,"degree"
"160",160,"J Badger",4,"degree"
"161",161,"C Behme",2,"degree"
"162",162,"P Mistry",2,"degree"
"163",163,"M Lee",3,"degree"
"164",164,"B Newell",2,"degree"
"165",165,"S Rao",2,"degree"
"166",166,"Y Wang",2,"degree"
"167",167,"G Cottrell",8,"degree"
"168",168,"H Honda",2,"degree"
"169",169,"T Matsuka",2,"degree"
"170",170,"K Ueda",4,"degree"
"171",171,"Y Peng",2,"degree"
"172",172,"S Thurman",5,"degree"
"173",173,"H Lu",9,"degree"
"174",174,"M Kunda",2,"degree"
"175",175,"M Banani",2,"degree"
"176",176,"J Rehg",2,"degree"
"177",177,"B Sarnecka",2,"degree"
"178",178,"Y Hayashi",4,"degree"
"179",179,"H Terai",3,"degree"
"180",180,"S Huette",3,"degree"
"181",181,"A Mathis",2,"degree"
"182",182,"A Graesser",2,"degree"
"183",183,"H Yazdi",2,"degree"
"184",184,"D Barner",7,"degree"
"185",185,"G Heyman",2,"degree"
"186",186,"M Hong",3,"degree"
"187",187,"D Yeo",3,"degree"
"188",188,"B Rittle-Johnson",4,"degree"
"189",189,"L Fazio",3,"degree"
"190",190,"L Schaeffer",2,"degree"
"191",191,"L Margulieux",2,"degree"
"192",192,"F Fotiadis",1,"degree"
"193",193,"M Fuyama",1,"degree"
"194",194,"S Hidaka",1,"degree"
"195",195,"G Colflesh",2,"degree"
"196",196,"V Karuzis",2,"degree"
"197",197,"P O'Rourke",2,"degree"
"198",198,"N Salay",2,"degree"
"199",199,"D Siven",4,"degree"
"200",200,"T Strandberg",4,"degree"
"201",201,"L Hall",4,"degree"
"202",202,"P Johansson",4,"degree"
"203",203,"P Parnamets",7,"degree"
"204",204,"D Powell",2,"degree"
