"","from","to"
"1","P Battaglia","M Botvinick"
"2","F Martin","F Martin"
"3","V Simmering","J Spencer"
"4","S Schneegans","J Spencer"
"5","S Schneegans","V Simmering"
"6","C Heath","S Albert"
"7","P Healey","S Albert"
"8","P Healey","C Heath"
"9","S Holldobler","U Furbach"
"10","M Ragni","U Furbach"
"11","M Ragni","S Holldobler"
"12","C Schon","U Furbach"
"13","C Schon","S Holldobler"
"14","C Schon","M Ragni"
"15","J Sherson","J Jarecki"
"16","J Hamari","J Jarecki"
"17","J Hamari","J Sherson"
"18","J Bopp","J Jarecki"
"19","J Bopp","J Sherson"
"20","J Bopp","J Hamari"
"21","L Heaney","J Jarecki"
"22","L Heaney","J Sherson"
"23","L Heaney","J Hamari"
"24","L Heaney","J Bopp"
"25","S Steinemann","J Jarecki"
"26","S Steinemann","J Sherson"
"27","S Steinemann","J Hamari"
"28","S Steinemann","J Bopp"
"29","S Steinemann","L Heaney"
"30","P Haikka","J Jarecki"
"31","P Haikka","J Sherson"
"32","P Haikka","J Hamari"
"33","P Haikka","J Bopp"
"34","P Haikka","L Heaney"
"35","P Haikka","S Steinemann"
"36","C Bergenholtz","J Jarecki"
"37","C Bergenholtz","J Sherson"
"38","C Bergenholtz","J Hamari"
"39","C Bergenholtz","J Bopp"
"40","C Bergenholtz","L Heaney"
"41","C Bergenholtz","S Steinemann"
"42","C Bergenholtz","P Haikka"
"43","Y Zhao","M Kleiman-Weiner"
"44","J Tenenbaum","M Kleiman-Weiner"
"45","J Tenenbaum","Y Zhao"
"46","J Martin","K Livins"
"47","D Xygalatas","A Taves"
"48","J Shaver","A Taves"
"49","J Shaver","D Xygalatas"
"50","J Tenenbaum","I Yildirim"
"51","S Beller","A Bender"
"52","R Astuti","A Bender"
"53","R Astuti","S Beller"
"54","O Guen","A Bender"
"55","O Guen","S Beller"
"56","O Guen","R Astuti"
"57","K Overmann","A Bender"
"58","K Overmann","S Beller"
"59","K Overmann","R Astuti"
"60","K Overmann","O Guen"
"61","P Racz","A Bender"
"62","P Racz","S Beller"
"63","P Racz","R Astuti"
"64","P Racz","O Guen"
"65","P Racz","K Overmann"
"66","F Jordan","A Bender"
"67","F Jordan","S Beller"
"68","F Jordan","R Astuti"
"69","F Jordan","O Guen"
"70","F Jordan","K Overmann"
"71","F Jordan","P Racz"
"72","M Solberg","A Bender"
"73","M Solberg","S Beller"
"74","M Solberg","R Astuti"
"75","M Solberg","O Guen"
"76","M Solberg","K Overmann"
"77","M Solberg","P Racz"
"78","M Solberg","F Jordan"
"79","T Foulsham","N Cohn"
"80","T Smith","N Cohn"
"81","T Smith","T Foulsham"
"82","J Zacks","N Cohn"
"83","J Zacks","T Foulsham"
"84","J Zacks","T Smith"
"85","R Perez","W Gray"
"86","M Butz","W Gray"
"87","M Butz","R Perez"
"88","S Reeves","W Gray"
"89","S Reeves","R Perez"
"90","S Reeves","M Butz"
"91","M Sangster","W Gray"
"92","M Sangster","R Perez"
"93","M Sangster","M Butz"
"94","M Sangster","S Reeves"
"95","T Stafford","W Gray"
"96","T Stafford","R Perez"
"97","T Stafford","M Butz"
"98","T Stafford","S Reeves"
"99","T Stafford","M Sangster"
"100","F Gobet","W Gray"
"101","F Gobet","R Perez"
"102","F Gobet","M Butz"
"103","F Gobet","S Reeves"
"104","F Gobet","M Sangster"
"105","F Gobet","T Stafford"
"106","D Uttal","M Hegarty"
"107","M Stieff","M Hegarty"
"108","M Stieff","D Uttal"
"109","T Lowrie","M Hegarty"
"110","T Lowrie","D Uttal"
"111","T Lowrie","M Stieff"
"112","S Vosniadou","M Hegarty"
"113","S Vosniadou","D Uttal"
"114","S Vosniadou","M Stieff"
"115","S Vosniadou","T Lowrie"
"116","R Cooper","P Langley"
"117","C Kalish","T Rogers"
"118","D Kelemen","L Swiney"
"119","A Shtulman","L Swiney"
"120","A Shtulman","D Kelemen"
"121","J Coley","L Swiney"
"122","J Coley","D Kelemen"
"123","J Coley","A Shtulman"
"124","N Betz","L Swiney"
"125","N Betz","D Kelemen"
"126","N Betz","A Shtulman"
"127","N Betz","J Coley"
"128","S Blancke","L Swiney"
"129","S Blancke","D Kelemen"
"130","S Blancke","A Shtulman"
"131","S Blancke","J Coley"
"132","S Blancke","N Betz"
"133","F Monier","K Tillman"
"134","M Zhang","K Tillman"
"135","M Zhang","F Monier"
"136","J Redshaw","K Tillman"
"137","J Redshaw","F Monier"
"138","J Redshaw","M Zhang"
"139","T McCormack","K Tillman"
"140","T McCormack","F Monier"
"141","T McCormack","M Zhang"
"142","T McCormack","J Redshaw"
"143","L Smith","J Trueswell"
"144","J Tenenbaum","J Trueswell"
"145","J Tenenbaum","L Smith"
"146","C Yang","J Trueswell"
"147","C Yang","L Smith"
"148","C Yang","J Tenenbaum"
"149","R Dale","D Abney"
"150","C Kello","D Abney"
"151","C Kello","R Dale"
"152","M Louwerse","D Abney"
"153","M Louwerse","R Dale"
"154","M Louwerse","C Kello"
"155","M Slors","E Abramova"
"156","I Rooij","E Abramova"
"157","I Rooij","M Slors"
"158","X Chen","A Acharya"
"159","C Myers","A Acharya"
"160","C Myers","X Chen"
"161","R Lewis","A Acharya"
"162","R Lewis","X Chen"
"163","R Lewis","C Myers"
"164","A Howes","A Acharya"
"165","A Howes","X Chen"
"166","A Howes","C Myers"
"167","A Howes","R Lewis"
"168","G Kachergis","K Adams"
"169","A Fedor","H Alireza"
"170","M Thomas","H Alireza"
"171","M Thomas","A Fedor"
"172","M Andrews","M Andrews"
"173","S Yousif","L Aulet"
"174","S Lourenco","L Aulet"
"175","S Lourenco","S Yousif"
"176","W Neys","B Bago"
"177","E Pothos","A Barque-Duran"
"178","E Bonawitz","I Bass"
"179","P Shafto","I Bass"
"180","P Shafto","E Bonawitz"
"181","D Ramarajan","I Bass"
"182","D Ramarajan","E Bonawitz"
"183","D Ramarajan","P Shafto"
"184","A Gopnik","I Bass"
"185","A Gopnik","E Bonawitz"
"186","A Gopnik","P Shafto"
"187","A Gopnik","D Ramarajan"
"188","H Wellman","I Bass"
"189","H Wellman","E Bonawitz"
"190","H Wellman","P Shafto"
"191","H Wellman","D Ramarajan"
"192","H Wellman","A Gopnik"
"194","H Gweon","I Bass"
"195","H Gweon","E Bonawitz"
"196","J Peterson","R Battleday"
"197","T Griffiths","R Battleday"
"198","T Griffiths","J Peterson"
"199","J Watson","B Beekhuizen"
"200","S Stevenson","B Beekhuizen"
"201","S Stevenson","J Watson"
"203","C Bergmann","A Black"
"204","D Mareschal","S Blakeman"
"205","E Aminoff","N Blauch"
"206","M Tarr","N Blauch"
"207","M Tarr","E Aminoff"
"208","C Eliasmith","P Blouw"
"209","A Hopfensitz","J Bonnefon"
"210","W Neys","J Bonnefon"
"211","W Neys","A Hopfensitz"
"212","D Kalkstein","D Bosch"
"213","T Kleiman","D Bosch"
"214","T Kleiman","D Kalkstein"
"215","T Gerstenberg","R Mayrhofer"
"216","D Lagnado","R Mayrhofer"
"217","D Lagnado","T Gerstenberg"
"218","J Culbertson","G Braquet"
"219","S Altman","S Bridgers"
"220","H Gweon","S Bridgers"
"221","H Gweon","S Altman"
"222","B Koning","B Brucker"
"223","A Ehlis","B Brucker"
"224","A Ehlis","B Koning"
"225","D Rosenbaum","B Brucker"
"226","D Rosenbaum","B Koning"
"227","D Rosenbaum","A Ehlis"
"228","P Gerjets","B Brucker"
"229","P Gerjets","B Koning"
"230","P Gerjets","A Ehlis"
"231","P Gerjets","D Rosenbaum"
"232","L Scatturin","B Brucker"
"234","P Gerjets","L Scatturin"
"235","U Hahn","S Buechel"
"236","T Jaeger","W Bushong"
"237","R Wang","Z Cai"
"238","H Liu","Z Cai"
"239","H Liu","R Wang"
"240","M Speekenbrink","Z Cai"
"241","M Speekenbrink","R Wang"
"242","M Speekenbrink","H Liu"
"243","R Goldstone","P Carvalho"
"244","E McLaughlin","P Carvalho"
"245","K Koedinger","P Carvalho"
"246","K Koedinger","E McLaughlin"
"247","R Cooper","A Caso"
"248","R Grimm","G Cassani"
"249","S Gillis","G Cassani"
"250","S Gillis","R Grimm"
"251","W Daelemans","G Cassani"
"252","W Daelemans","R Grimm"
"253","W Daelemans","S Gillis"
"254","S Piantadosi","S Cheyette"
"255","S Nambu","K Clothier"
"256","H Ono","K Clothier"
"257","H Ono","S Nambu"
"258","A Omaki","K Clothier"
"259","A Omaki","S Nambu"
"260","A Omaki","H Ono"
"261","P Todd","S Cohen"
"262","D Gentner","K Cooperrider"
"263","S Goldin-Meadow","K Cooperrider"
"264","S Goldin-Meadow","D Gentner"
"265","J Jones","C Cortesa"
"266","G Hager","C Cortesa"
"267","G Hager","J Jones"
"268","S Khudanpur","C Cortesa"
"269","S Khudanpur","J Jones"
"270","S Khudanpur","G Hager"
"271","A Shelton","C Cortesa"
"272","A Shelton","J Jones"
"273","A Shelton","G Hager"
"274","A Shelton","S Khudanpur"
"275","B Landau","C Cortesa"
"276","B Landau","J Jones"
"277","B Landau","G Hager"
"278","B Landau","S Khudanpur"
"279","B Landau","A Shelton"
"280","P Watts","F Costello"
"281","L Speed","I Croijmans"
"282","A Arshamian","I Croijmans"
"283","A Arshamian","L Speed"
"284","A Majid","I Croijmans"
"285","A Majid","L Speed"
"286","A Majid","A Arshamian"
"287","D Over","N Cruz"
"288","M Oaksford","N Cruz"
"289","M Oaksford","D Over"
"290","T Pleskac","J Dai"
"291","T Pachur","J Dai"
"292","T Pachur","T Pleskac"
"293","J Davies","J Davies"
"294","J Asmuth","S Day"
"295","E Morgan","N Delaney-Busch"
"296","E Lau","N Delaney-Busch"
"297","E Lau","E Morgan"
"298","G Kuperberg","N Delaney-Busch"
"299","G Kuperberg","E Morgan"
"300","G Kuperberg","E Lau"
"301","D Little","T Dennis"
"302","H Yim","S Dennis"
"303","V Sreekumar","S Dennis"
"304","V Sreekumar","H Yim"
"305","N Evans","S Dennis"
"306","N Evans","H Yim"
"307","N Evans","V Sreekumar"
"308","P Garrett","S Dennis"
"309","P Garrett","H Yim"
"310","P Garrett","V Sreekumar"
"311","P Garrett","N Evans"
"312","P Sederberg","S Dennis"
"313","P Sederberg","H Yim"
"314","P Sederberg","V Sreekumar"
"315","P Sederberg","N Evans"
"316","P Sederberg","P Garrett"
"317","K Bicknell","Y Duan"
"318","T Griffiths","R Dubey"
"319","M Jones","M Dye"
"320","D Yarlett","M Dye"
"321","D Yarlett","M Jones"
"322","M Ramscar","M Dye"
"323","M Ramscar","M Jones"
"324","M Ramscar","D Yarlett"
"325","P Milin","M Dye"
"326","R Futrell","M Dye"
"327","R Futrell","P Milin"
"329","M Ramscar","P Milin"
"330","M Ramscar","R Futrell"
"332","R Shiffrin","M Dye"
"333","R Shiffrin","M Jones"
"334","M Perlman","P Edmiston"
"335","G Lupyan","P Edmiston"
"336","G Lupyan","M Perlman"
"337","K McRae","J Elman"
"338","E Bellingham","S Evers"
"339","K Donelson","S Evers"
"340","K Donelson","E Bellingham"
"341","J Du","S Evers"
"342","J Du","E Bellingham"
"343","J Du","K Donelson"
"344","J Sanchez","S Evers"
"345","J Sanchez","E Bellingham"
"346","J Sanchez","K Donelson"
"347","J Sanchez","J Du"
"348","F Li","S Evers"
"349","F Li","E Bellingham"
"350","F Li","K Donelson"
"351","F Li","J Du"
"352","F Li","J Sanchez"
"353","J Bohnemeyer","S Evers"
"354","J Bohnemeyer","E Bellingham"
"355","J Bohnemeyer","K Donelson"
"356","J Bohnemeyer","J Du"
"357","J Bohnemeyer","J Sanchez"
"358","J Bohnemeyer","F Li"
"359","R Fabry","R Fabry"
"360","C Myers","C Fisher"
"361","R Hassan","C Fisher"
"362","R Hassan","C Myers"
"363","C Stevens","C Fisher"
"364","C Stevens","C Myers"
"365","C Stevens","R Hassan"
"366","C Hack","C Fisher"
"367","C Hack","C Myers"
"368","C Hack","R Hassan"
"369","C Hack","C Stevens"
"370","J Gearhart","C Fisher"
"371","J Gearhart","C Myers"
"372","J Gearhart","R Hassan"
"373","J Gearhart","C Stevens"
"374","J Gearhart","C Hack"
"375","G Gunzelmann","C Fisher"
"376","G Gunzelmann","C Myers"
"377","G Gunzelmann","R Hassan"
"378","G Gunzelmann","C Stevens"
"379","G Gunzelmann","C Hack"
"380","G Gunzelmann","J Gearhart"
"381","T Matlock","S Flusberg"
"382","P Thibodeau","S Flusberg"
"383","P Thibodeau","T Matlock"
"384","K Plunkett","S Forbes"
"385","M Frank","A Fourtassi"
"386","M Srinivasan","R Foushee"
"387","S Frank","S Frank"
"388","W Neys","D Frey"
"389","A Ejova","D Gokaydin"
"390","J Suchow","M Gates"
"391","T Griffiths","M Gates"
"392","T Griffiths","J Suchow"
"393","L Zhou","T Gerstenberg"
"394","K Smith","T Gerstenberg"
"395","K Smith","L Zhou"
"396","J Tenenbaum","T Gerstenberg"
"397","J Tenenbaum","L Zhou"
"398","J Tenenbaum","K Smith"
"399","C Eng","K Godwin"
"400","A Fisher","K Godwin"
"401","A Fisher","C Eng"
"402","S Bhatia","R Golman"
"403","A Nematzadeh","E Grant"
"404","T Griffiths","E Grant"
"405","T Griffiths","A Nematzadeh"
"412","J Thibaut","H Gros"
"413","E Sander","H Gros"
"414","E Sander","J Thibaut"
"415","Y Zheng","Y Gu"
"416","M Swerts","Y Gu"
"417","M Swerts","Y Zheng"
"418","K Coventry","H Gudde"
"419","S Otte","C Gumbsch"
"420","M Butz","C Gumbsch"
"421","M Butz","S Otte"
"422","M Asaba","H Gweon"
"423","G Bennett-Pierre","H Gweon"
"424","G Bennett-Pierre","M Asaba"
"425","T Gureckis","D Halpern"
"426","J Hampton","J Hampton"
"427","V Hardcastle","V Hardcastle"
"428","M Frank","R Hawkins"
"429","N Goodman","R Hawkins"
"430","N Goodman","M Frank"
"431","S Banner","B Hayes"
"432","D Navarro","B Hayes"
"433","D Navarro","S Banner"
"434","R Fusaroli","K Heimann"
"435","S Rojo","K Heimann"
"436","S Rojo","R Fusaroli"
"437","N Johannsen","K Heimann"
"438","N Johannsen","R Fusaroli"
"439","N Johannsen","S Rojo"
"440","F Riede","K Heimann"
"441","F Riede","R Fusaroli"
"442","F Riede","S Rojo"
"443","F Riede","N Johannsen"
"444","N Fay","K Heimann"
"445","N Fay","R Fusaroli"
"446","N Fay","S Rojo"
"447","N Fay","N Johannsen"
"448","N Fay","F Riede"
"449","M Lombard","K Heimann"
"450","M Lombard","R Fusaroli"
"451","M Lombard","S Rojo"
"452","M Lombard","N Johannsen"
"453","M Lombard","F Riede"
"454","M Lombard","N Fay"
"455","K Tylen","K Heimann"
"456","K Tylen","R Fusaroli"
"457","K Tylen","S Rojo"
"458","K Tylen","N Johannsen"
"459","K Tylen","F Riede"
"460","K Tylen","N Fay"
"461","K Tylen","M Lombard"
"462","B demayo","E Hembacher"
"463","M Frank","E Hembacher"
"464","M Frank","B demayo"
"465","C Lucas","E Herbst"
"466","D Buchsbaum","E Herbst"
"467","D Buchsbaum","C Lucas"
"468","M Franke","M Herbstritt"
"469","L Hiatt","L Hiatt"
"470","T Torii","S Hidaka"
"471","G Kachergis","S Hidaka"
"472","G Kachergis","T Torii"
"473","C Leroy","T Hinterecker"
"474","M Kirschhock","T Hinterecker"
"475","M Kirschhock","C Leroy"
"476","M Zhao","T Hinterecker"
"477","M Zhao","C Leroy"
"478","M Zhao","M Kirschhock"
"479","M Butz","T Hinterecker"
"480","M Butz","C Leroy"
"481","M Butz","M Kirschhock"
"482","M Butz","M Zhao"
"483","H Bulthoff","T Hinterecker"
"484","H Bulthoff","C Leroy"
"485","H Bulthoff","M Kirschhock"
"486","H Bulthoff","M Zhao"
"487","H Bulthoff","M Butz"
"488","T Meilinger","T Hinterecker"
"489","T Meilinger","C Leroy"
"490","T Meilinger","M Kirschhock"
"491","T Meilinger","M Zhao"
"492","T Meilinger","M Butz"
"493","T Meilinger","H Bulthoff"
"494","M Littman","M Ho"
"495","J Austerweil","M Ho"
"496","J Austerweil","M Littman"
"497","S Portrat","V Hoareau"
"498","K Oberauer","V Hoareau"
"499","K Oberauer","S Portrat"
"500","B Lemaire","V Hoareau"
"501","B Lemaire","S Portrat"
"502","B Lemaire","K Oberauer"
"503","G Plancher","V Hoareau"
"504","G Plancher","S Portrat"
"505","G Plancher","K Oberauer"
"506","G Plancher","B Lemaire"
"507","S Lewandowsky","V Hoareau"
"508","S Lewandowsky","S Portrat"
"509","S Lewandowsky","K Oberauer"
"510","S Lewandowsky","B Lemaire"
"511","S Lewandowsky","G Plancher"
"512","K Gilligan","A Hodgkiss"
"513","M Thomas","A Hodgkiss"
"514","M Thomas","K Gilligan"
"515","A Tolmie","A Hodgkiss"
"516","A Tolmie","K Gilligan"
"517","A Tolmie","M Thomas"
"518","E Farran","A Hodgkiss"
"519","E Farran","K Gilligan"
"520","E Farran","M Thomas"
"521","E Farran","A Tolmie"
"522","J Zimmermann","L Hodossy"
"523","D Richardson","L Hodossy"
"524","D Richardson","J Zimmermann"
"525","R Levy","M Hofer"
"526","E Luby","K Holmes"
"527","S Husney","K Holmes"
"528","S Husney","E Luby"
"529","T Matsuka","H Honda"
"530","K Ueda","H Honda"
"531","K Ueda","T Matsuka"
"532","K Nation","Y Hsiao"
"533","S McCauley","E Isbilen"
"534","E Kidd","E Isbilen"
"535","E Kidd","S McCauley"
"536","M Christiansen","E Isbilen"
"537","M Christiansen","S McCauley"
"538","M Christiansen","E Kidd"
"539","H Gweon","J Jara-Ettinger"
"540","M Frank","M Jasbi"
"541","A Harris","S Jenkins"
"542","M Lark","S Jenkins"
"543","M Lark","A Harris"
"544","J Barnes","G Jenkins"
"545","P Tupper","G Jenkins"
"546","P Tupper","J Barnes"
"547","M Blair","G Jenkins"
"548","M Blair","J Barnes"
"549","M Blair","P Tupper"
"550","A Papafragou","Y Ji"
"551","J Davenport","K Johannes"
"552","Y Kao","K Johannes"
"553","Y Kao","J Davenport"
"554","C Hornburg","K Johannes"
"555","C Hornburg","J Davenport"
"556","C Hornburg","Y Kao"
"557","N McNeil","K Johannes"
"558","N McNeil","J Davenport"
"559","N McNeil","Y Kao"
"560","N McNeil","C Hornburg"
"561","J Valenti","S Johnson"
"562","F Keil","S Johnson"
"563","F Keil","J Valenti"
"564","A Johnston","S Johnson"
"565","M Koven","S Johnson"
"566","M Koven","A Johnston"
"568","F Keil","A Johnston"
"569","F Keil","M Koven"
"571","J Jokinen","J Jokinen"
"572","J Dunn","M Kaesler"
"573","C Semmler","M Kaesler"
"574","C Semmler","J Dunn"
"575","J Gosmann","I Kajic"
"576","B Komer","I Kajic"
"577","B Komer","J Gosmann"
"578","R Orr","I Kajic"
"579","R Orr","J Gosmann"
"580","R Orr","B Komer"
"581","T Stewart","I Kajic"
"582","T Stewart","J Gosmann"
"583","T Stewart","B Komer"
"584","T Stewart","R Orr"
"585","C Eliasmith","I Kajic"
"586","C Eliasmith","J Gosmann"
"587","C Eliasmith","B Komer"
"588","C Eliasmith","R Orr"
"589","C Eliasmith","T Stewart"
"590","A Bornstein","G Kane"
"591","R Wilson","G Kane"
"592","R Wilson","A Bornstein"
"593","A Shenhav","G Kane"
"594","A Shenhav","A Bornstein"
"595","A Shenhav","R Wilson"
"596","N Daw","G Kane"
"597","N Daw","A Bornstein"
"598","N Daw","R Wilson"
"599","N Daw","A Shenhav"
"600","J Cohen","G Kane"
"601","J Cohen","A Bornstein"
"602","J Cohen","R Wilson"
"603","J Cohen","A Shenhav"
"604","J Cohen","N Daw"
"605","K Smith","J Kanwal"
"606","J Culbertson","J Kanwal"
"607","J Culbertson","K Smith"
"608","S Kirby","J Kanwal"
"609","S Kirby","K Smith"
"610","S Kirby","J Culbertson"
"611","M Kapur","M Kapur"
"612","S Rosa","F Keilmann"
"613","S Schwan","F Keilmann"
"614","S Schwan","S Rosa"
"615","U Cress","F Keilmann"
"616","U Cress","S Rosa"
"617","U Cress","S Schwan"
"618","B Mohler","F Keilmann"
"619","B Mohler","S Rosa"
"620","B Mohler","S Schwan"
"621","B Mohler","U Cress"
"622","H Bulthoff","F Keilmann"
"623","H Bulthoff","S Rosa"
"624","H Bulthoff","S Schwan"
"625","H Bulthoff","U Cress"
"626","H Bulthoff","B Mohler"
"627","T Meilinger","F Keilmann"
"628","T Meilinger","S Rosa"
"629","T Meilinger","S Schwan"
"630","T Meilinger","U Cress"
"631","T Meilinger","B Mohler"
"633","K Cichon","V Kempe"
"634","N Gauvrit","V Kempe"
"635","N Gauvrit","K Cichon"
"636","M Tamariz","V Kempe"
"637","M Tamariz","K Cichon"
"638","M Tamariz","N Gauvrit"
"639","S Thompson-Schill","Y Kenett"
"640","T Hinterecker","S Khemlani"
"641","P Johnson-Laird","S Khemlani"
"642","P Johnson-Laird","T Hinterecker"
"643","J Opfer","D Kim"
"644","A Velde","J Kim"
"645","E Thiessen","J Kim"
"646","E Thiessen","A Velde"
"647","A Fisher","J Kim"
"648","A Fisher","A Velde"
"649","A Fisher","E Thiessen"
"650","A Shaw","M Kleiman-Weiner"
"652","J Tenenbaum","A Shaw"
"653","T Lombrozo","E Kon"
"654","G Mens","E Konovalova"
"655","D Ravenzwaaij","E Konstantinidis"
"656","B Newell","E Konstantinidis"
"657","B Newell","D Ravenzwaaij"
"658","Y Zhu","J Kubricht"
"659","C Jiang","J Kubricht"
"660","C Jiang","Y Zhu"
"661","D Terzopoulos","J Kubricht"
"662","D Terzopoulos","Y Zhu"
"663","D Terzopoulos","C Jiang"
"664","S Zhu","J Kubricht"
"665","S Zhu","Y Zhu"
"666","S Zhu","C Jiang"
"667","S Zhu","D Terzopoulos"
"668","H Lu","J Kubricht"
"669","H Lu","Y Zhu"
"670","H Lu","C Jiang"
"671","H Lu","D Terzopoulos"
"672","H Lu","S Zhu"
"673","T Davis","M Lopez-Felip"
"674","T Frank","M Lopez-Felip"
"675","T Frank","T Davis"
"676","E Bergelson","C Laing"
"677","N Jacoby","T Langlois"
"678","J Suchow","T Langlois"
"679","J Suchow","N Jacoby"
