"","from","to"
"1","A Stevens","L Ball"
"2","C Holscher","S Buecher"
"3","J Wiener","S Buecher"
"4","J Wiener","C Holscher"
"5","D Landy","R Goldstone"
"6","C Forkstam","S Araujo"
"7","P Hagoor","S Araujo"
"8","P Hagoor","C Forkstam"
"9","M Ingvar","S Araujo"
"10","M Ingvar","C Forkstam"
"11","M Ingvar","P Hagoor"
"12","K Petersson","S Araujo"
"13","K Petersson","C Forkstam"
"14","K Petersson","P Hagoor"
"15","K Petersson","M Ingvar"
"16","J Udden","S Araujo"
"17","J Udden","C Forkstam"
"18","J Udden","P Hagoor"
"19","J Udden","M Ingvar"
"20","J Udden","K Petersson"
"21","D Klein","T Griffiths"
"22","A Rafferty","T Griffiths"
"23","A Rafferty","D Klein"
"24","M Elk","M Elk"
"25","A Majid","N Khetarpal"
"26","T Regier","N Khetarpal"
"27","T Regier","A Majid"
"28","T Boyer","B Bertenthal"
"29","M Sceutz","B Bertenthal"
"30","M Sceutz","T Boyer"
"31","S Lourenco","K Holmes"
"32","J Huttenlocher","K Deitz"
"33","M Kwon","K Deitz"
"34","M Kwon","J Huttenlocher"
"35","S Levine","K Deitz"
"36","S Levine","J Huttenlocher"
"37","S Levine","M Kwon"
"38","K Ratliff","K Deitz"
"39","K Ratliff","J Huttenlocher"
"40","K Ratliff","M Kwon"
"41","K Ratliff","S Levine"
"42","C Holscher","S Buchner"
"43","L Konieczny","S Buchner"
"44","L Konieczny","C Holscher"
"45","J Wiener","S Buchner"
"47","J Wiener","L Konieczny"
"48","S Carberry","R Burns"
"49","S Elzer","R Burns"
"50","S Elzer","S Carberry"
"51","D Gentner","K Forbus"
"52","B Jee","K Forbus"
"53","B Jee","D Gentner"
"54","B Sageman","K Forbus"
"55","B Sageman","D Gentner"
"56","B Sageman","B Jee"
"57","D Uttal","K Forbus"
"58","D Uttal","D Gentner"
"59","D Uttal","B Jee"
"60","D Uttal","B Sageman"
"61","D Buchsbaum","D Baldwin"
"62","A Gopnik","D Baldwin"
"63","A Gopnik","D Buchsbaum"
"64","T Griffiths","D Baldwin"
"65","T Griffiths","D Buchsbaum"
"66","T Griffiths","A Gopnik"
"67","S Friedman","K Forbus"
"68","S Pieschl","R Bromme"
"69","T Porsch","R Bromme"
"70","T Porsch","S Pieschl"
"71","E Stahl","R Bromme"
"72","E Stahl","S Pieschl"
"73","E Stahl","T Porsch"
"74","R Hausmann","S Gershman"
"75","T Nokes","S Gershman"
"76","T Nokes","R Hausmann"
"77","K VanLehn","S Gershman"
"78","K VanLehn","R Hausmann"
"79","K VanLehn","T Nokes"
"80","J Lee","M Kapur"
"81","J Lewis","J Lewis"
"82","H Maas","K Kan"
"83","L Konieczny","W Hachmann"
"84","D Muller","W Hachmann"
"85","D Muller","L Konieczny"
"86","T Fox","J Tree"
"87","T John","J Tree"
"88","T John","T Fox"
"89","P Healey","A Eshghi"
"90","P O'Seaghdha","J Chen"
"91","M Flecken","M Carroll"
"92","C Stutterheim","M Carroll"
"93","C Stutterheim","M Flecken"
"94","T Jaeger","S Cook"
"95","M Tanenhaus","S Cook"
"96","M Tanenhaus","T Jaeger"
"97","B Rehder","S Kim"
"98","B Newell","B Hayes"
"99","C Papadopoulos","B Hayes"
"100","C Papadopoulos","B Newell"
"101","U Hasson","G Egidi"
"102","L Steels","K Gerasymova"
"103","R Trijp","K Gerasymova"
"104","R Trijp","L Steels"
"105","F Smolik","J Lukavsky"
"106","G Westermann","N Ruh"
"107","M Riley","T Davis"
"108","K Shockley","T Davis"
"109","K Shockley","M Riley"
"110","R Verbrugge","C Hemelrijk"
"111","E Vaart","C Hemelrijk"
"112","E Vaart","R Verbrugge"
"113","A Bisazza","C Agrillo"
"114","M Dadda","C Agrillo"
"115","M Dadda","A Bisazza"
"116","L Piffer","C Agrillo"
"117","L Piffer","A Bisazza"
"118","L Piffer","M Dadda"
"119","G Serena","C Agrillo"
"120","G Serena","A Bisazza"
"121","G Serena","M Dadda"
"122","G Serena","L Piffer"
"123","J Hampton","S Aldrovandi"
"124","D Huessen","S Aldrovandi"
"125","D Huessen","J Hampton"
"126","P Kusev","S Aldrovandi"
"127","P Kusev","J Hampton"
"128","P Kusev","D Huessen"
"129","S Webb","F Vallee-Tourangeau"
"130","B Eugenio","D Cosejo"
"131","D Fossati","D Cosejo"
"132","D Fossati","B Eugenio"
"133","S Ohlsson","D Cosejo"
"134","S Ohlsson","B Eugenio"
"135","S Ohlsson","D Fossati"
"136","L Novick","K Catley"
"137","F Keller","M Coco"
"138","D Grodner","F Durgin"
"139","C Pietsch","F Durgin"
"140","C Pietsch","D Grodner"
"141","D Stapel","E Krahmer"
"142","H Rohde","K Bicknell"
"143","N Goodman","M Frank"
"144","P Lai","M Frank"
"145","P Lai","N Goodman"
"146","J Tenenbaum","M Frank"
"147","J Tenenbaum","N Goodman"
"148","J Tenenbaum","P Lai"
"149","A Nematzadeh","A Fazly"
"150","S Stevenson","A Fazly"
"151","S Stevenson","A Nematzadeh"
"152","C Patterson","J Johnson"
"153","V Simmering","J Johnson"
"154","V Simmering","C Patterson"
"155","J Spencer","J Johnson"
"156","J Spencer","C Patterson"
"157","J Spencer","V Simmering"
"158","M Raijmakers","R Franse"
"159","S Es","R Franse"
"160","S Es","M Raijmakers"
"161","T Schijndel","R Franse"
"162","T Schijndel","M Raijmakers"
"163","T Schijndel","S Es"
"164","H Kloos","L Greshmam"
"165","C Kemp","A Jern"
"166","C Was","C Was"
"167","Y Sakamoto","B Love"
"168","T Yamauchi","T Yamauchi"
