"","id","label"
"1",1,"T Hills"
"2",2,"M Maouene"
"3",3,"J Maouene"
"4",4,"A Sheya"
"5",5,"L Smith"
"6",6,"J Jameson"
"7",7,"D Gentner"
"8",8,"A Tiwathia"
"9",9,"K Livingston"
"10",10,"P Cushen"
"11",11,"J Wiley"
"12",12,"P Maguire"
"13",13,"R Maguire"
"14",14,"A Cater"
"15",15,"G Solomon"
"16",16,"R Gelman"
"17",17,"D Medin"
"18",18,"N Nersessian"
"19",19,"L Schulz"
"20",20,"M Bang"
"21",21,"C Massey"
"22",22,"K Brenneman"
"23",23,"W Newsetter"
"24",24,"R Mayrhofer"
"25",25,"N Goodman"
"26",26,"W"
"27",27,"T R."
"28",28,"M B."
"29",29,"B Breaux"
"30",30,"M Feist"
"31",31,"A Pyke"
"32",32,"J LeFevre"
"33",33,"R Isaacs"
"34",34,"A Shtulman"
"35",35,"P Calabi"
"36",36,"T Vosse"
"37",37,"G Kempen"
"38",38,"K Otis"
"39",39,"E Sagi"
"40",40,"F Gobet"
"41",41,"B Love"
"42",42,"M JOnes"
"43",43,"M Tomlinson"
"44",44,"M Howes"
"45",45,"H Wang"
"46",46,"S Helie"
"47",47,"N Wilson"
"48",48,"R Sun"
"49",49,"N Saji"
"50",50,"H Saalbach"
"51",51,"M Imai"
"52",52,"Y Zhang"
"53",53,"H Shu"
"54",54,"H Okada"
"55",55,"R Bod"
"56",56,"G Borensztajn"
"57",57,"D Freudenthal"
"58",58,"J Pine"
"59",59,"C Kam"
"60",60,"A Clark"
"61",61,"W Sakas"
"62",62,"H Harris"
"63",63,"R Minervino"
"64",64,"N Oberholzer"
"65",65,"M Trench"
"66",66,"A Lovett"
"67",67,"K Lockwood"
"68",68,"K Forbus"
"69",69,"L Leger"
"70",70,"J Rouet"
"71",71,"C Ros"
"72",72,"N Vibert"
"73",73,"M Ragni"
"74",74,"B Schultz"
"75",75,"D Navarro"
"76",76,"B Malt"
"77",77,"M Paquet"
"78",78,"T Lombrozo"
"79",79,"S Sloman"
"80",80,"M Strevens"
"81",81,"J Trout"
"82",82,"D Weisberg"
"83",83,"D Zaitchik"
"84",84,"T Shultz"
"85",85,"J Thivierge"
"86",86,"K Laurin"
"87",87,"H Neth"
"88",88,"T Muller"
"89",89,"A Fazly"
"90",90,"A Alishahi"
"91",91,"S Stevenson"
"92",92,"R Berwick"
"93",93,"N Chomsky"
"94",94,"L Aziz-Zadeh"
"95",95,"D Casasanto"
"96",96,"J Feldman"
"97",97,"R Saxe"
"98",98,"L Talmy"
"99",99,"L Oakes"
"100",100,"S Perone"
"101",101,"K Madole"
"102",102,"D Mills"
"103",103,"S Luck"
"104",104,"V Gilliland"
"105",105,"J Dunn"
"106",106,"J Childers"
"107",107,"A Chemero"
"108",108,"M Silberstein"
"109",109,"A Guiral"
"110",110,"E Ruiz"
"111",111,"W Rodgers"
"112",112,"J Gonzalo"
"113",113,"C Thompson"
"114",114,"J Opfer"
"115",115,"M Welsh"
"116",116,"M Lee"
"117",117,"S Begg"
"118",118,"J Chen"
"119",119,"C Chuang"
"120",120,"M Chiu"
"121",121,"L Onnis"
"122",122,"H Waterfall"
"123",123,"S Edelman"
"124",124,"H Lee"
"125",125,"K Holyoak"
"126",126,"P Hemmer"
"127",127,"M Steyvers"
"128",128,"J Toscano"
"129",129,"B McMurray"
"130",130,"J Denrell"
"131",131,"A Heckler"
"132",132,"J Kaminski"
"133",133,"V Sloutsky"
"134",134,"K Kurtz"
"135",135,"N Smith"
"136",136,"R Levy"
"137",137,"J Thibaut"
"138",138,"R French"
"139",139,"M Vezneva"
"140",140,"P Langley"
"141",141,"W Bridewell"
"142",142,"C Yu"
"143",143,"T Davis"
"144",144,"H Lu"
"145",145,"R Rojas"
"146",146,"T Beckers"
"147",147,"A Yuille"
"148",148,"C Frederikson"
"149",149,"T Koschman"
"150",150,"B MacWhinney"
"151",151,"C Seifart"
"152",152,"E Shortliffe"
"153",153,"S Cook"
"154",154,"M Tanenhaus"
"155",155,"M Mozer"
"156",156,"H Pashler"
"157",157,"H Homaei"
"158",158,"C Fausey"
"159",159,"L Boroditsky"
"160",160,"W Gray"
"161",161,"S Lelis"
"162",162,"A Howes"
"163",163,"B General"
"164",164,"P Palmer"
"165",165,"J Yang"
"166",166,"B McCandliss"
"167",167,"J Zevin"
"168",168,"G Tenenbaum"
"169",169,"Y Yeshurun"
"170",170,"J Busemeyer"
"171",171,"E Tomai"
"172",172,"J Loucks"
"173",173,"D Baldwin"
"174",174,"K Lippa"
"175",175,"V Shalin"
"176",176,"A Pereira"
"177",177,"P Monaghan"
"178",178,"J Arciuli"
"179",179,"N Seva"
"180",180,"L Shi"
"181",181,"N Feldman"
"182",182,"T Griffiths"
"183",183,"E Heit"
