"","from","to"
"1","C Schunn","E Littleton"
"2","S Kirschenbaum","E Littleton"
"3","S Kirschenbaum","C Schunn"
"4","R Goldberg","R Goldberg"
"5","J Kounios","D Casasanto"
"6","J Detre","D Casasanto"
"7","J Detre","J Kounios"
"8","A Green","J Hampton"
"9","Z Estes","J Hampton"
"10","Z Estes","A Green"
"11","Y Yang","S Bringsjord"
"12","J Tenenbaum","N Davidenko"
"13","S Flinn","S Flinn"
"14","C Correa","A Soares"
"15","R McCloy","S Segura"
"16","M Firment","D Billman"
"17","M Piñango","H Wiese"
"18","T Yagyu","T Yagyu"
"19","I McLaren","R Spiegel"
"20","T Ohno","H Ogasawara"
"21","R Levy","V Kempe"
"22","C Graci","V Kempe"
"23","C Graci","R Levy"
"24","J Cochener","K Kurtz"
"25","D Medin","K Kurtz"
"26","D Medin","J Cochener"
"27","B Morris","B Morris"
"28","X Wu","W Levy"
"29","Y Lee","Y Lee"
"30","C Cance","D Dubois"
"31","A Howes","G Miles"
"32","M Yip","M Yip"
"33","L Novick","K Whitley"
"34","D Fisher","K Whitley"
"35","D Fisher","L Novick"
"36","H Barrett","H Barrett"
"37","D Bree","D Bree"
"38","T Ripoll","E Laurent"
"39","H Ripoll","E Laurent"
"40","H Ripoll","T Ripoll"
"41","T Matsui","R Gibbs"
"42","J Trueswell","J Snedeker"
"43","G Aist","G Aist"
"44","D Tanaka","D Tanaka"
"45","D Liu","D Liu"
"46","C Blunt","D Billman"
"47","J Lindsay","D Billman"
"48","J Lindsay","C Blunt"
"49","U Hasson","Z Estes"
"50","P Shah","H White"
"51","H Shirouzu","H Shirouzu"
"52","K McRae","G Cree"
"53","S Glucksber","U Hasson"
"54","J Krems","M Baumann"
"55","L Perez-Miranda","L Perez-Miranda"
"56","J McClelland","K Kwok"
"57","L Smith","E Colunga"
"58","R Atkinson","R Catramabone"
"59","L Magnani","L Magnani"
"60","I Wachsmuth","I Wachsmuth"
"61","L Boroditsky","M Frank"
"62","M Ellefson","M Ellefson"
"63","M Young","K Gluck"
"64","S Forwood","M Pelley"
"65","I McLaren","M Pelley"
