"","from","to"
"66","I McLaren","S Forwood"
"67","A Feinman","R Alterman"
"68","J Introne","R Alterman"
"69","J Introne","A Feinman"
"70","S Landsman","R Alterman"
"71","S Landsman","A Feinman"
"72","S Landsman","J Introne"
"73","A Asudeh","F Keller"
"74","P Johnson-Laird","C Walsh"
"75","S Lupker","P Pexman"
"76","Y Hino","P Pexman"
"77","Y Hino","S Lupker"
"78","M Hare","K McRae"
"79","T Ferretti","K McRae"
"80","T Ferretti","M Hare"
"81","J Elman","K McRae"
"82","J Elman","M Hare"
"83","J Elman","T Ferretti"
"84","B Burns","B Burns"
"85","I Zipitria","P Wiemer-Hastings"
"86","W Marslen-Wilson","A Reid"
"87","P Smolensky","J Hale"
"88","P Monaghan","R Shillcock"
"90","J Wiley","J Wiley"
"91","G Gaskell","J Rodd"
"92","W Marslen-Wilson","J Rodd"
"93","W Marslen-Wilson","G Gaskell"
"94","R Meeks","R Meeks"
"95","J Staszewski","K Gluck"
"96","H Richman","K Gluck"
"97","H Richman","J Staszewski"
"98","H Simon","K Gluck"
"99","H Simon","J Staszewski"
"100","H Simon","H Richman"
"101","P Delahanty","K Gluck"
"102","P Delahanty","J Staszewski"
"103","P Delahanty","H Richman"
"104","P Delahanty","H Simon"
"105","R Hadley","M Vilcu"
"106","M Bucciarelli","K Sacco"
"107","M Adenzato","K Sacco"
"108","M Adenzato","M Bucciarelli"
"109","R Sun","P Slusarz"
"110","D Gentner","K Kurtz"
"111","J Bullinaria","J Bullinaria"
"112","P Schyns","L Bonnar"
"113","F Gosselin","L Bonnar"
"114","F Gosselin","P Schyns"
"115","T Hogan","M Rabinowitz"
"116","M Ramscar","L Connell"
"117","R Reuter","R Reuter"
"118","R Schulz","J Wiles"
"119","S Bolland","J Wiles"
"120","S Bolland","R Schulz"
"121","B Tonkes","J Wiles"
"122","B Tonkes","R Schulz"
"123","B Tonkes","S Bolland"
"124","J Hallinan","J Wiles"
"125","J Hallinan","R Schulz"
"126","J Hallinan","S Bolland"
"127","J Hallinan","B Tonkes"
"128","T Griffiths","J Tenenbaum"
"129","J Weisberg","J Weisberg"
"130","J Katz","T Shultz"
"131","M Lepper","T Shultz"
"132","M Lepper","J Katz"
"133","K Miwa","K Miwa"
"134","T Greenberg","L Mujica-Parodi"
"135","R Bilder","L Mujica-Parodi"
"136","R Bilder","T Greenberg"
"137","D Malaspina","L Mujica-Parodi"
"138","D Malaspina","T Greenberg"
"139","D Malaspina","R Bilder"
"140","M Spivey","M Tyler"
"141","W Lowe","W Lowe"
"142","A Markman","C Stilwell"
"143","L Smith","H Yoshida"
"144","C Drake","H Yoshida"
"145","C Drake","L Smith"
"146","J Swanson","H Yoshida"
"147","J Swanson","L Smith"
"148","J Swanson","C Drake"
"149","L Gudel","H Yoshida"
"150","L Gudel","L Smith"
"151","L Gudel","C Drake"
"152","L Gudel","J Swanson"
"153","F Costello","F Costello"
"154","G Newman","S Blok"
"155","J Behr","S Blok"
"156","J Behr","G Newman"
"157","L Rips","S Blok"
"158","L Rips","G Newman"
"159","L Rips","J Behr"
"160","J Bonnefon","D Hilton"
"161","M Kemmelmeier","D Hilton"
"162","M Kemmelmeier","J Bonnefon"
"163","K Thorpe","J Snedeker"
"165","J Trueswell","K Thorpe"
"166","A Raftopoulos","A Raftopoulos"
"167","G Cottrell","P Munro"
"168","M Flanery","T Palmeri"
"169","M Spivey","D Richardson"
"170","J Cheung","D Richardson"
"171","J Cheung","M Spivey"
"172","S Scott","S Scott"
"173","S Curtiss","S Bode"
"174","W Ahn","N Kim"
"175","M MacLeod","M Oram"
"176","D Mareschal","M Thomas"
"177","A C.Hinds","M Thomas"
"178","A C.Hinds","D Mareschal"
"179","S Filipic","S Filipic"
"180","E Fleischman","R Jones"
"181","J Oberlander","M O'Toole"
"182","R Shillcock","M O'Toole"
"183","R Shillcock","J Oberlander"
"184","I McLaren","M Suret"
"186","J Gratch","S Marsella"
"187","M Johannesson","M Johannesson"
"188","A Corebett","R Baker"
"189","K Koedinger","R Baker"
"190","K Koedinger","A Corebett"
"191","R Shillcock","M Tamariz"
"192","D Hackett","M Keane"
"193","J Davenport","M Keane"
"194","J Davenport","D Hackett"
"195","M Ramscar","L Boroditsky"
"197","M Frank","M Ramscar"
"199","B Schaper","M Flanery"
"200","B Schaper","T Palmeri"
"201","F Hesse","U Oestermeier"
"202","P Oudeyer","P Oudeyer"
"203","F Pollick","H Paterson"
"204","A Sanford","H Paterson"
"205","A Sanford","F Pollick"
"206","W Schoppek","W Schoppek"
"207","W Marslen-Wilson","S Boudelaa"
"208","D Parisi","A Cangelosi"
"209","N Caramelli","A Borghi"
"210","P Slezak","P Slezak"
"211","E Cardillo","K Moll"
"212","J Utman","K Moll"
"213","J Utman","E Cardillo"
"214","M Ramscar","D Yarlett"
"215","G Knoblich","P Bach"
"216","A Friederici","P Bach"
"217","A Friederici","G Knoblich"
"218","W Prinz","P Bach"
"219","W Prinz","G Knoblich"
"220","W Prinz","A Friederici"
"221","D Beaver","M Wolters"
"222","S Payne","H Neth"
"223","I McLaren","F Jones"
"224","A Fisher","V Sloutsky"
"225","R French","J Sougne"
"226","M Matessa","M Matessa"
"227","J Barnden","J Barnden"
"228","J Trafton","S Trickett"
"229","C Schunn","S Trickett"
"230","C Schunn","J Trafton"
"231","A Harrison","S Trickett"
"232","A Harrison","J Trafton"
"233","A Harrison","C Schunn"
"234","J Elman","J Lewis"
"235","E Aplaydin","A Salah"
"236","L Akarun","A Salah"
"237","L Akarun","E Aplaydin"
"238","P Cheng","J Choplin"
"239","K Holyoak","J Choplin"
"240","K Holyoak","P Cheng"
"241","M Lovett","J Brown"
"242","L Menn","C Buck-Gengler"
"243","A Healy","C Buck-Gengler"
"244","A Healy","L Menn"
"245","A Karnavat","D Franceshetti"
"246","J Marineau","D Franceshetti"
"247","J Marineau","A Karnavat"
"248","G McCallie","D Franceshetti"
"249","G McCallie","A Karnavat"
"250","G McCallie","J Marineau"
"251","B Olde","D Franceshetti"
"252","B Olde","A Karnavat"
"253","B Olde","J Marineau"
"254","B Olde","G McCallie"
"255","B Terry","D Franceshetti"
"256","B Terry","A Karnavat"
"257","B Terry","J Marineau"
"258","B Terry","G McCallie"
"259","B Terry","B Olde"
"260","A Graesser","D Franceshetti"
"261","A Graesser","A Karnavat"
"262","A Graesser","J Marineau"
"263","A Graesser","G McCallie"
"264","A Graesser","B Olde"
"265","A Graesser","B Terry"
"266","H Bekkering","G Gergely"
"267","I Kiraly","G Gergely"
"268","I Kiraly","H Bekkering"
"269","F Gobet","F Gobet"
"270","M Werning","M Werning"
"271","B Tversky","P Lee"
"272","P Pexman","J Edwards"
"273","R Miikulainen","Y Silberman"
"274","S Bentin","Y Silberman"
"275","S Bentin","R Miikulainen"
"276","G Cottrell","M Sugimoto"
"277","H Ohnishi","H Ohnishi"
"278","A Raftopoulos","C Constantinou"
"279","G Spanoudis","C Constantinou"
"280","G Spanoudis","A Raftopoulos"
"281","T Oswald","C Johnson"
"282","N Braisby","N Braisby"
"284","R Remington","C Miller"
"285","N Taatgen","N Taatgen"
"286","V Sloutsky","A Napolitano"
"287","S Boysen","A Napolitano"
"288","S Boysen","V Sloutsky"
"289","C Glasmacher","E Melis"
"290","C Ullrich","E Melis"
"291","C Ullrich","C Glasmacher"
"292","P Gerjets","E Melis"
"293","P Gerjets","C Glasmacher"
"294","P Gerjets","C Ullrich"
"295","P Cheng","P Lane"
"296","F Gobet","P Lane"
"297","F Gobet","P Cheng"
"298","T Shultz","T Shultz"
"299","M Ramscar","T Alloway"
"300","M Corley","T Alloway"
"301","M Corley","M Ramscar"
"302","B Randall","C Longworth"
"303","L Tyler","C Longworth"
"304","L Tyler","B Randall"
"305","W Marslen-Wilson","C Longworth"
"306","W Marslen-Wilson","B Randall"
"307","W Marslen-Wilson","L Tyler"
"308","M Elshaw","S Garfield"
"309","S Wermter","S Garfield"
"310","S Wermter","M Elshaw"
"311","A Cardoso","L Macedo"
"312","N Swoboda","P Healey"
"313","I Umata","P Healey"
"314","I Umata","N Swoboda"
"315","Y Katagiri","P Healey"
"316","Y Katagiri","N Swoboda"
"317","Y Katagiri","I Umata"
"319","R Siegert","J Smith"
"320","J McDowall","J Smith"
"321","J McDowall","R Siegert"
"322","D Abernethy","J Smith"
"323","D Abernethy","R Siegert"
"324","D Abernethy","J McDowall"
"325","E Chew","E Chew"
"326","L Richardson","U Hahn"
"327","N Chater","U Hahn"
"328","N Chater","L Richardson"
"329","L Ball","J Quayle"
"330","S Handley","A Feeney"
"331","W Gray","M Schoelles"
"332","K Abe","H Suzuki"
"333","K Hiraki","H Suzuki"
"334","K Hiraki","K Abe"
"335","M Miyazaki","H Suzuki"
"336","M Miyazaki","K Abe"
"337","M Miyazaki","K Hiraki"
"338","D Klahr","A Masnick"
"339","S Ohlsson","T Griffin"
"340","M Casteren","M Greer"
"341","S McLellan","M Greer"
"342","S McLellan","M Casteren"
"343","H Moss","M Greer"
"344","H Moss","M Casteren"
"345","H Moss","S McLellan"
"346","J Rodd","M Greer"
"347","J Rodd","M Casteren"
"348","J Rodd","S McLellan"
"349","J Rodd","H Moss"
"350","T Rogers","M Greer"
"351","T Rogers","M Casteren"
"352","T Rogers","S McLellan"
"353","T Rogers","H Moss"
"354","T Rogers","J Rodd"
"355","L Tyler","M Greer"
"356","L Tyler","M Casteren"
"357","L Tyler","S McLellan"
"358","L Tyler","H Moss"
"359","L Tyler","J Rodd"
"360","L Tyler","T Rogers"
"361","C Kilbreath","S Graham"
"362","A Welder","S Graham"
"363","A Welder","C Kilbreath"
"364","M Ramscar","S McDonald"
"365","W Schaeken","W Neys"
"366","G d'Ydewalle","W Neys"
"367","G d'Ydewalle","W Schaeken"
"368","S Sloman","C Hadjichristidis"
"369","E Wisniewski","C Hadjichristidis"
"370","E Wisniewski","S Sloman"
"371","T Maia","N Chang"
"372","K Koedinger","B Rittle-Johnson"
"373","H Vugt","E Hoenkamp"
"374","P Brna","M Burton"
"375","R Byrne","C Walsh"
"376","G Murphy","B Rehder"
"377","R Shillcock","Y Chou"
"379","M Aylett","E Bard"
"380","P Thagard","D Pozega"
"381","J Slemmer","N Kirkham"
"382","S Johnson","N Kirkham"
"383","S Johnson","J Slemmer"
"384","G Bingham","G Bingham"
"385","D Klahr","B Morris"
"386","V Sloutsky","Y Lo"
"387","D Janetzko","D Janetzko"
"389","A Graesser","S Franklin"
"390","N Chater","E Pothos"
"391","M Andrews","M Andrews"
"392","L Cohen","H Chaput"
"393","J Perner","Z Dienes"
"394","E Sander","E Sander"
"395","M Imai","T Ono"
"396","H Ishiguro","T Ono"
"397","H Ishiguro","M Imai"
"398","F Missier","D Fum"
"399","N Charter","N Stewart"
"400","H Stott","N Stewart"
"401","H Stott","N Charter"
"402","N Silverbag","R Farivar"
"403","H Kadlec","R Farivar"
"404","H Kadlec","N Silverbag"
"405","C Thompson","S Kiran"
"406","D Medin","S Kiran"
"407","D Medin","C Thompson"
"408","G Cottrell","K Anderson"
"409","O Vilarroya","O Vilarroya"
"410","A Gordon","A Gordon"
"411","M Ramscar","M Ramscar"
"412","M Chen","M Chen"
"413","H Wiese","H Wiese"
"414","N Zareva-Toncheva","B Kokinov"
"416","J Watson","J Wiles"
"417","J Watson","B Tonkes"
"418","H Nilsson","P Juslin"
"419","H Olsson","P Juslin"
"420","H Olsson","H Nilsson"
"421","J McFadzean","P Cheng"
"422","L Copeland","P Cheng"
"423","L Copeland","J McFadzean"
"424","D Gentner","M Feist"
"425","R Dale","M Christiansen"
"426","R Stevenson","C Hadjichristidis"
"427","D Over","C Hadjichristidis"
"428","D Over","R Stevenson"
"430","S Sloman","R Stevenson"
"431","S Sloman","D Over"
"432","J Evans","C Hadjichristidis"
"433","J Evans","R Stevenson"
"434","J Evans","D Over"
"435","J Evans","S Sloman"
"436","A Feeney","C Hadjichristidis"
"437","A Feeney","R Stevenson"
"438","A Feeney","D Over"
"439","A Feeney","S Sloman"
"440","A Feeney","J Evans"
"441","G Westermann","G Westermann"
"442","J Lester","C Callaway"
"443","S Ohlsson","T Nokes"
"444","R Breheny","R Breheny"
"445","D Medin","B Bowdle"
"446","R Martens","H Tabbers"
"447","J Merrienboer","H Tabbers"
"448","J Merrienboer","R Martens"
"449","M Mermillod","R French"
"450","P Quinn","R French"
"451","P Quinn","M Mermillod"
"452","D Mareschal","R French"
"453","D Mareschal","M Mermillod"
"454","D Mareschal","P Quinn"
"455","S Brinsjord","K Rinella"
"456","Y Yang","K Rinella"
"457","Y Yang","S Brinsjord"
"458","N Marcus","W Wilson"
"459","G Halford","W Wilson"
"460","G Halford","N Marcus"
"461","S Payne","A Howes"
"462","L Smith","C Sandhofer"
"463","P Berretty","P Berretty"
"464","R Kozma","D Harter"
"465","A Graesser","D Harter"
"466","A Graesser","R Kozma"
"467","J Tenenbaum","J Nelson"
"468","J Movellan","J Nelson"
"469","J Movellan","J Tenenbaum"
"470","K Holyoak","R Morrison"
"471","B Troung","R Morrison"
"472","B Troung","K Holyoak"
"473","B Corrigan","T Regier"
"474","R Cabasaan","T Regier"
"475","R Cabasaan","B Corrigan"
"476","A Woodward","T Regier"
"477","A Woodward","B Corrigan"
"478","A Woodward","R Cabasaan"
"479","M Gasser","T Regier"
"480","M Gasser","B Corrigan"
"481","M Gasser","R Cabasaan"
"482","M Gasser","A Woodward"
"483","L Smith","T Regier"
"484","L Smith","B Corrigan"
"485","L Smith","R Cabasaan"
"486","L Smith","A Woodward"
"487","L Smith","M Gasser"
"488","C Goodwin","T Koschmann"
"489","C LeBaron","T Koschmann"
"490","C LeBaron","C Goodwin"
"491","P Feltovich","T Koschmann"
"492","P Feltovich","C Goodwin"
"493","P Feltovich","C LeBaron"
"494","B Olde","S Lu"
"495","E Cooper","S Lu"
"496","E Cooper","B Olde"
"497","A Graesser","S Lu"
"499","A Graesser","E Cooper"
"500","T Clement","T Zentall"
"501","J Moore","C Rose"
"502","K VanLehn","C Rose"
"503","K VanLehn","J Moore"
"504","D Allbritton","C Rose"
"505","D Allbritton","J Moore"
"506","D Allbritton","K VanLehn"
"510","L Paul","F Gosselin"
"511","L Paul","P Schyns"
"512","L Paul","L Bonnar"
"513","M Lee","D Navarro"
"514","R Hadley","R Hadley"
"515","D Meehan","D Meehan"
"516","J Bolte","J Bolte"
"517","S Ohlsson","T Kershaw"
"518","D Noelle","D Noelle"
"519","J Andrews","K Livingston"
"520","P Dwyer","K Livingston"
"521","P Dwyer","J Andrews"
"522","S Beller","S Beller"
"523","P Cheng","D Peebles"
"524","S Becker","S Howell"
"525","J Krug","K Wiemer-Hastings"
"526","X Xu","K Wiemer-Hastings"
"527","X Xu","J Krug"
"529","S Edelman","D Richardson"
"530","S Edelman","M Spivey"
"531","A Naples","D Richardson"
"532","A Naples","M Spivey"
"533","A Naples","S Edelman"
"534","R West","A Pyke"
"535","A Howes","S Charman"
"536","N Nersessian","N Nersessian"
"537","R Mathews","R Sun"
"538","S Kirby","P Todd"
"539","J Hurford","P Todd"
"540","J Hurford","S Kirby"
"541","L Magnani","P Langley"
"542","P Cheng","P Langley"
"543","P Cheng","L Magnani"
"544","A Gordon","P Langley"
"545","A Gordon","L Magnani"
"546","A Gordon","P Cheng"
"547","S Kocabas","P Langley"
"548","S Kocabas","L Magnani"
"549","S Kocabas","P Cheng"
"550","S Kocabas","A Gordon"
"551","D Sleeman","P Langley"
"552","D Sleeman","L Magnani"
"553","D Sleeman","P Cheng"
"554","D Sleeman","A Gordon"
"555","D Sleeman","S Kocabas"
