"","id","label"
"1",1,"I Dasgupta"
"2",2,"E Schulz"
"3",3,"J Hamrick"
"4",4,"J Tenenbaum"
"5",5,"E Daubert"
"6",6,"P Shafto"
"7",7,"J Leeuw"
"8",8,"J Andrews"
"9",9,"K Livingston"
"10",10,"M Franke"
"11",11,"J Hartshorne"
"12",12,"R Hawkins"
"13",13,"J Wagge"
"14",14,"A Olteteanu"
"15",15,"R Hass"
"16",16,"E Chrysikou"
"17",17,"M Ragni"
"18",18,"N Riesterer"
"19",19,"S Khemlani"
"20",20,"H Schultheis"
"21",21,"R Cooper"
"22",22,"V Simmering"
"23",23,"C Shafto"
"24",24,"J Bunce"
"25",25,"E Bergelson"
"26",26,"A Warlaumont"
"27",27,"M Casillas"
"28",28,"J Hsiao"
"29",29,"A Chan"
"30",30,"J Myung"
"31",31,"M Pitt"
"32",32,"J Yang"
"33",33,"W Ahn"
"34",34,"E Pothos"
"35",35,"J Yearsley"
"36",36,"Z Wang"
"37",37,"P Kvam"
"38",38,"J Busemeyer"
"39",39,"T Brown"
"40",40,"A Nazareth"
"41",41,"M Brucato"
"42",42,"V Bohbot"
"43",43,"N Newcombe"
"44",44,"A Frick"
"45",45,"D Voyer"
"46",46,"L Huang"
"47",47,"Q He"
"48",48,"J Starnes"
"49",49,"S Goodroe"
"50",50,"T McNamara"
"51",51,"R Confalonieri"
"52",52,"T Besold"
"53",53,"T Weyde"
"54",54,"K Creel"
"55",55,"T Lombrozo"
"56",56,"S Mueller"
"57",57,"K Forbus"
"58",58,"D Gentner"
"59",59,"J Laird"
"60",60,"T Shultz"
"61",61,"A Nobandegani"
"62",62,"P Thagard"
"63",63,"W Gray"
"64",64,"R Perez"
"65",65,"J Moxley"
"66",66,"D Mendonca"
"67",67,"J Gorman"
"68",68,"Y Kenett"
"69",69,"N Castro"
"70",70,"E Karuza"
"71",71,"M Vitevitch"
"72",72,"J McClelland"
"73",73,"K McRae"
"74",74,"S Musslick"
"75",75,"A Hoskin"
"76",76,"T Webb"
"77",77,"S Frankland"
"78",78,"J Cohen"
"79",79,"R Jackson"
"80",80,"M Ralph"
"81",81,"L Chen"
"82",82,"T Rogers"
"83",83,"R O'Reilly"
"84",84,"A Petrov"
"85",85,"P Paul"
"86",86,"A Papafragou"
"87",87,"J Cantlon"
"88",88,"S Lourenco"
"89",89,"L Aulet"
"90",90,"T Pleskac"
"91",91,"N Goodman"
"92",92,"M Tessler"
"93",93,"T Griffiths"
"94",94,"F Lieder"
"95",95,"R Hertwig"
"96",96,"T Pachur"
"97",97,"C Leuker"
"98",98,"R Shiffrin"
"99",99,"F Vallee-Tourangeau"
"100",100,"L Ball"
"101",101,"A Abraham"
"102",102,"C Salvi"
"103",103,"U Sio"
"104",104,"M Webb"
"105",105,"S Bringsjord"
"106",106,"N Govindarajulu"
"107",107,"C Elmore"
"108",108,"S DiPaola"
"109",109,"L Gabora"
"110",110,"J Gero"
"111",111,"D Herremans"
"112",112,"E Chew"
"113",113,"M Kitajima"
"114",114,"K Kurtz"
"115",115,"D Silliman"
"116",116,"I Mordatch"
"117",117,"A Pennisi"
"118",118,"G Fruciano"
"119",119,"G Pennisi"
"120",120,"P Pennisi"
"121",121,"L Giallongo"
"122",122,"Y Wang"
"123",123,"S Gennari"
"124",124,"N Zaslavsky"
"125",125,"K Garvin"
"126",126,"C Kemp"
"127",127,"N Tishby"
"128",128,"T Regier"
"129",129,"M Afrasiabi"
"130",130,"M Orr"
"131",131,"J Austerweil"
"132",132,"N Albehaijan"
"133",133,"P Cheng"
"134",134,"R Alhama"
"135",135,"N Siegelman"
"136",136,"R Frost"
"137",137,"B Armstrong"
"138",138,"K Allen"
"139",139,"K Smith"
"140",140,"E Andrade"
"141",141,"R Goldstone"
"142",142,"M Asaba"
"143",143,"X Li"
"144",144,"W Yow"
"145",145,"H Gweon"
"146",146,"C Atalla"
"147",147,"A Song"
"148",148,"G Cottrell"
"149",149,"C Aurnhammer"
"150",150,"S Frank"
"151",151,"N Bade"
"152",152,"F Schwarz"
"153",153,"R Beaty"
"154",154,"A Bender"
"155",155,"S Teige-Mocigemba"
"156",156,"A Rothe-Wulf"
"157",157,"M Seel"
"158",158,"S Beller"
"159",159,"M Bernard"
"160",160,"M Tellez"
"161",161,"M Benedek"
"162",162,"E Volle"
"163",163,"S Binau"
"164",164,"R Melnick"
"165",165,"J Abecassis"
"166",166,"M Bohn"
"167",167,"M Frank"
"168",168,"J Boland"
"169",169,"A Bower"
"170",170,"A Burton"
"171",171,"M Steyvers"
"172",172,"W Batchelder"
"173",173,"J Bruening"
"174",174,"M Muckstein"
"175",175,"D Manzey"
"176",176,"J Burton"
