"","from","to"
"1","D Hu","C Iricinschi"
"2","M Oullet","N Spatola"
"3","J Santiago","N Spatola"
"4","J Santiago","M Oullet"
"5","B Beffara","N Spatola"
"6","B Beffara","M Oullet"
"7","B Beffara","J Santiago"
"8","M Mermillod","N Spatola"
"9","M Mermillod","M Oullet"
"10","M Mermillod","J Santiago"
"11","M Mermillod","B Beffara"
"12","C Yang","T Chang"
"13","S Cabrera","D Baker"
"14","J Joy","D Baker"
"15","J Joy","S Cabrera"
"16","S Revithis","S Revithis"
"17","L Magnani","L Magnani"
"18","D Gentner","B Matlen"
"19","S Franconeri","B Matlen"
"20","S Franconeri","D Gentner"
"21","C Wang","M Wei"
"22","Y Chen","M Wei"
"23","Y Chen","C Wang"
"24","Y Chang","M Wei"
"25","Y Chang","C Wang"
"26","Y Chang","Y Chen"
"27","H Chen","M Wei"
"28","H Chen","C Wang"
"29","H Chen","Y Chen"
"30","H Chen","Y Chang"
"31","J Hu","M Wei"
"32","J Hu","C Wang"
"33","J Hu","Y Chen"
"34","J Hu","Y Chang"
"35","J Hu","H Chen"
"36","B Goldstein","S Meylan"
"37","A Rafferty","S Meylan"
"38","A Rafferty","B Goldstein"
"39","T Griffiths","S Meylan"
"40","T Griffiths","B Goldstein"
"41","T Griffiths","A Rafferty"
"42","P Huang","P Huang"
"43","A Samsonovich","A Samsonovich"
"44","S Miwa","S Miwa"
"45","B Johns","M Dye"
"46","S Chandramouli","M Dye"
"47","S Chandramouli","B Johns"
"48","M Ramscar","M Dye"
"49","M Ramscar","B Johns"
"50","M Ramscar","S Chandramouli"
"51","M Kmiecik","R Morrison"
"52","J Irwin","R Morrison"
"53","J Irwin","M Kmiecik"
"54","N Unsworth","R Morrison"
"55","N Unsworth","M Kmiecik"
"56","N Unsworth","J Irwin"
"57","L Jones","R Morrison"
"58","L Jones","M Kmiecik"
"59","L Jones","J Irwin"
"60","L Jones","N Unsworth"
"61","E Morin-Lessard","K Byers-Heinlein"
"62","B Jee","F Anggoro"
"63","L Yang","L Yang"
"64","D Navarro","S Tauber"
"65","A Prefors","S Tauber"
"66","A Prefors","D Navarro"
"67","M Lee","S Tauber"
"68","M Lee","D Navarro"
"69","M Lee","A Prefors"
"70","V Sloutsky","A O'Leary"
"71","Y Lee","R Tsai"
"72","T Kusumi","M Sugimoto"
"73","T Kurita","M Sugimoto"
"74","T Kurita","T Kusumi"
"75","A Ishikawa","M Sugimoto"
"76","A Ishikawa","T Kusumi"
"77","A Ishikawa","T Kurita"
"78","T Sakaguchi","M Sugimoto"
"79","T Sakaguchi","T Kusumi"
"80","T Sakaguchi","T Kurita"
"81","T Sakaguchi","A Ishikawa"
"82","M Nabetani","M Sugimoto"
"83","M Nabetani","T Kusumi"
"84","M Nabetani","T Kurita"
"85","M Nabetani","A Ishikawa"
"86","M Nabetani","T Sakaguchi"
"87","H Takashi","M Sugimoto"
"88","H Takashi","T Kusumi"
"89","H Takashi","T Kurita"
"90","H Takashi","A Ishikawa"
