"","from","to"
"1","R Cooper","R Cooper"
"2","P Johnson-Laird","G Goodwin"
"3","E Hristova","M Grinberg"
"4","J Gottlieb","J Gottlieb"
"5","P Hemeren","P Hemeren"
"6","A Lovett","K Forbus"
"7","E Tomai","K Forbus"
"8","E Tomai","A Lovett"
"9","J Usher","K Forbus"
"10","J Usher","A Lovett"
"11","J Usher","E Tomai"
"12","R Goldstone","M Blair"
"13","S Hockema","M Blair"
"14","S Hockema","R Goldstone"
"15","T Verbeemen","G Storms"
"16","T Verguts","G Storms"
"17","T Verguts","T Verbeemen"
"18","H Neilens","S Handley"
"19","S Newstead","S Handley"
"20","S Newstead","H Neilens"
"21","S Kalyuga","S Kalyuga"
"22","J Magnuson","H Harris"
"23","T Strauss","H Harris"
"24","T Strauss","J Magnuson"
"25","T Seipone","J Bullinaria"
"26","P Dessus","G Denhiere"
"27","B Lamaire","G Denhiere"
"28","B Lamaire","P Dessus"
"29","S Mandin","G Denhiere"
"30","S Mandin","P Dessus"
"31","S Mandin","B Lamaire"
"32","A Rizzo","M Palmonari"
"33","A Lucidi","V Cestari"
"34","L Pieroni","V Cestari"
"35","L Pieroni","A Lucidi"
"36","C Rossi-Arnaud","V Cestari"
"37","C Rossi-Arnaud","A Lucidi"
"38","C Rossi-Arnaud","L Pieroni"
"39","M Ramscar","N Davidenko"
"40","J Kulvicki","J Kulvicki"
"41","M Fleischman","A Fisher"
"42","D Roy","A Fisher"
"43","D Roy","M Fleischman"
"44","V Sloutsky","A Fisher"
"45","V Sloutsky","M Fleischman"
"46","V Sloutsky","D Roy"
"47","L Tagliapietra","P Tabossi"
"48","K Shimohara","N Nawa"
"49","R Dale","E Balcetis"
"50","V Veksler","W Gray"
"51","A Markman","S Blok"
"52","K Obermayer","S Grunewalder"
"53","A Stocco","D Fum"
"54","T Zalla","D Fum"
"55","T Zalla","A Stocco"
"56","P Karbor","I Juvina"
"57","B Pauw","I Juvina"
"58","B Pauw","P Karbor"
"59","H oostendorp","I Juvina"
"60","H oostendorp","P Karbor"
"61","H oostendorp","B Pauw"
"62","T Hickey","R Alterman"
"63","S Taneva","R Alterman"
"64","S Taneva","T Hickey"
"65","C Strapparava","R Mihalcea"
"66","B Meder","Y Hagmayer"
"67","M Waldmann","Y Hagmayer"
"68","M Waldmann","B Meder"
"69","T Ferretti","J Elman"
"70","K McRae","J Elman"
"71","K McRae","T Ferretti"
"72","C Ramshaw","J Elman"
"73","C Ramshaw","T Ferretti"
"74","C Ramshaw","K McRae"
"75","S Pinker","Y Huang"
"76","A Greco","C Caneva"
"77","S Levin","W Ahn"
"78","J Marsh","W Ahn"
"79","J Marsh","S Levin"
"80","D McNamara","K Dempsey"
"81","Y Ozuru","K Dempsey"
"82","Y Ozuru","D McNamara"
"83","J Sayroo","K Dempsey"
"84","J Sayroo","D McNamara"
"85","J Sayroo","Y Ozuru"
"86","M Kalish","T Griffiths"
"87","M Inuzuka","M Inuzuka"
"88","M Spivey","R Dale"
"89","I Cutica","I Cutica"
"90","P Munro","J Bao"
"91","A Paternoster","C Meini"
"92","M Murray","R Byrne"
"93","L Frey","L Frey"
"94","E Lorini","A Herzig"
"95","L Tummolini","A Herzig"
"96","L Tummolini","E Lorini"
"97","S Vosniadou","I Skopeliti"
"98","J Holsanova","K Holmqvist"
"99","R Johansson","K Holmqvist"
"100","R Johansson","J Holsanova"
"101","T Susi","T Susi"
"102","P Kay","R Cook"
"103","T Regier","R Cook"
"104","T Regier","P Kay"
"105","J Allen","G Aist"
"106","E Campana","G Aist"
"107","E Campana","J Allen"
"108","M Rotondo","G Aist"
"109","M Rotondo","J Allen"
"110","M Rotondo","E Campana"
"111","M Swift","G Aist"
"112","M Swift","J Allen"
"113","M Swift","E Campana"
"114","M Swift","M Rotondo"
"115","M Tanenhaus","G Aist"
"116","M Tanenhaus","J Allen"
"117","M Tanenhaus","E Campana"
"118","M Tanenhaus","M Rotondo"
"119","M Tanenhaus","M Swift"
"120","E Lalumera","E Lalumera"
"121","M Upal","M Upal"
"122","A Perfors","C Kemp"
"123","J Tenenbaum","C Kemp"
"124","J Tenenbaum","A Perfors"
"125","S Niyogi","S Niyogi"
"126","W Mao","J Gratch"
"127","S Marsella","J Gratch"
"128","S Marsella","W Mao"
"129","B Martinovski","J Gratch"
"130","B Martinovski","W Mao"
"131","B Martinovski","S Marsella"
"132","N Guyader","D Alleysson"
"133","C Marendaz","D Alleysson"
"134","C Marendaz","N Guyader"
"135","M Mermillod","D Alleysson"
"136","M Mermillod","N Guyader"
"137","M Mermillod","C Marendaz"
"138","P Vuilleumier","D Alleysson"
"139","P Vuilleumier","N Guyader"
"140","P Vuilleumier","C Marendaz"
"141","P Vuilleumier","M Mermillod"
"142","A Kruglanski","D Kenny"
"143","S Livi","D Kenny"
"144","S Livi","A Kruglanski"
"145","L Mannetti","D Kenny"
"146","L Mannetti","A Kruglanski"
"147","L Mannetti","S Livi"
"148","A Pierro","D Kenny"
"149","A Pierro","A Kruglanski"
"150","A Pierro","S Livi"
"151","A Pierro","L Mannetti"
"152","C Robinson","E Howard"
"153","V Sloutsky","E Howard"
"154","V Sloutsky","C Robinson"
"155","D Medin","F Anggoro"
"156","S Waxman","F Anggoro"
"157","S Waxman","D Medin"
"158","H Ishiguro","S Cowley"
"159","S Itakura","S Cowley"
"160","S Itakura","H Ishiguro"
"161","K MacDorman","S Cowley"
"162","K MacDorman","H Ishiguro"
"163","K MacDorman","S Itakura"
"164","T Minato","S Cowley"
"165","T Minato","H Ishiguro"
"166","T Minato","S Itakura"
"167","T Minato","K MacDorman"
"168","M Shimada","S Cowley"
"169","M Shimada","H Ishiguro"
"170","M Shimada","S Itakura"
"171","M Shimada","K MacDorman"
"172","M Shimada","T Minato"
"173","J Ludtke","B Kaup"
"174","R Zwaan","B Kaup"
"175","R Zwaan","J Ludtke"
"176","L Zhang","G Cottrell"
"177","H Rojas-Anaya","P Cheng"
"178","L Davidson","S Benus"
"179","A Gafos","S Benus"
"180","A Gafos","L Davidson"
"181","C Hayes","L Gonnerman"
"182","C Walsh","S Sloman"
"183","J Murre","J Lacroix"
"184","E Postma","J Lacroix"
"185","E Postma","J Murre"
"186","C Cacciari","L Bennetto"
"187","E Campana","L Bennetto"
"188","E Campana","C Cacciari"
"189","P Corradini","L Bennetto"
"190","P Corradini","C Cacciari"
"191","P Corradini","E Campana"
"192","S Packard","L Bennetto"
"193","S Packard","C Cacciari"
"194","S Packard","E Campana"
"195","S Packard","P Corradini"
"196","R Padovani","L Bennetto"
"197","R Padovani","C Cacciari"
"198","R Padovani","E Campana"
"199","R Padovani","P Corradini"
"200","R Padovani","S Packard"
"201","L Silverman","L Bennetto"
"202","L Silverman","C Cacciari"
"203","L Silverman","E Campana"
"204","L Silverman","P Corradini"
"205","L Silverman","S Packard"
"206","L Silverman","R Padovani"
"207","M Tanenhaus","L Bennetto"
"208","M Tanenhaus","C Cacciari"
"210","M Tanenhaus","P Corradini"
"211","M Tanenhaus","S Packard"
"212","M Tanenhaus","R Padovani"
"213","M Tanenhaus","L Silverman"
"214","E Aarle","E Hoenkamp"
"215","M Huff","B Garsoffky"
"216","S Schwan","B Garsoffky"
"217","S Schwan","M Huff"
"218","C Seaton","J Coley"
"219","A Vitkin","J Coley"
"220","A Vitkin","C Seaton"
"221","J Yopchick","J Coley"
"222","J Yopchick","C Seaton"
"223","J Yopchick","A Vitkin"
"224","F Gagliardi","F Gagliardi"
"225","L Connell","L Connell"
"226","J Taylor","L Mazlack"
"227","R Jucks","R Bromme"
"228","A Runde","R Bromme"
"229","A Runde","R Jucks"
"230","H Rijn","S Sprenger"
"231","J Qian","G Brown"
