"","from","to"
"1","E Schulz","I Dasgupta"
"2","J Hamrick","I Dasgupta"
"3","J Hamrick","E Schulz"
"4","J Tenenbaum","I Dasgupta"
"5","J Tenenbaum","E Schulz"
"6","J Tenenbaum","J Hamrick"
"7","P Shafto","E Daubert"
"8","J Andrews","J Leeuw"
"9","K Livingston","J Leeuw"
"10","K Livingston","J Andrews"
"11","M Franke","J Leeuw"
"12","M Franke","J Andrews"
"13","M Franke","K Livingston"
"14","J Hartshorne","J Leeuw"
"15","J Hartshorne","J Andrews"
"16","J Hartshorne","K Livingston"
"17","J Hartshorne","M Franke"
"18","R Hawkins","J Leeuw"
"19","R Hawkins","J Andrews"
"20","R Hawkins","K Livingston"
"21","R Hawkins","M Franke"
"22","R Hawkins","J Hartshorne"
"23","J Wagge","J Leeuw"
"24","J Wagge","J Andrews"
"25","J Wagge","K Livingston"
"26","J Wagge","M Franke"
"27","J Wagge","J Hartshorne"
"28","J Wagge","R Hawkins"
"29","R Hass","A Olteteanu"
"30","E Chrysikou","A Olteteanu"
"31","E Chrysikou","R Hass"
"32","N Riesterer","M Ragni"
"33","S Khemlani","M Ragni"
"34","S Khemlani","N Riesterer"
"35","R Cooper","H Schultheis"
"36","C Shafto","V Simmering"
"37","E Bergelson","J Bunce"
"38","A Warlaumont","J Bunce"
"39","A Warlaumont","E Bergelson"
"40","M Casillas","J Bunce"
"41","M Casillas","E Bergelson"
"42","M Casillas","A Warlaumont"
"43","A Chan","J Hsiao"
"44","M Pitt","J Myung"
"45","J Yang","J Myung"
"46","J Yang","M Pitt"
"47","W Ahn","J Myung"
"48","W Ahn","M Pitt"
"49","W Ahn","J Yang"
"50","J Yearsley","E Pothos"
"51","Z Wang","E Pothos"
"52","Z Wang","J Yearsley"
"53","P Kvam","E Pothos"
"54","P Kvam","J Yearsley"
"55","P Kvam","Z Wang"
"56","J Busemeyer","E Pothos"
"57","J Busemeyer","J Yearsley"
"58","J Busemeyer","Z Wang"
"59","J Busemeyer","P Kvam"
"60","A Nazareth","T Brown"
"61","M Brucato","T Brown"
"62","M Brucato","A Nazareth"
"63","V Bohbot","T Brown"
"64","V Bohbot","A Nazareth"
"65","V Bohbot","M Brucato"
"66","N Newcombe","T Brown"
"67","N Newcombe","A Nazareth"
"68","N Newcombe","M Brucato"
"69","N Newcombe","V Bohbot"
"70","A Frick","T Brown"
"71","A Frick","A Nazareth"
"72","A Frick","M Brucato"
"73","A Frick","V Bohbot"
"74","A Frick","N Newcombe"
"75","D Voyer","T Brown"
"76","D Voyer","A Nazareth"
"77","D Voyer","M Brucato"
"78","D Voyer","V Bohbot"
"79","D Voyer","N Newcombe"
"80","D Voyer","A Frick"
"81","L Huang","T Brown"
"82","L Huang","A Nazareth"
"83","L Huang","M Brucato"
"84","L Huang","V Bohbot"
"85","L Huang","N Newcombe"
"86","L Huang","A Frick"
"87","L Huang","D Voyer"
"88","Q He","T Brown"
"89","Q He","A Nazareth"
"90","Q He","M Brucato"
"91","Q He","V Bohbot"
"92","Q He","N Newcombe"
"93","Q He","A Frick"
"94","Q He","D Voyer"
"95","Q He","L Huang"
"96","J Starnes","T Brown"
"97","J Starnes","A Nazareth"
"98","J Starnes","M Brucato"
"99","J Starnes","V Bohbot"
"100","J Starnes","N Newcombe"
"101","J Starnes","A Frick"
"102","J Starnes","D Voyer"
"103","J Starnes","L Huang"
"104","J Starnes","Q He"
"105","S Goodroe","T Brown"
"106","S Goodroe","A Nazareth"
"107","S Goodroe","M Brucato"
"108","S Goodroe","V Bohbot"
"109","S Goodroe","N Newcombe"
"110","S Goodroe","A Frick"
"111","S Goodroe","D Voyer"
"112","S Goodroe","L Huang"
"113","S Goodroe","Q He"
"114","S Goodroe","J Starnes"
"115","T McNamara","T Brown"
"116","T McNamara","A Nazareth"
"117","T McNamara","M Brucato"
"118","T McNamara","V Bohbot"
"119","T McNamara","N Newcombe"
"120","T McNamara","A Frick"
"121","T McNamara","D Voyer"
"122","T McNamara","L Huang"
"123","T McNamara","Q He"
"124","T McNamara","J Starnes"
"125","T McNamara","S Goodroe"
"126","T Besold","R Confalonieri"
"127","T Weyde","R Confalonieri"
"128","T Weyde","T Besold"
"129","K Creel","R Confalonieri"
"130","K Creel","T Besold"
"131","K Creel","T Weyde"
"132","T Lombrozo","R Confalonieri"
"133","T Lombrozo","T Besold"
"134","T Lombrozo","T Weyde"
"135","T Lombrozo","K Creel"
"136","S Mueller","R Confalonieri"
"137","S Mueller","T Besold"
"138","S Mueller","T Weyde"
"139","S Mueller","K Creel"
"140","S Mueller","T Lombrozo"
"141","P Shafto","R Confalonieri"
"142","P Shafto","T Besold"
"143","P Shafto","T Weyde"
"144","P Shafto","K Creel"
"145","P Shafto","T Lombrozo"
"146","P Shafto","S Mueller"
"147","D Gentner","K Forbus"
"148","J Laird","K Forbus"
"149","J Laird","D Gentner"
"150","T Shultz","K Forbus"
"151","T Shultz","D Gentner"
"152","T Shultz","J Laird"
"153","A Nobandegani","K Forbus"
"154","A Nobandegani","D Gentner"
"155","A Nobandegani","J Laird"
"156","A Nobandegani","T Shultz"
"157","P Thagard","K Forbus"
"158","P Thagard","D Gentner"
"159","P Thagard","J Laird"
"160","P Thagard","T Shultz"
"161","P Thagard","A Nobandegani"
"162","R Perez","W Gray"
"163","J Moxley","W Gray"
"164","J Moxley","R Perez"
"165","D Mendonca","W Gray"
"166","D Mendonca","R Perez"
"167","D Mendonca","J Moxley"
"168","J Gorman","W Gray"
"169","J Gorman","R Perez"
"170","J Gorman","J Moxley"
"171","J Gorman","D Mendonca"
"172","N Castro","Y Kenett"
"173","E Karuza","Y Kenett"
"174","E Karuza","N Castro"
"175","M Vitevitch","Y Kenett"
"176","M Vitevitch","N Castro"
"177","M Vitevitch","E Karuza"
"178","K McRae","J McClelland"
"179","A Hoskin","S Musslick"
"180","T Webb","S Musslick"
"181","T Webb","A Hoskin"
"182","S Frankland","S Musslick"
"183","S Frankland","A Hoskin"
"184","S Frankland","T Webb"
"185","J Cohen","S Musslick"
"186","J Cohen","A Hoskin"
"187","J Cohen","T Webb"
"188","J Cohen","S Frankland"
"189","R Jackson","S Musslick"
"190","R Jackson","A Hoskin"
"191","R Jackson","T Webb"
"192","R Jackson","S Frankland"
"193","R Jackson","J Cohen"
"194","M Ralph","S Musslick"
"195","M Ralph","A Hoskin"
"196","M Ralph","T Webb"
"197","M Ralph","S Frankland"
"198","M Ralph","J Cohen"
"199","M Ralph","R Jackson"
"200","L Chen","S Musslick"
"201","L Chen","A Hoskin"
"202","L Chen","T Webb"
"203","L Chen","S Frankland"
"204","L Chen","J Cohen"
"205","L Chen","R Jackson"
"206","L Chen","M Ralph"
"207","T Rogers","S Musslick"
"208","T Rogers","A Hoskin"
"209","T Rogers","T Webb"
"210","T Rogers","S Frankland"
"211","T Rogers","J Cohen"
"212","T Rogers","R Jackson"
"213","T Rogers","M Ralph"
"214","T Rogers","L Chen"
"215","R O'Reilly","S Musslick"
"216","R O'Reilly","A Hoskin"
"217","R O'Reilly","T Webb"
"218","R O'Reilly","S Frankland"
"219","R O'Reilly","J Cohen"
"220","R O'Reilly","R Jackson"
"221","R O'Reilly","M Ralph"
"222","R O'Reilly","L Chen"
"223","R O'Reilly","T Rogers"
"224","A Petrov","S Musslick"
"225","A Petrov","A Hoskin"
"226","A Petrov","T Webb"
"227","A Petrov","S Frankland"
"228","A Petrov","J Cohen"
"229","A Petrov","R Jackson"
"230","A Petrov","M Ralph"
"231","A Petrov","L Chen"
