"","from","to"
"1","A Utsumi","A Utsumi"
"2","J Tenebaum","B Balas"
"3","P Cheng","E Schofield"
"4","A Bender","S Beller"
"5","E Gibson","E Fedorenko"
"6","D Rohde","E Fedorenko"
"7","D Rohde","E Gibson"
"8","J Wiley","B Jee"
"9","Y Choe","Y Yu"
"10","D Noelle","J Philips"
"11","M Christiansen","P Monaghan"
"12","C Kello","D Sibley"
"13","E Davelaar","E Davelaar"
"14","A Goel","P Yaner"
"15","H Wang","Y Sun"
"16","Y Yang","Y Sun"
"17","Y Yang","H Wang"
"18","J Zhang","Y Sun"
"19","J Zhang","H Wang"
"20","J Zhang","Y Yang"
"21","J Smith","Y Sun"
"22","J Smith","H Wang"
"23","J Smith","Y Yang"
"24","J Smith","J Zhang"
"25","M Alibali","A Hostetter"
"26","M Gaskell","N Dumay"
"27","X Feng","N Dumay"
"28","X Feng","M Gaskell"
"29","T Nokes","T Nokes"
"30","A Perfors","C Kemp"
"31","J Tenenbaum","C Kemp"
"32","J Tenenbaum","A Perfors"
"33","R Best","T O'Reilly"
"34","D McNamara","T O'Reilly"
"35","D McNamara","R Best"
"36","B Rittle-Johnson","B Rittle-Johnson"
"37","A Bohan","M Keane"
"38","R Gomez","J Lany"
"39","S Shibui","A Suzuki"
"40","K Shigemasu","A Suzuki"
"41","K Shigemasu","S Shibui"
"42","P Juslin","L Karlsson"
"43","H Olsson","L Karlsson"
"44","H Olsson","P Juslin"
"45","S Read","D Kim"
"46","D McNamara","Z Cai"
"47","M Louwerse","Z Cai"
"48","M Louwerse","D McNamara"
"49","X Hu","Z Cai"
"50","X Hu","D McNamara"
"51","X Hu","M Louwerse"
"52","M Rowe","Z Cai"
"53","M Rowe","D McNamara"
"54","M Rowe","M Louwerse"
"55","M Rowe","X Hu"
"56","A Graesser","Z Cai"
"57","A Graesser","D McNamara"
"58","A Graesser","M Louwerse"
"59","A Graesser","X Hu"
"60","A Graesser","M Rowe"
"61","D Casasanto","Z Cai"
"62","D Casasanto","D McNamara"
"63","D Casasanto","M Louwerse"
"64","D Casasanto","X Hu"
"65","D Casasanto","M Rowe"
"66","D Casasanto","A Graesser"
"67","L Boroditsky","Z Cai"
"68","L Boroditsky","D McNamara"
"69","L Boroditsky","M Louwerse"
"70","L Boroditsky","X Hu"
"71","L Boroditsky","M Rowe"
"72","L Boroditsky","A Graesser"
"73","L Boroditsky","D Casasanto"
"74","W Philips","Z Cai"
"75","W Philips","D McNamara"
"76","W Philips","M Louwerse"
"77","W Philips","X Hu"
"78","W Philips","M Rowe"
"79","W Philips","A Graesser"
"80","W Philips","D Casasanto"
"81","W Philips","L Boroditsky"
"82","J Greene","Z Cai"
"83","J Greene","D McNamara"
"84","J Greene","M Louwerse"
"85","J Greene","X Hu"
"86","J Greene","M Rowe"
"87","J Greene","A Graesser"
"88","J Greene","D Casasanto"
"89","J Greene","L Boroditsky"
"90","J Greene","W Philips"
"91","S Goswami","Z Cai"
"92","S Goswami","D McNamara"
"93","S Goswami","M Louwerse"
"94","S Goswami","X Hu"
"95","S Goswami","M Rowe"
"96","S Goswami","A Graesser"
"97","S Goswami","D Casasanto"
"98","S Goswami","L Boroditsky"
"99","S Goswami","W Philips"
"100","S Goswami","J Greene"
"101","S Bocanegra-Thiel","Z Cai"
"102","S Bocanegra-Thiel","D McNamara"
"103","S Bocanegra-Thiel","M Louwerse"
"104","S Bocanegra-Thiel","X Hu"
"105","S Bocanegra-Thiel","M Rowe"
"106","S Bocanegra-Thiel","A Graesser"
"107","S Bocanegra-Thiel","D Casasanto"
"108","S Bocanegra-Thiel","L Boroditsky"
"109","S Bocanegra-Thiel","W Philips"
"110","S Bocanegra-Thiel","J Greene"
"111","S Bocanegra-Thiel","S Goswami"
"112","I Santiago-Diaz","Z Cai"
"113","I Santiago-Diaz","D McNamara"
"114","I Santiago-Diaz","M Louwerse"
"115","I Santiago-Diaz","X Hu"
"116","I Santiago-Diaz","M Rowe"
"117","I Santiago-Diaz","A Graesser"
"118","I Santiago-Diaz","D Casasanto"
"119","I Santiago-Diaz","L Boroditsky"
"120","I Santiago-Diaz","W Philips"
"121","I Santiago-Diaz","J Greene"
"122","I Santiago-Diaz","S Goswami"
"123","I Santiago-Diaz","S Bocanegra-Thiel"
"124","O Fotokopoulu","Z Cai"
"125","O Fotokopoulu","D McNamara"
"126","O Fotokopoulu","M Louwerse"
"127","O Fotokopoulu","X Hu"
"128","O Fotokopoulu","M Rowe"
"129","O Fotokopoulu","A Graesser"
"130","O Fotokopoulu","D Casasanto"
"131","O Fotokopoulu","L Boroditsky"
"132","O Fotokopoulu","W Philips"
"133","O Fotokopoulu","J Greene"
"134","O Fotokopoulu","S Goswami"
"135","O Fotokopoulu","S Bocanegra-Thiel"
"136","O Fotokopoulu","I Santiago-Diaz"
"137","R Pita","Z Cai"
"138","R Pita","D McNamara"
"139","R Pita","M Louwerse"
"140","R Pita","X Hu"
"141","R Pita","M Rowe"
"142","R Pita","A Graesser"
"143","R Pita","D Casasanto"
"144","R Pita","L Boroditsky"
"145","R Pita","W Philips"
"146","R Pita","J Greene"
"147","R Pita","S Goswami"
"148","R Pita","S Bocanegra-Thiel"
"149","R Pita","I Santiago-Diaz"
"150","R Pita","O Fotokopoulu"
"151","D Gil","Z Cai"
"152","D Gil","D McNamara"
"153","D Gil","M Louwerse"
"154","D Gil","X Hu"
"155","D Gil","M Rowe"
"156","D Gil","A Graesser"
