"","from","to"
"1","A Fisher","A Fisher"
"2","T Fangmeier","M Ragni"
"3","S Schleipen","M Ragni"
"4","S Schleipen","T Fangmeier"
"5","S Chartier","G Giguere"
"6","R Proulx","G Giguere"
"7","R Proulx","S Chartier"
"8","J Lina","G Giguere"
"9","J Lina","S Chartier"
"10","J Lina","R Proulx"
"11","R West","A Pyke"
"12","J LeFevre","A Pyke"
"13","J LeFevre","R West"
"14","N Skirvin","J Tan"
"15","G Biswas","J Tan"
"16","G Biswas","N Skirvin"
"17","K Catley","J Tan"
"18","K Catley","N Skirvin"
"19","K Catley","G Biswas"
"20","C Bozşahin","Ç Çoltekin"
"21","M Hristova","A Janyan"
"22","F Keller","D Reitter"
"23","B Monroe","B Monroe"
"24","P McCarthy","E Lightman"
"25","D Dufty","E Lightman"
"26","D Dufty","P McCarthy"
"27","D McNamara","E Lightman"
"28","D McNamara","P McCarthy"
"29","D McNamara","D Dufty"
"30","J Allen","G Aist"
"31","E Campana","G Aist"
"32","E Campana","J Allen"
"33","C Gallo","G Aist"
"34","C Gallo","J Allen"
"35","C Gallo","E Campana"
"36","S Stoness","G Aist"
"37","S Stoness","J Allen"
"38","S Stoness","E Campana"
"39","S Stoness","C Gallo"
"40","M Swift","G Aist"
"41","M Swift","J Allen"
"42","M Swift","E Campana"
"43","M Swift","C Gallo"
"44","M Swift","S Stoness"
"45","M Tanenhaus","G Aist"
"46","M Tanenhaus","J Allen"
"47","M Tanenhaus","E Campana"
"48","M Tanenhaus","C Gallo"
"49","M Tanenhaus","S Stoness"
"50","M Tanenhaus","M Swift"
"51","J Plumhoff","J Schirillo"
"52","W Schroyens","W Schroyens"
"53","T Shultz","T Shultz"
"54","C Rose","H Wang"
"55","K Abe","Y Wajima"
"56","M Nakagawa","Y Wajima"
"57","M Nakagawa","K Abe"
"58","J Chariker","J Pani"
"59","N Claudio","J Pani"
"60","N Claudio","J Chariker"
"61","R Fell","J Pani"
"62","R Fell","J Chariker"
"63","R Fell","N Claudio"
"64","A Wong","M Mack"
"65","I Gauthier","M Mack"
"66","I Gauthier","A Wong"
"67","J Tanaka","M Mack"
"68","J Tanaka","A Wong"
"69","J Tanaka","I Gauthier"
"70","T Palmeri","M Mack"
"71","T Palmeri","A Wong"
"72","T Palmeri","I Gauthier"
"73","T Palmeri","J Tanaka"
"74","M Lee","W Vanpaemel"
"75","S Kim","S Kim"
"76","N Presson","P Pavlik"
"77","G Dozzi","P Pavlik"
"78","G Dozzi","N Presson"
"79","S Wu","P Pavlik"
"80","S Wu","N Presson"
"81","S Wu","G Dozzi"
"82","B MacWhinney","P Pavlik"
"83","B MacWhinney","N Presson"
"84","B MacWhinney","G Dozzi"
"85","B MacWhinney","S Wu"
"86","K Koedinger","P Pavlik"
"87","K Koedinger","N Presson"
"88","K Koedinger","G Dozzi"
"89","K Koedinger","S Wu"
"90","K Koedinger","B MacWhinney"
"91","T Takenaga","T Takenaga"
"92","T Reimer","G Schwenk"
"93","T Shultz","F Dandurand"
"94","K Onishi","F Dandurand"
"95","K Onishi","T Shultz"
"96","F Keller","V Demberg"
"97","A Goel","P Yaner"
"98","D Hardmeier","S Koller"
"99","S Michel","S Koller"
"100","S Michel","D Hardmeier"
"101","A Schwaninger","S Koller"
"102","A Schwaninger","D Hardmeier"
"103","A Schwaninger","S Michel"
"104","B Khoo","W Goh"
"105","D Danks","H Zhu"
"106","M Mack","J Richler"
"107","I Gauthier","J Richler"
"109","T Palmeri","J Richler"
"112","A Glenberg","E Mouliso"
"113","D Havas","E Mouliso"
"114","D Havas","A Glenberg"
"115","L Lindeman","E Mouliso"
"116","L Lindeman","A Glenberg"
