"","from","to"
"1","S Kulkofsky","J Marsh"
"2","K Plunkett","J Mayor"
"3","M Lee","M Zeigenfuse"
"4","C Aktipis","M Anderson"
"5","C Stutterheim","M Flecken"
"6","M Carroll","M Flecken"
"7","M Carroll","C Stutterheim"
"8","R Carlson","D Cassenti"
"9","T Kelley","D Cassenti"
"10","T Kelley","R Carlson"
"11","L Kaastra","R Hernandez"
"12","B Fisher","R Hernandez"
"13","B Fisher","L Kaastra"
"14","R Hertwig","T Hills"
"15","M Raijmakers","T Schijndel"
"16","B Zhang","J Yuan"
"17","R Maguire","P Maguire"
"18","T Shultz","A Metz"
"19","P Cheng","E Genuchten"
"20","J Jenvey","D Havas"
"21","H Shilling","D Havas"
"22","H Shilling","J Jenvey"
"23","M Nathan","D Havas"
"24","M Nathan","J Jenvey"
"25","M Nathan","H Shilling"
"26","A Chang","J Richey"
"27","T Nokes","J Richey"
"28","T Nokes","A Chang"
"29","C Schunn","J Richey"
"30","C Schunn","A Chang"
"31","C Schunn","T Nokes"
"32","Y Uesaka","E Manalo"
"33","Y Yano","E Manalo"
"34","Y Yano","Y Uesaka"
"35","J Dessalles","J Dessalles"
"36","Z Dienes","S Kiyokawa"
"37","D Tanaka","S Kiyokawa"
"38","D Tanaka","Z Dienes"
"39","A Yamada","S Kiyokawa"
"40","A Yamada","Z Dienes"
"41","A Yamada","D Tanaka"
"42","W Wilson","S Phillips"
"43","A Lenci","A Zarcone"
"44","Y Su","Y Yu"
"45","R Chan","Y Yu"
"46","R Chan","Y Su"
"47","M Tull","P Engelbrecht"
"48","C Eliasmith","F Choo"
"49","R Taib","N Ruiz"
"50","F Chen","N Ruiz"
"51","F Chen","R Taib"
"52","L Gabora","B O'Connor"
"53","D Navarro","A Prefors"
"54","D Mewhort","R Jamieson"
"55","Y Kammerer","P Gerjets"
"56","E Quellmalz","J Davenport"
"57","M Timms","J Davenport"
"58","M Timms","E Quellmalz"
"59","D Connor","D Connor"
"60","E Heit","C Townsend"
"61","J Black","J Vitale"
"62","C Eric","J Vitale"
"63","C Eric","J Black"
"64","C Chang","J Vitale"
"65","C Chang","J Black"
"66","C Chang","C Eric"
"67","M Kitajima","M Toyota"
"68","W Maddox","D Worthy"
"69","H Chen","R Cherng"
"70","J Chen","R Cherng"
"71","J Chen","H Chen"
"72","Y Chen","R Cherng"
"73","Y Chen","H Chen"
"74","Y Chen","J Chen"
"75","S Revithis","S Revithis"
"76","T Shultz","V Berthiaume"
"77","O Dammann","V Berthiaume"
"78","O Dammann","T Shultz"
"79","V Sloutsky","J Kaminski"
"80","W Vandiver","W Vandiver"
"81","E Sagi","E Sagi"
"82","V Sloutsky","X Yao"
"83","C Robinson","C Best"
"84","V Sloutsky","C Best"
"85","V Sloutsky","C Robinson"
"86","J Kruschke","S Denton"
"87","S Gupta","T Laine"
"88","B Monroe","T Laine"
"89","B Monroe","S Gupta"
"90","H Rijn","J Rijn"
