"","from","to"
"1","F Xu","E Bonawitz"
"2","M Kline","E Wittenberg"
"3","J Hartshorne","E Wittenberg"
"4","J Hartshorne","M Kline"
"5","C Jiang","T Gao"
"6","Y Zhu","T Gao"
"7","Y Zhu","C Jiang"
"8","Y Zhao","T Gao"
"9","Y Zhao","C Jiang"
"10","Y Zhao","Y Zhu"
"11","L Yu","T Gao"
"12","L Yu","C Jiang"
"13","L Yu","Y Zhu"
"14","L Yu","Y Zhao"
"15","S Hansen","J McClelland"
"16","A Saxe","J McClelland"
"17","A Saxe","S Hansen"
"18","E Bergelson","E Bergelson"
"19","G Trafton","S Khemlani"
"20","J Yearsley","J Trueblood"
"21","P Kvam","J Trueblood"
"22","P Kvam","J Yearsley"
"23","Z Wang","J Trueblood"
"24","Z Wang","J Yearsley"
"25","Z Wang","P Kvam"
"26","J Busemeyer","J Trueblood"
"27","J Busemeyer","J Yearsley"
"28","J Busemeyer","P Kvam"
"29","J Busemeyer","Z Wang"
"30","T Morgan","J Suchow"
"31","J Hamrick","J Suchow"
"32","J Hamrick","T Morgan"
"33","M Pacer","J Suchow"
"34","M Pacer","T Morgan"
"35","M Pacer","J Hamrick"
"36","S Meylan","J Suchow"
"37","S Meylan","T Morgan"
"38","S Meylan","J Hamrick"
"39","S Meylan","M Pacer"
"40","T Griffiths","J Suchow"
"41","T Griffiths","T Morgan"
"42","T Griffiths","J Hamrick"
"43","T Griffiths","M Pacer"
"44","T Griffiths","S Meylan"
"45","T Tenbrink","T Tenbrink"
"46","N Taatgen","N Taatgen"
"47","M Lewis","S Tsuji"
"48","C Bergmann","S Tsuji"
"49","C Bergmann","M Lewis"
"50","M Frank","S Tsuji"
"51","M Frank","M Lewis"
"52","M Frank","C Bergmann"
"53","A Cristia","S Tsuji"
"54","A Cristia","M Lewis"
"55","A Cristia","C Bergmann"
"56","A Cristia","M Frank"
"57","N Goodman","J Kao"
"58","E Coderre","N Cohn"
"59","L Kendall","N Cohn"
"60","L Kendall","E Coderre"
"61","J Magliano","N Cohn"
"62","J Magliano","E Coderre"
"63","J Magliano","L Kendall"
"64","Z Horne","M Goldwater"
"65","J Loewenstein","M Goldwater"
"66","J Loewenstein","Z Horne"
"67","R Goldstone","M Goldwater"
"68","R Goldstone","Z Horne"
"69","R Goldstone","J Loewenstein"
"70","N Goodman","R Hawkins"
"71","O Feher","R Hawkins"
