"","from","to"
"193","M Ramscar","L Boroditsky"
"194","M Ramscar","W Ham"
"195","L Chandrasena","M Lee"
"197","D Navarro","L Chandrasena"
"198","A Howes","S Charman"
"199","T Clausner","T Clausner"
"200","F Wysotzki","B Jain"
"201","S Niyogi","S Niyogi"
"202","F Costello","F Costello"
"203","L Ball","M Gale"
"204","B Bara","R Ardito"
"205","E Blanzieri","R Ardito"
"206","E Blanzieri","B Bara"
"207","T Johnson","H Wang"
"208","J Zhang","H Wang"
"209","J Zhang","T Johnson"
"210","Y Wang","H Wang"
"211","Y Wang","T Johnson"
"212","Y Wang","J Zhang"
"213","V Murphy","J Hayes"
"214","N Davey","J Hayes"
"215","N Davey","V Murphy"
"216","P Smith","J Hayes"
"217","P Smith","V Murphy"
"218","P Smith","N Davey"
"219","L Peters","J Hayes"
"220","L Peters","V Murphy"
"221","L Peters","N Davey"
"222","L Peters","P Smith"
"223","P Oudeyer","P Oudeyer"
"224","W Schaeken","K Dieussaert"
"225","G d’ydewalle","K Dieussaert"
"226","G d’ydewalle","W Schaeken"
"227","D Gentner","S Zharikov"
"228","E Markman","V Jaswal"
"230","M Osman","M Osman"
"231","J Oberlander","A Gill"
"232","H Foundalis","H Foundalis"
"233","K Burns","K Burns"
"234","N Nersessian","D Craig"
"235","R Catrambone","D Craig"
"236","R Catrambone","N Nersessian"
"237","C Schunn","B Morris"
"238","V Sloutsky","U Hasson"
"239","P Johnson-Laird","E Steingold"
"240","M Wenger","P Maglio"
"241","A Gordon","A Gordon"
"243","V Patel","J Zhang"
"244","V Patel","T Johnson"
"245","E Shortliffe","J Zhang"
"246","E Shortliffe","T Johnson"
"247","E Shortliffe","V Patel"
"248","V Müller","A Raftopoulos"
"249","S Garrod","P Healey"
"250","N Fay","P Healey"
"251","N Fay","S Garrod"
"252","J Lee","P Healey"
"253","J Lee","S Garrod"
"254","J Lee","N Fay"
"255","J Oberlander","P Healey"
"256","J Oberlander","S Garrod"
"257","J Oberlander","N Fay"
"258","J Oberlander","J Lee"
"259","J Anderson","G Gunzelmann"
"260","W Daelemans","E Martens"
"261","S Gillis","E Martens"
"262","S Gillis","W Daelemans"
"263","H Taelman","E Martens"
"264","H Taelman","W Daelemans"
"265","H Taelman","S Gillis"
"266","O Peter","Juslin"
"267","O Henrik","Juslin"
"268","O Henrik","O Peter"
"269","J Anna-Carin","Juslin"
"270","J Anna-Carin","O Peter"
"271","J Anna-Carin","O Henrik"
"272","X Zhang","R Sun"
"273","P Gerjets","T Schorr"
"274","K Scheiter","T Schorr"
"276","Y Laouris","T Schorr"
"277","Y Laouris","P Gerjets"
"278","Y Laouris","K Scheiter"
"279","M Roberts","L Onnis"
"280","N Chater","L Onnis"
"281","N Chater","M Roberts"
"282","T Goldsmith","D Trumpower"
"283","M Below","D Trumpower"
"284","M Below","T Goldsmith"
"288","M Mermillod","R French"
"289","A Chauvin","R French"
"290","A Chauvin","M Mermillod"
"291","P Quinn","R French"
"292","P Quinn","M Mermillod"
"293","P Quinn","A Chauvin"
"294","D Mareschal","R French"
"295","D Mareschal","M Mermillod"
"296","D Mareschal","A Chauvin"
"297","D Mareschal","P Quinn"
"298","C Chiarello","N Kacinik"
"299","M Christiansen","G Lupyan"
"300","R Jones","E Fleischman"
"301","L Shastri","M Garagnani"
"302","C Wendelken","M Garagnani"
"304","K Forbus","S Kuehne"
"305","A Vera","M Matessa"
"306","R Remington","M Matessa"
"307","R Remington","A Vera"
"308","M Freed","M Matessa"
"309","M Freed","A Vera"
"310","M Freed","R Remington"
"311","B John","M Matessa"
"312","B John","A Vera"
"313","B John","R Remington"
"314","B John","M Freed"
"315","D Gardiner","A Feeney"
"316","L Jerzykiewicz","A Brook"
"317","M Waldmann","Y Hagmayer"
"318","S Rousset","B Ans"
"319","R French","B Ans"
"320","R French","S Rousset"
"321","S Musca","B Ans"
"322","S Musca","S Rousset"
"323","S Musca","R French"
"324","T Booth","M Alibali"
"325","A Wills","J Zwickel"
"326","D McNamara","K Cottrell"
"327","H Shu","H Xing"
"328","P Li","H Xing"
"329","P Li","H Shu"
"330","J Treur","C Jonker"
"331","M Chi","M McGregor"
"332","E Campana","S Brown-Schmidt"
"333","M Tanenhaus","S Brown-Schmidt"
"335","L Lesmo","G Boella"
"336","L Lo","B Mak"
"337","A Vera","B Mak"
"338","A Vera","L Lo"
"345","K Opwis","T Reimer"
"346","A Bornstein","T Reimer"
"347","A Bornstein","K Opwis"
"348","C Schunn","E Altmann"
"349","B Mak","W Wai"
"350","K Kotovsky","J Moss"
"351","J Cagan","J Moss"
"352","J Cagan","K Kotovsky"
"353","D McCrickard","C Chewar"
"354","D Klahr","L Triona"
"355","M Chi","R Engle"
"356","Z Pizlo","M Scheessele"
"357","J Rehling","J Rehling"
"358","A Corbett","R Baker"
"359","K Koedinger","R Baker"
"360","K Koedinger","A Corbett"
"361","R Revlin","D Calvillo"
"362","K Norman","K Norman"
"363","B Burns","B Burns"
"364","T Park","T Park"
"365","H Tappe","P Lee"
"366","A Klippel","P Lee"
"367","A Klippel","H Tappe"
"368","N Miyake","H Shirouzu"
"369","P Johnson-Laird","Y Yang"
"370","M Keane","L Connell"
"371","H Liu","H Liu"
"372","C Schunn","L Saner"
"373","C Kello","L Leach"
"374","T Ohno","H Ogasawara"
"375","P Johnson-Laird","U Hasson"
"376","Z Arzi-Gonczarowski","Z Arzi-Gonczarowski"
"377","L Saner","A Harrison"
"378","C Cookson","A Harrison"
"379","C Cookson","L Saner"
"380","D Kunder","A Harrison"
"381","D Kunder","L Saner"
"382","D Kunder","C Cookson"
"383","C Schunn","A Harrison"
"385","C Schunn","C Cookson"
"386","C Schunn","D Kunder"
"387","E Françozo","O Coelho"
"388","E Albano","O Coelho"
"389","E Albano","E Françozo"
"390","L Roces","O Coelho"
"391","L Roces","E Françozo"
"392","L Roces","E Albano"
"393","P Arantes","O Coelho"
"394","P Arantes","E Françozo"
"395","P Arantes","E Albano"
"396","P Arantes","L Roces"
"397","R Basso","O Coelho"
"398","R Basso","E Françozo"
"399","R Basso","E Albano"
"400","R Basso","L Roces"
"401","R Basso","P Arantes"
"402","H Lin","Y Lee"
"403","W Vidal","W Vidal"
"404","M Yip","M Yip"
"405","J Corter","T Matsuka"
"406","A Markman","T Matsuka"
"407","A Markman","J Corter"
"408","J Anderson","P Pavlik"
"409","A Fisher","V Sloutsky"
"410","J Yates","W Sieck"
"411","A Masnick","L Triona"
"412","B Morris","L Triona"
"414","A Linhares","A Linhares"
"415","Z Estes","Z Estes"
"416","C Gonzalez","C Gonzalez"
"417","W Sieck","M Jones"
"418","A Soares","M Pourbaix"
"419","S Bringsjord","Y Yang"
"420","C Ikehara","M Crosby"
"421","D Chin","M Crosby"
"422","D Chin","C Ikehara"
"423","A Samsonovich","A Samsonovich"
"425","S Kleinbeck","P Gerjets"
"426","S Kleinbeck","K Scheiter"
"427","U Schmid","P Gerjets"
"428","U Schmid","K Scheiter"
"429","U Schmid","S Kleinbeck"
"430","A Chau","T Wong"
"431","S Payne","W Reader"
"432","T Kusumi","T Kojima"
"433","F Rheinberg","R Vollmeyer"
"434","B Burns","R Vollmeyer"
"435","B Burns","F Rheinberg"
"436","C Lima","A Soares"
"437","A Kruse","L Schmorrow"
"438","J Morrison","J Morrison"
"442","A Soares","M Caetano"
"443","M Keane","D Lynott"
"444","A Chau","T Lee"
"445","B Mak","T Lee"
"446","B Mak","A Chau"
"447","F Morelli","J Whalen"
"448","L Boroditsky","D Casasanto"
"450","R Shillcock","Y Chou"
"451","H Voicu","H Voicu"
"453","A Soares","C Pessanha"
"454","D Oppenheimer","D Oppenheimer"
"455","A Kincannon","A Kincannon"
"456","C Espinel","C Espinel"
"458","J Funke","S Nellen"
"459","A Kincannon","M Gorman"
"460","J Spinks","A Wang-on"
"461","R Carlson","R Carlson"
"462","W Schneider","W Schneider"
"473","R Wray","R Jones"
"474","H Henninger","R Jones"
"475","H Henninger","R Wray"
"476","W E","R Jones"
"477","W E","R Wray"
"478","W E","H Henninger"
"479","C Scott","R Jones"
"480","C Scott","R Wray"
"481","C Scott","H Henninger"
"482","C Scott","W E"
"483","J S","R Jones"
"484","J S","R Wray"
"485","J S","H Henninger"
"486","J S","W E"
"487","J S","C Scott"
"488","C Lebiere","C Lebiere"
"489","M Byrne","S Wood"
"490","L Coward","L Coward"
"491","J Carroll","J Carroll"
"492","A Renkl","A Renkl"
"493","V Patel","T Kubose"
"494","D Jordan","T Kubose"
"495","D Jordan","V Patel"
"496","M Suwa","M Suwa"
"497","M Lovett","M Lovett"
"498","L Smith","L Smith"
"499","R Sorkin","S Luan"
"500","J Itzkowitz","S Luan"
"501","J Itzkowitz","R Sorkin"
"502","N Yoshimine","A Tokosumi"
"503","A Cangelosi","K Coventry"
"504","D Joyce","K Coventry"
"505","D Joyce","A Cangelosi"
"506","L Richards","K Coventry"
"507","L Richards","A Cangelosi"
"508","L Richards","D Joyce"
"510","M Hegarty","M Hegarty"
"512","P Lee","B Tversky"
"513","P Lee","J Heiser"
"514","J Zacks","B Tversky"
"515","J Zacks","J Heiser"
"516","J Zacks","P Lee"
"517","J Kolodner","J Kolodner"
"518","D Carruth","S Doane"
"519","E Albro","N Stein"
"520","J Lipinski","P Gupta"
"521","A Demetriou","A Demetriou"
"522","X Hu","A Graesser"
"524","B Olde","X Hu"
"525","M Ventura","A Graesser"
"526","M Ventura","X Hu"
"527","M Ventura","B Olde"
"528","A Olney","A Graesser"
"529","A Olney","X Hu"
"530","A Olney","B Olde"
"531","A Olney","M Ventura"
"532","M Louwerse","A Graesser"
"533","M Louwerse","X Hu"
"534","M Louwerse","B Olde"
"535","M Louwerse","M Ventura"
"536","M Louwerse","A Olney"
"538","D Franceschetti","X Hu"
"540","D Franceschetti","M Ventura"
"541","D Franceschetti","A Olney"
"542","D Franceschetti","M Louwerse"
"543","N Person","A Graesser"
"544","N Person","X Hu"
"545","N Person","B Olde"
"546","N Person","M Ventura"
"547","N Person","A Olney"
"548","N Person","M Louwerse"
"549","N Person","D Franceschetti"
"550","T Landauer","T Landauer"
"551","P Slezak","P Slezak"
"552","S Guerlain","S Guerlain"
"553","J Clement","J Clement"
"554","L Stevenson","R Carlson"
"555","M Avraamides","R Carlson"
"556","M Avraamides","L Stevenson"
"557","D Cassenti","R Carlson"
"558","D Cassenti","L Stevenson"
"559","D Cassenti","M Avraamides"
"560","I Farkaš","P Li"
"562","L Shastri","L Shastri"
"563","L Barsalou","S Chaigneau"
"564","J Hansberger","R Holt"
"565","R Chong","R Holt"
"566","R Chong","J Hansberger"
"567","D Boehm-Davis","R Holt"
"568","D Boehm-Davis","J Hansberger"
"569","D Boehm-Davis","R Chong"
"570","M Chi","M Chi"
"571","S Brem","S Brem"
"572","P Shah","J Trafton"
"573","E Freeman","J Trafton"
"574","E Freeman","P Shah"
"575","S Kirschenbaum","J Trafton"
"576","S Kirschenbaum","P Shah"
"577","S Kirschenbaum","E Freeman"
"578","P Cheng","J Trafton"
"579","P Cheng","P Shah"
"580","P Cheng","E Freeman"
"581","P Cheng","S Kirschenbaum"
"582","M Hegart","J Trafton"
"583","M Hegart","P Shah"
"584","M Hegart","E Freeman"
"585","M Hegart","S Kirschenbaum"
"586","M Hegart","P Cheng"
"587","R Pew","K Gluck"
"588","B MacWhinney","P Li"
"589","T Zentall","T Zentall"
"590","S Card","S Card"
"591","D Woods","D Woods"
"592","A Feinman","R Alterman"
"593","S Landsman","R Alterman"
"594","S Landsman","A Feinman"
"595","J Introne","R Alterman"
"596","J Introne","A Feinman"
"597","J Introne","S Landsman"
"599","M Diez","D Boehm-Davis"
"600","M Diez","R Holt"
"603","J Hansberger","M Diez"
"604","R Shiffrin","R Shiffrin"
"605","J Stasko","R Catrambone"
"606","J Xiao","R Catrambone"
"607","J Xiao","J Stasko"
"608","W Geisler","S Dumais"
"609","J Raaijmakers","S Dumais"
"610","J Raaijmakers","W Geisler"
"611","M Steyvers","S Dumais"
"612","M Steyvers","W Geisler"
"613","M Steyvers","J Raaijmakers"
