"","from","to"
"1","A Renkl","S Schworm"
"2","P Gerjets","K Scheiter"
"3","N Taatgen","F Lee"
"4","K Holyoak","L Engle"
"5","J Stigler","L Engle"
"6","J Stigler","K Holyoak"
"7","S Acchione-Noel","R Noel"
"8","W Ahn","C Luhmann"
"9","T Palmeri","C Luhmann"
"10","T Palmeri","W Ahn"
"11","J Trafton","S Trickett"
"12","A Demetriou","A Raftopoulos"
"13","A Wills","A Wills"
"14","D Fum","F Missier"
"15","A Gonzalez","A Henninger"
"16","D Reece","A Henninger"
"17","D Reece","A Gonzalez"
"18","L Smith","H Yoshida"
"19","R Boring","R West"
"20","S Moore","R West"
"21","S Moore","R Boring"
"22","D Lagnado","S Sloman"
"23","M Lee","D Navarro"
"24","M Tanenhaus","J Magnuson"
"25","R Aslin","J Magnuson"
"26","R Aslin","M Tanenhaus"
"27","D Poeppel","S Gennari"
"28","J Daniels","J Franke"
"29","D McFarlane","J Franke"
"30","D McFarlane","J Daniels"
"31","J Wiley","I Ash"
"32","M Zettergren","P Wolff"
"33","C Terry","R Sun"
"34","D Salvucci","D Salvucci"
"35","L Smith","E Colunga"
"36","M Atherton","M Atherton"
"37","R Burnett","B Rehder"
"38","L Niklasson","A Hansson"
"39","M Avraamides","M Avraamides"
"40","F Bernard","H Mammar"
"41","L Boroditsky","L Boroditsky"
"42","C Schunn","K Cho"
"43","A Lesgold","K Cho"
"44","A Lesgold","C Schunn"
"45","A Terao","K Koedinger"
"46","J Pine","D Freudenthal"
"47","F Gobet","D Freudenthal"
"48","F Gobet","J Pine"
"49","L Ball","C Bearman"
"50","T Ormerod","C Bearman"
"51","T Ormerod","L Ball"
"52","Y Choe","Y Choe"
"53","P Juslin","H Olsson"
"54","K Branson","G Cottrell"
"55","A Calder","G Cottrell"
"56","A Calder","K Branson"
"57","B Ross","S Chin-Parker"
"58","D Klahr","B Morris"
"59","D McNamara","T O’Reilly"
"60","E Campana","M Swift"
"61","J Allen","M Swift"
"62","J Allen","E Campana"
"63","M Tanenhaus","M Swift"
"64","M Tanenhaus","E Campana"
"65","M Tanenhaus","J Allen"
"66","R Tweney","Y Sun"
"67","M Ramscar","D Yarlett"
"68","S Rossi","J Henst"
"69","W Schroyens","J Henst"
"70","W Schroyens","S Rossi"
"71","D Holliway","D Holliway"
"72","J Jarmasz","J Jarmasz"
"73","B Love","T Gureckis"
"74","E Nishimoto","W Sakas"
"75","K Holyoak","F Guo"
"76","S Beller","S Beller"
"77","B Morris","A Masnick"
"78","J Nesselroade","S Chow"
"79","C Walsh","R Byrne"
"80","J Oberlander","J Hicks"
"81","L Shastri","C Wendelken"
"83","R Ping","H Yoshida"
"84","R Ping","L Smith"
"85","E Davis","H Yoshida"
"86","E Davis","L Smith"
"87","E Davis","R Ping"
"88","D Proffitt","J Stefanucci"
"89","M Ramscar","M Ramscar"
"90","B Rogosky","R Goldstone"
"91","S Payne","H Neth"
"92","S Payne","A Howes"
"93","J Richardson","A Howes"
"94","J Richardson","S Payne"
"95","M Alibali","N McNeil"
"96","W Schaeken","J Henst"
"97","W Schoppek","W Schoppek"
"98","M Christiansen","C Conway"
"99","J Marshall","J Marshall"
"100","T Matlock","P Maglio"
"101","S Gould","P Maglio"
"102","S Gould","T Matlock"
"103","D Koons","P Maglio"
"104","D Koons","T Matlock"
"105","D Koons","S Gould"
"106","C Campbell","P Maglio"
"107","C Campbell","T Matlock"
"108","C Campbell","S Gould"
"109","C Campbell","D Koons"
"110","M Steyvers","T Griffiths"
"111","S Ohlsson","A Corrigan-Halpern"
"112","X Xi","I Katz"
"113","H Kim","I Katz"
"114","H Kim","X Xi"
"115","P Cheng","I Katz"
"116","P Cheng","X Xi"
"117","P Cheng","H Kim"
"118","N Ishii","K Miwa"
"119","H Saito","K Miwa"
"120","H Saito","N Ishii"
"121","R Nakaike","K Miwa"
"122","R Nakaike","N Ishii"
"123","R Nakaike","H Saito"
"124","C Labiouse","R French"
"125","R Bod","R Bod"
"126","S Scott","S Scott"
"127","W Neys","N Verschueren"
"128","W Schaeken","N Verschueren"
"129","W Schaeken","W Neys"
"130","G d’Ydewalle","N Verschueren"
"131","G d’Ydewalle","W Neys"
"132","G d’Ydewalle","W Schaeken"
"133","W Kintsch","J Quesada"
"134","E Gomez","J Quesada"
"135","E Gomez","W Kintsch"
"136","L Torre","M Dastani"
"137","J Kim","Y Gil"
"138","L He","T Ioerger"
"139","D Lord","T Ioerger"
"140","D Lord","L He"
"141","P Tsang","T Ioerger"
"142","P Tsang","L He"
"143","P Tsang","D Lord"
"144","H Harris","H Harris"
"145","R Pew","S Deutsch"
"146","B Tversky","J Heiser"
"147","M Prat-Sala","U Hahn"
"148","E Pothos","U Hahn"
"149","E Pothos","M Prat-Sala"
"150","K Ashley","R Desai"
"151","E Chown","E Chown"
"152","M Steedman","M Steedman"
"153","V Patel","A Keselman"
"154","Y Katagiri","I Umata"
"155","A Shimojima","I Umata"
"156","A Shimojima","Y Katagiri"
"157","J Wiley","J Hemmerich"
"158","K Suzuki","T Komatsu"
"159","K Ueda","T Komatsu"
"160","K Ueda","K Suzuki"
"161","K Hiraki","T Komatsu"
"162","K Hiraki","K Suzuki"
"163","K Hiraki","K Ueda"
"164","N Oka","T Komatsu"
"165","N Oka","K Suzuki"
"166","N Oka","K Ueda"
"167","N Oka","K Hiraki"
"168","J Andrews","K Livingston"
"169","E Kuschner","K Livingston"
"170","E Kuschner","J Andrews"
"171","D Franceschetti","B Olde"
"172","A Graesser","B Olde"
"173","A Graesser","D Franceschetti"
"174","A Karnavat","B Olde"
"175","A Karnavat","D Franceschetti"
"176","A Karnavat","A Graesser"
"177","M Creutz","K Lagus"
"178","A Airola","K Lagus"
"179","A Airola","M Creutz"
"180","A Brook","E Torlakovic"
"181","R Mears","R Tweney"
"182","R Gibby","R Tweney"
"183","R Gibby","R Mears"
"184","C Spitzmüller","R Tweney"
"185","C Spitzmüller","R Mears"
"186","C Spitzmüller","R Gibby"
"188","Y Sun","R Mears"
"189","Y Sun","R Gibby"
"190","Y Sun","C Spitzmüller"
"191","J Musolino","A Papafragou"
"192","W Ham","L Boroditsky"
